"","island","mean","sd"
"1","Cayo Media Luna",0.139137491583824,5.75936684901367e-05
"2","Cuba",0.148799694047426,0.0163760148403453
"3","Cayo Güincho",0.143370129168034,0.000589118111773149
"4","Cayo Moa Grande",0.177230849862099,NA
"5","Cayo Algodón Grande",0.148161843419075,NA
"6","Cayo Punta de los Machos",0.14626906812191,0.00121972566377042
"7","Cayo Balandras",0.146199949085712,0.000479620599341846
"8","Cayo Providencia",0.1476129591465,NA
"9","Hog Cay",0.174426548182964,0.00481942321448838
"10","Margaret Cay",0.159019619226456,NA
"11","Cayo Antón Chico",0.13128100335598,0.000941960990794226
"12","Cayo Romano",0.138057152967195,0.00621352566609296
"13","Cayo Salinas",0.127574816346169,NA
"14","Cayo El Sapo",0.126233369112015,0.00106106699534944
"15","Cotton Cay",0.151530489325523,0.0104041248680321
"16","Anguilla Cay",0.146521374583244,0.00102101083215744
"17","Cayos Pingues",0.147167578339577,NA
"18","UNNAMED",0.147997722029686,0.00117400046527095
"19","UNNAMED",0.157040894031525,NA
"20","UNNAMED",0.137934977809588,0.00705950320441476
"21","UNNAMED",0.138975918292999,0.00965255553966197
"22","UNNAMED",0.132378950715065,NA
"23","Cayo Guanal",0.137312471866608,0.00571713997118668
"24","UNNAMED",0.133958779275417,0.00558263457649536
"25","UNNAMED",0.127343960106373,0.000502801366022838
"26","Cayos de la Enfermeria",0.125874638557434,NA
"27","UNNAMED",0.130225107073784,NA
"28","Las Picus",0.128580992420514,0.00155157845491284
"29","UNNAMED",0.129652872681618,0.000809261638257676
"30","UNNAMED",0.129267461597919,0.000416253921397265
"31","UNNAMED",0.129011958837509,9.71274123933553e-05
"32","Cayo Esquivel del Sur",0.130752858519554,0.00288460009570192
"33","Cayo Empalizada de Sotavento",0.127884104847908,NA
"34","UNNAMED",0.131595142185688,0.00167437838750441
"35","UNNAMED",0.131952196359634,NA
"36","Hispaniola",0.182384365339922,0.0249869037989648
"37","Juventud",0.140307729028993,0.00792695402053848
"38","Long",0.137590058502697,0.00804077125392365
"39","Acklins",0.143868435984072,0.00717630702098769
"40","Cayo Coco",0.126831223758367,0.0017921845921458
"41","Cayo Las Caguamas",0.146097315209252,0.0120573667244369
"42","Cayo Piedra Grande",0.176054283976555,0.0364923430209755
"43","Cayo Punta Iguna",0.146432250738144,0.00103991026673354
"44","Cayo Miraflores",0.172992195934057,0.0203901044956643
"45","Cayo Mangle Alto",0.147023573517799,0.00178647846783127
"46","Cayo Grande",0.148750339945157,0.0118073261039805
"47","Cayo Guásimas",0.14471485465765,0.00109178250053833
"48","Cayo Ávalos",0.136322773993015,0.00151717193436757
"49","Cayo Hicacos",0.138286873698235,0.00526957832246857
"50","Cayo Matías",0.142552614212036,NA
"51","Cayo Campos",0.140573370456696,0.00770225659437156
"52","Cayo Palma",0.128111317753792,NA
"53","Cayo Rico",NA,NA
"54","Cayo Rabihorcado",0.142629414796829,0.000150822497396234
"55","Cayo Cantiles",0.130848750472069,0.00409487874833905
"56","Cayo Estopa",0.132415622472763,0.000140559739783832
"57","Cayo del Rosario",0.129420898854733,0.000921340645160271
"58","Cayo Divisa de Piedra",0.12794304639101,0.00134691844799902
