"","island","mean","sd"
"1","Santa Fé",0.181641519069672,NA
"2","Santiago",0.17526435189777,0.0131622760069182
"3","Daphne Menor",0.118051216006279,NA
"4","Rabida",0.125556798651814,0.018433580298458
"5","Santa Cruz",0.173693453694912,0.010444652700129
"6","Rabida",0.15000981092453,NA
"7","Baltra",0.178413562476635,0.0126865701867036
"8","Darwin",NA,NA
"9","Daphne Major",0.135583952069283,NA
"10","Gardner",0.148265928030014,NA
"11","Sombrero Chino",0.168894395232201,0.0129686485070749
"12","Gardner por Floreana",NA,NA
"13","Caldwell",0.118903450667858,NA
"14","Pinzón",0.129259988665581,NA
"15","Caamaño",0.11058434844017,NA
"16","Genovesa",0.147535771131516,0.0068042301346652
"17","Fernandina",0.148749768966809,0.0170014902457533
"18","Fernandina",0.136528536677361,NA
"19","Lobos",0.163765370845795,NA
"20","Cowley",0.146205484867096,NA
"21","Albany",0.113948069512844,NA
"22","Bartolome",NA,NA
"23","Seymour Norte",0.117863677442074,0.00583103756490644
"24","Pinta",0.232972001036008,0.00324483306469784
"25","San Cristobal",0.207429454351465,0.00561318657356931
"26","Wolf",0.177495554089546,0.00672334956815484
"27","Eden",0.145604848861694,NA
"28","Floreana",0.158659022301435,0.0100213211599392
"29","Marchena",0.224926486611366,0.00896450138898741
"30","Española",0.187373121579488,0.00103995865248377
"31","Isabela",0.157322469299242,0.0159232295553007
"32","Isabela",0.135143011808395,NA
"33","Isabela",0.155962541699409,NA
"34","Tortuga",0.10419824719429,0.0231991427069425
"35","Enderby",0.100226126611233,NA
