"","island","mean","sd"
"1","Kauai",0.126793626494504,0.0130800104178797
"2","Niihau",0.129245221614838,NA
"3","Niihau",0.102583269029856,0.00876589494999454
"4","Oahu",0.102769313210791,0.00822173199754669
"5","Oahu",0.0855294018983841,0.00103991026673354
"6","Oahu",0.0847576260566711,NA
"7","Oahu",0.0926331803202629,0.0169598180837989
"8","Molokai",0.103799609627043,0.00768043639378275
"9","Maui",0.12109969096615,0.0136209714642843
"10","Lanai",0.0989724318770801,0.00115173052716752
"11","kahoolawe",NA,NA
"12","kahoolawe",0.0978893414139748,0.00941694570744421
"13","Hawaii",0.163502370135235,0.0507602925641939
