"name","mean_elev","median_elev","min_elev","max_elev"
"Cayo Media Luna",3.77667984189723,4,-6,8
"Cuba",104.406612138587,54,-1955,2140
"Cayo Güincho",2.58181818181818,3,0,5
"Cayo Moa Grande",4.79118329466357,5,-56,26
"Cayo Algodón Grande",0.026281208935611,0,-34,5
"Cayo Punta de los Machos",1.36190476190476,1,-1,5
"Cayo Balandras",1.41,1,-1,4
"Cayo Providencia",3.07594936708861,3,-42,64
"Hog Cay",6.96289424860853,5,-9,24
"Margaret Cay",2.25174825174825,2,-1,7
"Cayo Antón Chico",3.05376344086022,3,-1,7
"Cayo Romano",3.2815703074952,3,-124,126
"Cayo Salinas",6.65506329113924,3,-23,289
"Cayo El Sapo",2.40923824959481,2,-81,18
"Cotton Cay",11.4867256637168,11,-14,24
"Anguilla Cay",8.45288753799392,8,2,14
"Cayos Pingues",1.72099447513812,2,-4,6
"Cayo Guanal",2.35725429017161,2,-17,74
"Cayos de la Enfermeria",7.60227272727273,7,-19,21
"Las Picus",4.10327455919396,4,-1,13
"Cayo Esquivel del Sur",5.86581469648562,6,-5,46
"Cayo Empalizada de Sotavento",4.7159501807955,4,-11,25
"Hispaniola",407.224746474349,248,-3233,3673
"Juventud",19.7223416294972,14,-310,303
"Long",8.33449018366055,6,-312,150
"Acklins",5.06096129939236,4,-108,98
"Cayo Coco",6.3099073548875,6,-13,15
"Cayo Las Caguamas",0.516516516516517,1,-107,7
"Cayo Piedra Grande",-0.399193548387097,2,-151,35
"Cayo Punta Iguna",2.39036544850498,2,-20,11
"Cayo Miraflores",-2.03660322108346,1,-292,11
"Cayo Mangle Alto",3.1548357454629,3,-79,22
"Cayo Grande",3.56489151873767,3,-43,14
"Cayo Guásimas",2.00673400673401,2,0,7
"Cayo Ávalos",6.19269102990033,6,0,15
"Cayo Hicacos",5.8712715855573,6,-59,11
"Cayo Matías",6.79957657021877,7,-7,20
"Cayo Campos",5.86708860759494,7,-338,31
"Cayo Palma",7.95460277427491,8,-2,15
"Cayo Rico",6.20597014925373,6,-20,11
"Cayo Rabihorcado",7.3050193050193,7,0,14
"Cayo Cantiles",6.42074210043267,6,-7,17
"Cayo Estopa",7.27298050139276,7,-17,28
"Cayo del Rosario",7.03389322135573,7,-1,51
"Cayo Divisa de Piedra",8.29770992366412,8,4,14
"Cayo Largo",5.98088584234115,6,-526,128
"Cayo San Juan",5.44718714121699,6,-2,31
"Cayo Sifonte",1.89701999245568,2,-6,18
"Cayo Guao",1.99159663865546,2,-1,6
"Cayo Doña María",7.38288288288288,7,1,17
"Cayo Traviesa",7.40182648401827,7,2,13
"Cayo de Navío",5.42595978062157,5,-1,14
"Cayo Guajaba",4.25952271684259,3,-114,309
"Cayo Quitasol",4.13963963963964,4,-1,14
"Cayo Montañés",4.38214285714286,4,2,9
"Cayo La Alegría",2.22353375138325,2,-13,45
"Cayo Coco.1",5.60621761658031,5,-2,27
"Cayo Real",7.30340211935304,7,1,14
"Cayo Flamenco",5.97169811320755,6,1,11
"Cayo Rancho de Cándido",3.62142857142857,3,-3,25
"Cayo Redondo",6.33270676691729,6,-3,18
"Cayo Alacrán Chico",6.42663378545006,6,-39,102
"Cayo Ernest Thaelmann",4.34698275862069,5,-186,32
"Cayo Diego Pérez",6.33118625872249,6,-5,13
"Cayo Los Machos",1.49,1,-2,7
"Cayo de la Pipa",4.289972899729,4,0,9
"Cayo Juan Ruíz",7.43703703703704,7,-6,76
"Little Ragged Island",4.17032040472175,4,-1,11
"Cayo del Masío",6.20043572984749,6,2,13
"Ragged Island",6.11397379912664,4,-78,33
"Cayo La Grifa",7.24766355140187,7,-16,29
"Cayo Cuarto",4.96402877697842,5,-5,27
"Cayo Judas",3.62542182227222,3,-2,15
"Cayo Cruz",1.82951871657754,2,-105,73
"Cayo Mégano Grande",2.63078930202218,3,-18,10
"Raccoon Cay",8.70833333333333,7,-110,45
"Cayo de Buenavista",6.05575905575906,6,-6,14
"Cayo Antón Grande",2.46866485013624,2,0,7
"Bonavista Cay",4.1980198019802,4,-1,14
"Cayo Lucas",2.42943305186972,2,-9,24
"Cayo La Aguada",4.71853546910755,5,0,9
"Nurse Cay",7.55223880597015,7,-1,20
"Cayo Paredón Grande",2.23624235686493,2,-34,13
"Cayo Mal País",4.26329113924051,4,1,10
"Cayo Rapado Grande",9.33520336605891,9,-13,21
"Cayo Boca Ciega",2.54807692307692,2,0,7
"Cayo Diego",8.9478672985782,9,1,26
"Cayo Botella",3.3300373544276,3,-1,11
"Cayo Pueblo Viejo",2.4004400440044,2,-76,31
"Cayo Guzmán",5.31875,5,0,12
"Cayo La Potala",3.7668513388735,3,-35,54
"Cayo Guillermo",3.85808238144687,3,-4,14
"Cayo Iguana",2.97084548104956,3,-1,8
"Cayo Tío Pepe",3.53460422710319,3,-10,12
"Cayo Punta Tierra del Guzmán",3.67789473684211,4,0,8
"Cayo La Vieja Pepilla",4.53211009174312,5,-10,12
"Cayo Francés",7.30234438156831,7,-29,56
"Cayo Majá",4.89016018306636,5,-9,11
"Long Cay",4.10546350201523,4,-73,60
"Cayo Redondo.1",8.98534798534799,9,-11,45
"Cayo Coruita",6.33242506811989,6,-10,27
"Cayo Fragoso",1.84528161596134,2,-24,17
"Cayo Inés de Soto",11.4988789237668,8,-1560,640
"Cayo del Medio de Marcos",3.10385756676558,3,0,7
"Crooked Island",5.12370417322674,4,-37,135
"Cayo Marcos",2.66523911491792,3,-3,8
