"acceptedScientificName","genericName","specificEpithet","decimalLongitude","decimalLatitude","datasetKey"
"Anolis sagrei sagrei Duméril & Bibron, 1837","Anolis","sagrei",-81.2514,23.1536,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis sagrei Duméril & Bibron, 1837","Anolis","sagrei",-81.2514,23.1536,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis distichus ignigularis Mertens, 1939","Anolis","distichus",-69.8960812,18.4773856,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis distichus properus Schwartz, 1968","Anolis","distichus",-68.9755005,18.4171089,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis sagrei Duméril & Bibron, 1837","Anolis","sagrei",-79.411697,21.737122,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis leachii Duméril & Bibron, 1837","Anolis","leachii",-61.763364,17.00435,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis roquet roquet (Bonnaterre, 1789)","Anolis","roquet",-60.995725,14.657803,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis gundlachi Peters, 1877","Anolis","gundlachi",-66.9803,18.1828,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis evermanni Stejneger, 1904","Anolis","evermanni",-66.9803,18.1828,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis aeneus Gray, 1840","Anolis","aeneus",-61.638014,12.224325,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis alutaceus Cope, 1861","Anolis","alutaceus",-76.311697,20.231564,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis cristatellus Duméril & Bibron, 1837","Anolis","cristatellus",-66.625425,18.250539,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis evermanni Stejneger, 1904","Anolis","evermanni",-65.790275,18.295947,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis acutus Hallowell, 1856","Anolis","acutus",-64.878178,17.744042,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis acutus Hallowell, 1856","Anolis","acutus",-64.737294,17.726647,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis oculatus (Cope, 1879)","Anolis","oculatus",-61.254717,15.372014,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis acutus Hallowell, 1856","Anolis","acutus",-64.884422,17.73975,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis wattsii Boulenger, 1894","Anolis","wattsii",-61.818969,17.043847,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis acutus Hallowell, 1856","Anolis","acutus",-64.795594,17.730219,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis oculatus montanus Lazell, 1962","Anolis","oculatus",-61.308253,15.345361,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis poncensis Stejneger, 1904","Anolis","poncensis",-66.864225,17.948942,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis cybotes cybotes","Anolis","cybotes",-69.8960812,18.4773856,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis brevirostris Bocourt, 1870","Anolis","brevirostris",-71.0988783,18.2068382,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis stratulus Cope, 1861","Anolis","stratulus",-66.9803,18.1828,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis stratulus Cope, 1861","Anolis","stratulus",-66.625425,18.250539,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis stratulus Cope, 1861","Anolis","stratulus",-66.3744,18.0397,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis pulchellus Duméril & Bibron, 1837","Anolis","pulchellus",-66.625425,18.250539,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis valencienni Duméril & Bibron, 1837","Anolis","valencienni",-76.798114,18.010706,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
"Anolis cybotes Cope, 1862","Anolis","cybotes",-71.0988783,18.2068382,"cece4fc2-1fec-4bb5-a335-7252548e3f0b"
