Genus,Species,areas,Log areas
Anolis,carolinensis,4562500,15.33338128
Anolis,carolinensis,22000000,16.90655301
Anolis,gingivinus,22000000,16.90655301
Anolis,pogus,22000000,16.90655301
Anolis,nubilus,301187500,19.52324355
Anolis,wattsii,301187500,19.52324355
Anolis,leachii,301187500,19.52324355
Anolis,lineatus,189562500,19.06022934
Anolis,carolinensis,523000000,20.07509202
Anolis,carolinensis,5957000000,22.50783284
Anolis,smaragdinus,5957000000,22.50783284
Anolis,angusticeps,5957000000,22.50783284
Anolis,distichus,5957000000,22.50783284
Anolis,carolinensis,433687500,19.88783479
Anolis,smaragdinus,433687500,19.88783479
Anolis,distichus,433687500,19.88783479
Anolis,carolinensis,298125000,19.51302342
Anolis,brunneus,298125000,19.51302342
Anolis,sagrei,298125000,19.51302342
Anolis,smaragdinus,528125000,20.08484356
Anolis,angusticeps,528125000,20.08484356
Anolis,distichus,528125000,20.08484356
Anolis,smaragdinus,1.20E+09,20.90558739
Anolis,sagrei,1.20E+09,20.90558739
Anolis,smaragdinus,2.12E+08,19.17209683
Anolis,sagrei,2.12E+08,19.17209683
Anolis,scriptus,1.77E+09,21.29424538
Anolis,scriptus,1.53E+08,18.84594848
Anolis,smaragdinus,5.96E+08,20.20575123
Anolis,distichus,5.96E+08,20.20575123
Anolis,scriptus,3.36E+08,19.63262172
Anolis,distichus,3.36E+08,19.63262172
Anolis,carolinensis,2.64E+08,19.39145966
Anolis,smaragdinus,2.64E+08,19.39145966
Anolis,angusticeps,2.64E+08,19.39145966
Anolis,distichus,2.64E+08,19.39145966
Anolis,sagrei,2.64E+08,19.39145966
Anolis,smaragdinus,1.81E+08,19.01400759
Anolis,distichus,1.81E+08,19.01400759
Anolis,sagrei,180500000,19.01124134
Anolis,extremus,459187500,19.94496918
Anolis,wattsii,151187500,18.83403135
Anolis,leachii,151187500,18.83403135
Anolis,sagrei,1437500,14.17841605
Anolis,grahami,57000000,17.85856183
Anolis,bonairensis,255312500,19.35799884
Anolis,maynardii,44312500,17.60677736
Anolis,maynardii,228562500,19.24732025
Anolis,maynardii,33625000,17.3307804
Anolis,sagrei,33625000,17.3307804
Anolis,alfaroi,1.22E+11,25.52728688
Anolis,carolinensis,1.22E+11,25.52728688
Anolis,imias,1.22E+11,25.52728688
Anolis,bartschi,1.22E+11,25.52728688
Anolis,isolepis,1.22E+11,25.52728688
Anolis,alutaceus,1.22E+11,25.52728688
Anolis,chamaeleonides,1.22E+11,25.52728688
Anolis,argillaceus,1.22E+11,25.52728688
Anolis,rejectus,1.22E+11,25.52728688
Anolis,mestrei,1.22E+11,25.52728688
Anolis,paternus,1.22E+11,25.52728688
Anolis,baracoae,1.22E+11,25.52728688
Anolis,garridoi,1.22E+11,25.52728688
Anolis,barbatus,1.22E+11,25.52728688
Anolis,bremeri,1.22E+11,25.52728688
Anolis,porcus,1.22E+11,25.52728688
Anolis,quadriocellifer,1.22E+11,25.52728688
Anolis,confusus,1.22E+11,25.52728688
Anolis,allogus,1.22E+11,25.52728688
Anolis,macilentus,1.22E+11,25.52728688
Anolis,angusticeps,1.22E+11,25.52728688
Anolis,porcatus,1.22E+11,25.52728688
Anolis,smallwoodi,1.22E+11,25.52728688
Anolis,vermiculatus,1.22E+11,25.52728688
Anolis,argenteolus,1.22E+11,25.52728688
Anolis,ahli,1.22E+11,25.52728688
Anolis,alayoni,1.22E+11,25.52728688
Anolis,altitudinalis,1.22E+11,25.52728688
Anolis,noblei,1.22E+11,25.52728688
Anolis,guamuhaya,1.22E+11,25.52728688
Anolis,allisoni,1.22E+11,25.52728688
Anolis,guazuma,1.22E+11,25.52728688
Anolis,sagrei,1.22E+11,25.52728688
Anolis,grahami,1.22E+11,25.52728688
Anolis,angusticeps,321875000,19.58967383
Anolis,porcatus,321875000,19.58967383
Anolis,allisoni,321875000,19.58967383
Anolis,sagrei,321875000,19.58967383
Anolis,ophiolepis,2419000000,21.60662007
Anolis,bremeri,2419000000,21.60662007
Anolis,angusticeps,2419000000,21.60662007
Anolis,porcatus,2419000000,21.60662007
Anolis,sagrei,2419000000,21.60662007
Anolis,paternus,2419000000,21.60662007
Anolis,lineatus,451750000,19.92863949
Anolis,ravitergum,83104562500,25.14336544
Anolis,longitibialis,83104562500,25.14336544
Anolis,insolitus,83104562500,25.14336544
Anolis,chlorocyanus,83104562500,25.14336544
Anolis,olssoni,83104562500,25.14336544
Anolis,bahorucoensis,83104562500,25.14336544
Anolis,dominicensis,83104562500,25.14336544
Anolis,cybotes,83104562500,25.14336544
Anolis,saxatilis,83104562500,25.14336544
Anolis,barahonae,83104562500,25.14336544
Anolis,porcatus,83104562500,25.14336544
Anolis,christophei,83104562500,25.14336544
Anolis,fowleri,83104562500,25.14336544
Anolis,armouri,83104562500,25.14336544
Anolis,brevirostris,83104562500,25.14336544
Anolis,marcanoi,83104562500,25.14336544
Anolis,baleatus,83104562500,25.14336544
Anolis,ignigularis,83104562500,25.14336544
Anolis,properus,83104562500,25.14336544
Anolis,coelestinus,83104562500,25.14336544
Anolis,carolinensis,34687500,17.36188995
Anolis,carolinensis,38250000,17.45965412
Anolis,carolinensis,25187500,17.0418584
Anolis,carolinensis,6687500,15.71575067
Anolis,carolinensis,67750000,18.03133502
Anolis,carolinensis,9500000,16.06680236
Anolis,gorgonae,26000000,17.0736071
Anolis,carolinensis,228562500,19.24732025
Anolis,conspersus,228562500,19.24732025
Anolis,aeneus,329750000,19.61384535
Anolis,richardii,329750000,19.61384535
Anolis,aeneus,16937500,16.64504066
Anolis,richardii,16937500,16.64504066
Anolis,aeneus,8125000,15.91045629
Anolis,monticola,83104562500,25.14336544
Anolis,marron,83104562500,25.14336544
Anolis,darlingtoni,83104562500,25.14336544
Anolis,chlorocyanus,83104562500,25.14336544
Anolis,olssoni,83104562500,25.14336544
Anolis,bahorucoensis,83104562500,25.14336544
Anolis,vinosus,83104562500,25.14336544
Anolis,dominicensis,83104562500,25.14336544
Anolis,websteri,83104562500,25.14336544
Anolis,cybotes,83104562500,25.14336544
Anolis,caudalis,83104562500,25.14336544
Anolis,barahonae,83104562500,25.14336544
Anolis,christophei,83104562500,25.14336544
Anolis,armouri,83104562500,25.14336544
Anolis,brevirostris,83104562500,25.14336544
Anolis,koopmani,83104562500,25.14336544
Anolis,coelestinus,83104562500,25.14336544
Anolis,favillarum,83104562500,25.14336544
Anolis,hendersoni,83104562500,25.14336544
Anolis,distichus,83104562500,25.14336544
Anolis,bicaorum,44988093,17.62190841
Anolis,desechensis,1525503,14.23783475
Anolis,opalinus,12225750000,23.22681022
Anolis,grahami,12225750000,23.22681022
Anolis,reconditus,12225750000,23.22681022
Anolis,sagrei,12225750000,23.22681022
Anolis,roquet,1190000000,20.89721914
Anolis,carolinensis,54875000,17.82056843
Anolis,lividus,112375000,18.53735205
Anolis,nubilus,112375000,18.53735205
Anolis,wattsii,103625000,18.45628917
Anolis,schwartzi,103625000,18.45628917
Anolis,ernestwilliamsi,7200000,15.78959158
Anolis,poncensis,9710687500,22.99649292
Anolis,gundlachi,9710687500,22.99649292
Anolis,evermanni,9710687500,22.99649292
Anolis,pulchellus,9710687500,22.99649292
Anolis,occultus,9710687500,22.99649292
Anolis,krugi,9710687500,22.99649292
Anolis,cuvieri,9710687500,22.99649292
Anolis,monensis,55814244,17.83753966
Anolis,pulchellus,348094000,19.66798312
Anolis,pulchellus,187500,12.14153412
Anolis,schwartzi,22812500,16.94281919
Anolis,pulchellus,51800000,17.76290071
Anolis,wattsii,173995000,18.97453712
Anolis,schwartzi,173995000,18.97453712
Anolis,luciae,643812500,20.28291809
Anolis,extremus,643812500,20.28291809
Anolis,wattsii,88060000,18.29352896
Anolis,pogus,88060000,18.29352896
Anolis,pulchellus,82880000,18.23290434
Anolis,aeneus,344986000,19.65901439
Anolis,griseus,344986000,19.65901439
Anolis,richardii,344986000,19.65901439
Anolis,gingivinus,21000000,16.860033
Anolis,gingivinus,88060000,18.29352896
Anolis,carolinensis,139312500,18.75223017
Anolis,richardii,314250000,19.56569941
Anolis,pulchellus,309375000,19.55006469
Anolis,planiceps,5024062500,22.33750471
Anolis,scriptus,144211000,18.78678806
Anolis,scriptus,240937500,19.30004812
Anolis,scriptus,126000000,18.65179246
Anolis,acutus,187500,12.14153412
