"name","species","area"
"Acklins","Anolis carolinensis",446074531.252405
"Ambergris Cay","Anolis sagrei",1070522.61806676
"Andros","Anolis distichus",28019048.8793069
"Andros","Anolis angusticeps",28019048.8793069
"Andros","Anolis smaragdinus",28019048.8793069
"Andros","Anolis carolinensis",28019048.8793069
"Anguilla","Anolis gingivinus",72789842.3393031
"Anguilla","Anolis carolinensis",72789842.3393031
"Anguilla","Anolis pogus",72789842.3393031
"Antigua","Anolis leachii",274569789.360455
"Antigua","Anolis wattsii",274569789.360455
"Antigua","Anolis nubilus",274569789.360455
"Barbados","Anolis extremus",434104883.015959
"Barbuda","Anolis wattsii",136370547.976322
"Barbuda","Anolis leachii",136370547.976322
"Bequia","Anolis aeneus",15959124.9781617
"Bequia","Anolis richardii",15959124.9781617
"Canouan","Anolis aeneus",7652446.6833209
"Cat","Anolis distichus",358909356.769497
"Cat","Anolis carolinensis",358909356.769497
"Cat","Anolis smaragdinus",358909356.769497
"Cayman Brac Island","Anolis maynardii",39200085.3239309
"Cayo Coco","Anolis angusticeps",273981518.463493
"Cayo Coco","Anolis sagrei",273981518.463493
"Cayo Coco","Anolis allisoni ",273981518.463493
"Cayo Coco","Anolis porcatus ",273981518.463493
"Crooked Island","Anolis carolinensis",252842055.21328
"Crooked Island","Anolis brunneus",252842055.21328
"Crooked Island","Anolis sagrei",252842055.21328
"Cuba","Anolis bartschi",105232763321.725
"Cuba","Anolis argillaceus",105232763321.725
"Cuba","Anolis imias",105232763321.725
"Cuba","Anolis baracoae",105232763321.725
"Cuba","Anolis garridoi",105232763321.725
"Cuba","Anolis alfaroi",105232763321.725
"Cuba","Anolis paternus",105232763321.725
"Cuba","Anolis porcus  ",105232763321.725
"Cuba","Anolis quadriocellifer",105232763321.725
"Cuba","Anolis confusus  ",105232763321.725
"Cuba","Anolis carolinensis",105232763321.725
"Cuba","Anolis chamaeleonides",105232763321.725
"Cuba","Anolis angusticeps",105232763321.725
"Cuba","Anolis rejectus",105232763321.725
"Cuba","Anolis mestrei",105232763321.725
"Cuba","Anolis vermiculatus",105232763321.725
"Cuba","Anolis argenteolus",105232763321.725
"Cuba","Anolis ahli",105232763321.725
"Cuba","Anolis barbatus",105232763321.725
"Cuba","Anolis bremeri",105232763321.725
"Cuba","Anolis noblei  ",105232763321.725
"Cuba","Anolis guamuhaya",105232763321.725
"Cuba","Anolis allisoni ",105232763321.725
"Cuba","Anolis allogus",105232763321.725
"Cuba","Anolis macilentus",105232763321.725
"Cuba","Anolis grahami",105232763321.725
"Cuba","Anolis sagrei",105232763321.725
"Cuba","Anolis smallwoodi",105232763321.725
"Cuba","Anolis alayoni",105232763321.725
"Cuba","Anolis altitudinalis",105232763321.725
"Cuba","Anolis guazuma",105232763321.725
"Cuba","Anolis isolepis",105232763321.725
"Cuba","Anolis alutaceus",105232763321.725
"Cuba","Anolis porcatus ",105232763321.725
"Desecheo","Anolis desechensis",1186876.21146912
"Eleuthera","Anolis distichus",431551462.959249
"Eleuthera","Anolis angusticeps",431551462.959249
"Eleuthera","Anolis smaragdinus",431551462.959249
"Grand Bahama","Anolis sagrei",954036918.816754
"Grand Bahama","Anolis smaragdinus",954036918.816754
"Grand Cayman","Anolis conspersus",202825067.465073
"Grand Cayman","Anolis carolinensis",202825067.465073
"Grand Cayman","Anolis maynardii",202825067.465073
"Grand Turk","Anolis scriptus",18424808
"Great Exuma","Anolis sagrei",178000013.021914
"Great Exuma","Anolis smaragdinus",178000013.021914
"Great Inagua","Anolis scriptus",1532737285.15971
"Grenada","Anolis richardii",314966480.541147
"Grenada","Anolis aeneus",314966480.541147
"Hispaniola","Anolis bahorucoensis",74199803180.5671
"Hispaniola","Anolis armouri",74199803180.5671
"Hispaniola","Anolis caudalis ",74199803180.5671
"Hispaniola","Anolis brevirostris ",74199803180.5671
"Hispaniola","Anolis cybotes",74199803180.5671
"Hispaniola","Anolis chlorocyanus",74199803180.5671
"Hispaniola","Anolis dominicensis ",74199803180.5671
"Hispaniola","Anolis favillarum",74199803180.5671
"Hispaniola","Anolis fowleri",74199803180.5671
"Hispaniola","Anolis baleatus",74199803180.5671
"Hispaniola","Anolis barahonae",74199803180.5671
"Hispaniola","Anolis insolitus",74199803180.5671
"Hispaniola","Anolis koopmani ",74199803180.5671
"Hispaniola","Anolis longitibialis",74199803180.5671
"Hispaniola","Anolis christophei",74199803180.5671
"Hispaniola","Anolis coelestinus",74199803180.5671
"Hispaniola","Anolis monticola",74199803180.5671
"Hispaniola","Anolis olssoni",74199803180.5671
"Hispaniola","Anolis distichus",74199803180.5671
"Hispaniola","Anolis properus",74199803180.5671
"Hispaniola","Anolis ravitergum",74199803180.5671
"Hispaniola","Anolis vinosus",74199803180.5671
"Hispaniola","Anolis websteri",74199803180.5671
"Hispaniola","Anolis saxatilis",74199803180.5671
"Hispaniola","Anolis ignigularis",74199803180.5671
"Hispaniola","Anolis marron",74199803180.5671
"Hispaniola","Anolis darlingtoni",74199803180.5671
"Hispaniola","Anolis marcanoi",74199803180.5671
"Hispaniola","Anolis porcatus ",74199803180.5671
"Hispaniola","Anolis hendersoni",74199803180.5671
"Île Saint-Barthélemy","Anolis gingivinus",19096428
"Jamaica","Anolis grahami",11012634460.3015
"Jamaica","Anolis reconditus",11012634460.3015
"Jamaica","Anolis opalinus",11012634460.3015
"Jamaica","Anolis sagrei",11012634460.3015
"Juventud","Anolis bremeri",2191953785.37776
"Juventud","Anolis paternus",2191953785.37776
"Juventud","Anolis ophiolepis",2191953785.37776
"Juventud","Anolis sagrei",2191953785.37776
"Juventud","Anolis angusticeps",2191953785.37776
"Juventud","Anolis porcatus ",2191953785.37776
"Little Cayman","Anolis sagrei",29647627.0470032
"Little Cayman","Anolis maynardii",29647627.0470032
"Little Inagua","Anolis scriptus",132018974.460793
"Long Island","Anolis distichus",1272349.50616151
"Long Island","Anolis smaragdinus",1272349.50616151
"Martinique","Anolis roquet",1110936543.75618
"Mayaguana","Anolis scriptus",286222863.506936
"Mayaguana","Anolis distichus",286222863.506936
"Mona","Anolis monensis",55919089.7450904
"Montserrat","Anolis lividus",102637438.561531
"Montserrat","Anolis nubilus",102637438.561531
"Nevis","Anolis schwartzi",94410672.7308539
"Nevis","Anolis wattsii",94410672.7308539
"New Providence","Anolis angusticeps",215975030.709492
"New Providence","Anolis smaragdinus",215975030.709492
"New Providence","Anolis carolinensis",215975030.709492
"New Providence","Anolis sagrei",215975030.709492
"New Providence","Anolis distichus",215975030.709492
"North Caicos","Anolis scriptus",206722661.778788
"Peter","Anolis ernestwilliamsi",4373926.93984773
"Providenciales","Anolis scriptus",107945329.867311
"Puerto Rico","Anolis poncensis",8739906339.99614
"Puerto Rico","Anolis occultus",8739906339.99614
"Puerto Rico","Anolis pulchellus",8739906339.99614
"Puerto Rico","Anolis krugi",8739906339.99614
"Puerto Rico","Anolis evermanni",8739906339.99614
"Puerto Rico","Anolis gundlachi",8739906339.99614
"Puerto Rico","Anolis cuvieri",8739906339.99614
"Saint Lucia","Anolis extremus",605907326.943428
"Saint Lucia","Anolis luciae",605907326.943428
