species,name
Anolis carolinensis,Anguilla
Anolis gingivinus,Anguilla
Anolis pogus,Anguilla
Anolis nubilus,Antigua
Anolis wattsii,Antigua
Anolis leachii,Antigua
Anolis carolinensis,Acklins
Anolis carolinensis,Andros
Anolis smaragdinus,Andros
Anolis angusticeps,Andros
Anolis distichus,Andros
Anolis carolinensis,Cat
Anolis smaragdinus,Cat
Anolis distichus,Cat
Anolis carolinensis,Crooked Island
Anolis brunneus,Crooked Island
Anolis sagrei,Crooked Island
Anolis smaragdinus,Eleuthera
Anolis angusticeps,Eleuthera
Anolis distichus,Eleuthera
Anolis smaragdinus,Grand Bahama
Anolis sagrei,Grand Bahama
Anolis smaragdinus,Great Exuma
Anolis sagrei,Great Exuma
Anolis scriptus,Great Inagua
Anolis scriptus,Little Inagua
Anolis smaragdinus,Long Island
Anolis distichus,Long Island
Anolis scriptus,Mayaguana
Anolis distichus,Mayaguana
Anolis carolinensis,New Providence
Anolis smaragdinus,New Providence
Anolis angusticeps,New Providence
Anolis distichus,New Providence
Anolis sagrei,New Providence
Anolis smaragdinus,San Salvador
Anolis distichus,San Salvador
Anolis sagrei,San Salvador
Anolis extremus,Barbados
Anolis wattsii,Barbuda
Anolis leachii,Barbuda
Anolis sagrei,Ambergris Cay
Anolis pulchellus,Tortola
Anolis maynardii,Cayman Brac Island
Anolis maynardii,Grand Cayman
Anolis maynardii,Little Cayman
Anolis sagrei,Little Cayman
Anolis alfaroi,Cuba
Anolis carolinensis,Cuba
Anolis imias,Cuba
Anolis bartschi,Cuba
Anolis isolepis,Cuba
Anolis alutaceus,Cuba
Anolis chamaeleonides,Cuba
Anolis argillaceus,Cuba
Anolis rejectus,Cuba
Anolis mestrei,Cuba
Anolis paternus,Cuba
Anolis baracoae,Cuba
Anolis garridoi,Cuba
Anolis barbatus,Cuba
Anolis bremeri,Cuba
Anolis porcus  ,Cuba
Anolis quadriocellifer,Cuba
Anolis confusus  ,Cuba
Anolis allogus,Cuba
Anolis macilentus,Cuba
Anolis angusticeps,Cuba
Anolis porcatus ,Cuba
Anolis smallwoodi,Cuba
Anolis vermiculatus,Cuba
Anolis argenteolus,Cuba
Anolis ahli,Cuba
Anolis alayoni,Cuba
Anolis altitudinalis,Cuba
Anolis noblei  ,Cuba
Anolis guamuhaya,Cuba
Anolis allisoni ,Cuba
Anolis guazuma,Cuba
Anolis sagrei,Cuba
Anolis grahami,Cuba
Anolis angusticeps,Cayo Coco
Anolis porcatus ,Cayo Coco
Anolis allisoni ,Cayo Coco
Anolis sagrei,Cayo Coco
Anolis ophiolepis,Juventud
Anolis bremeri,Juventud
Anolis angusticeps,Juventud
Anolis porcatus ,Juventud
Anolis sagrei,Juventud
Anolis paternus,Juventud
Anolis carolinensis,Grand Cayman
Anolis conspersus,Grand Cayman
Anolis aeneus,Grenada
Anolis richardii,Grenada
Anolis aeneus,Bequia
Anolis richardii,Bequia
Anolis aeneus,Canouan
Anolis armouri,Hispaniola
Anolis bahorucoensis,Hispaniola
Anolis baleatus,Hispaniola
Anolis barahonae,Hispaniola
Anolis brevirostris ,Hispaniola
Anolis caudalis ,Hispaniola
Anolis chlorocyanus,Hispaniola
Anolis christophei,Hispaniola
Anolis coelestinus,Hispaniola
Anolis cybotes,Hispaniola
Anolis darlingtoni,Hispaniola
Anolis distichus,Hispaniola
Anolis dominicensis ,Hispaniola
Anolis favillarum,Hispaniola
Anolis fowleri,Hispaniola
Anolis hendersoni,Hispaniola
Anolis ignigularis,Hispaniola
Anolis insolitus,Hispaniola
Anolis koopmani ,Hispaniola
Anolis longitibialis,Hispaniola
Anolis marcanoi,Hispaniola
Anolis marron,Hispaniola
Anolis monticola,Hispaniola
Anolis olssoni,Hispaniola
Anolis porcatus ,Hispaniola
Anolis properus,Hispaniola
Anolis ravitergum,Hispaniola
Anolis vinosus,Hispaniola
Anolis websteri,Hispaniola
Anolis saxatilis,Hispaniola
Anolis desechensis,Desecheo
Anolis opalinus,Jamaica
Anolis grahami,Jamaica
Anolis reconditus,Jamaica
Anolis sagrei,Jamaica
Anolis roquet,Martinique
Anolis lividus,Montserrat
Anolis nubilus,Montserrat
Anolis wattsii,Nevis
Anolis schwartzi,Nevis
Anolis ernestwilliamsi,Peter
Anolis poncensis,Puerto Rico
Anolis gundlachi,Puerto Rico
Anolis evermanni,Puerto Rico
Anolis pulchellus,Puerto Rico
Anolis occultus,Puerto Rico
Anolis krugi,Puerto Rico
Anolis cuvieri,Puerto Rico
Anolis monensis,Mona
Anolis pulchellus,Viegues
Anolis schwartzi,Sint Eustatius
Anolis wattsii,St Kitts
Anolis schwartzi,St Kitts
Anolis luciae,Saint Lucia
Anolis extremus,Saint Lucia
Anolis wattsii,Saint Martin/Sint Maarten
Anolis pogus,Saint Martin/Sint Maarten
Anolis aeneus,St Vincent
Anolis griseus  ,St Vincent
Anolis richardii,St Vincent
Anolis gingivinus,Île Saint-Barthélemy
Anolis gingivinus,Saint Martin/Sint Maarten
Anolis richardii,Tobago
Anolis planiceps,Trinidad
Anolis scriptus,Grand Turk
Anolis scriptus,North Caicos
Anolis scriptus,Providenciales
Anolis pulchellus,St. Croix
Anolis pulchellus,St. John
Anolis pulchellus,St. Thomas
Anolis acutus,St. Croix
