SpeciesName,Genus,Species,Longitude,Latitude,First,Second,Third,datasetKey
Eleutherodactylus abbotti,Eleutherodactylus,abbotti,,,Hispaniola,,,
Eleutherodactylus acmonis,Eleutherodactylus,acmonis,,,Cuba,,,
Eleutherodactylus adelus,Eleutherodactylus,adelus,,,Cuba,,,
Eleutherodactylus albipes,Eleutherodactylus,albipes,,,Cuba,,,
Eleutherodactylus alcoae,Eleutherodactylus,alcoae,,,Hispaniola,,,
Eleutherodactylus alticola,Eleutherodactylus,alticola,,,Jamaica,,,
Eleutherodactylus amadeus,Eleutherodactylus,amadeus,,,Hispaniola,,,
Eleutherodactylus andrewsi,Eleutherodactylus,andrewsi,,,Jamaica,,,
Eleutherodactylus antillensis,Eleutherodactylus,antillensis,,,Puerto Rico,,,
Eleutherodactylus antillensis,Eleutherodactylus,antillensis,,,Saint Croix,,,
Eleutherodactylus antillensis,Eleutherodactylus,antillensis,,,Anegada,,,
Eleutherodactylus antillensis,Eleutherodactylus,antillensis,,,Virgin Gorda,,,
Eleutherodactylus antillensis,Eleutherodactylus,antillensis,,,Guana Island,,,
Eleutherodactylus antillensis,Eleutherodactylus,antillensis,,,Tortola,,,
Eleutherodactylus antillensis,Eleutherodactylus,antillensis,,,Jost Van Dyke,,,
Eleutherodactylus antillensis,Eleutherodactylus,antillensis,,,Great Thatch Island,,,
Eleutherodactylus antillensis,Eleutherodactylus,antillensis,,,Saint John,,,
Eleutherodactylus antillensis,Eleutherodactylus,antillensis,,,Saint Thomas,,,
Eleutherodactylus antillensis,Eleutherodactylus,antillensis,,,Vieques,,,
Eleutherodactylus antillensis,Eleutherodactylus,antillensis,,,Culebra,,,
Eleutherodactylus aporostegus,Eleutherodactylus,aporostegus,,,Hispaniola,,,
Eleutherodactylus apostates,Eleutherodactylus,apostates,,,Hispaniola,,,
Eleutherodactylus armstrongi,Eleutherodactylus,armstrongi,,,Hispaniola,,,
Eleutherodactylus atkinsi,Eleutherodactylus,atkinsi,,,Cuba,,,
Eleutherodactylus audanti,Eleutherodactylus,audanti,,,Hispaniola,,,
Eleutherodactylus auriculatoides,Eleutherodactylus,auriculatoides,,,Hispaniola,,,
Eleutherodactylus auriculatus,Eleutherodactylus,auriculatus,,,Hispaniola,,,
Eleutherodactylus auriculatus,Eleutherodactylus,auriculatus,,,Cuba,,,
Eleutherodactylus auriculatus,Eleutherodactylus,auriculatus,,,Puerto Rico,,,
Eleutherodactylus bakeri,Eleutherodactylus,bakeri,,,Hispaniola,,,
Eleutherodactylus bartonsmithi,Eleutherodactylus,bartonsmithi,,,Cuba,,,
Eleutherodactylus blairhedgesi,Eleutherodactylus,blairhedgesi,,,Cuba,,,
Eleutherodactylus bresslerae,Eleutherodactylus,bresslerae,,,Cuba,,,
Eleutherodactylus brevipalmatus,Eleutherodactylus,brevipalmatus,,,Cuba,,,
Eleutherodactylus brevirostris,Eleutherodactylus,brevirostris,,,Hispaniola,,,
Eleutherodactylus brittoni,Eleutherodactylus,brittoni,,,Puerto Rico,,,
Eleutherodactylus caribe,Eleutherodactylus,caribe,,,Hispaniola,,,
Eleutherodactylus casparii,Eleutherodactylus,casparii,,,Cuba,,,
Eleutherodactylus cavernicola,Eleutherodactylus,cavernicola,,,Jamaica,,,
Eleutherodactylus chlorophenax,Eleutherodactylus,chlorophenax,,,Hispaniola,,,
Eleutherodactylus cochranae,Eleutherodactylus,cochranae,,,Vieques,,,
Eleutherodactylus cochranae,Eleutherodactylus,cochranae,,,Saint Thomas,,,
Eleutherodactylus cochranae,Eleutherodactylus,cochranae,,,Tortolla,,,
Eleutherodactylus cochranae,Eleutherodactylus,cochranae,,,Puerto Rico,,,
Eleutherodactylus cooki,Eleutherodactylus,cooki,,,Puerto Rico,,,
Eleutherodactylus coqui,Eleutherodactylus,coqui,,,Saint John,,,
Eleutherodactylus coqui,Eleutherodactylus,coqui,,,Saint Thomas,,,
Eleutherodactylus coqui,Eleutherodactylus,coqui,,,Puerto Rico,,,
Eleutherodactylus corona,Eleutherodactylus,corona,,,Hispaniola,,,
Eleutherodactylus counouspeus,Eleutherodactylus,counouspeus,,,Hispaniola,,,
Eleutherodactylus cubanus,Eleutherodactylus,cubanus,,,Cuba,,,
Eleutherodactylus cundalli,Eleutherodactylus,cundalli,,,Jamaica,,,
Eleutherodactylus cuneatus,Eleutherodactylus,cuneatus,,,Cuba,,,
Eleutherodactylus darlingtoni,Eleutherodactylus,darlingtoni,,,Hispaniola,,,
Eleutherodactylus dimidiatus,Eleutherodactylus,dimidiatus,,,Cuba,,,
Eleutherodactylus diplasius,Eleutherodactylus,diplasius,,,Hispaniola,,,
Eleutherodactylus dolomedes,Eleutherodactylus,dolomedes,,,Hispaniola,,,
Eleutherodactylus eileenae,Eleutherodactylus,eileenae,,,Cuba,,,
Eleutherodactylus emiliae,Eleutherodactylus,emiliae,,,Cuba,,,
Eleutherodactylus eneidae,Eleutherodactylus,eneidae,,,Puerto Rico,,,
Eleutherodactylus etheridgei,Eleutherodactylus,etheridgei,,,Cuba,,,
Eleutherodactylus etheridgei,Eleutherodactylus,etheridgei,,,Cuba,,,
Eleutherodactylus feichtingeri,Eleutherodactylus,feichtingeri,,,Cuba,,,
Eleutherodactylus femurlevis,Eleutherodactylus,femurlevis,,,Hispaniola,,,
Eleutherodactylus flavescens,Eleutherodactylus,flavescens,,,Hispaniola,,,
Eleutherodactylus fowleri,Eleutherodactylus,fowleri,,,Hispaniola,,,
Eleutherodactylus furcyensis,Eleutherodactylus,furcyensis,,,Hispaniola,,,
Eleutherodactylus fuscus,Eleutherodactylus,fuscus,,,Jamaica,,,
Eleutherodactylus geitonos,Eleutherodactylus,geitonos,,,Hispaniola,,,
Eleutherodactylus glamyrus,Eleutherodactylus,glamyrus,,,Cuba,,,
Eleutherodactylus glandulifer,Eleutherodactylus,glandulifer,,,Hispaniola,,,
Eleutherodactylus glanduliferoides,Eleutherodactylus,glanduliferoides,,,Hispaniola,,,
Eleutherodactylus glaphycompus,Eleutherodactylus,glaphycompus,,,Hispaniola,,,
Eleutherodactylus goini,Eleutherodactylus,goini,,,Cuba,,,
Eleutherodactylus gossei,Eleutherodactylus,gossei,,,Bermuda,,,
Eleutherodactylus gossei,Eleutherodactylus,gossei,,,Jamaica,,,
Eleutherodactylus grabhami,Eleutherodactylus,grabhami,,,Jamaica,,,
Eleutherodactylus greyi,Eleutherodactylus,greyi,,,Cuba,,,
Eleutherodactylus griphus,Eleutherodactylus,griphus,,,Jamaica,,,
Eleutherodactylus gryllus,Eleutherodactylus,gryllus,,,Puerto Rico,,,
Eleutherodactylus guanahacabibes,Eleutherodactylus,guanahacabibes,,,Cuba,,,
Eleutherodactylus guantanamera,Eleutherodactylus,guantanamera,,,Cuba,,,
Eleutherodactylus gundlachi,Eleutherodactylus,gundlachi,,,Cuba,,,
Eleutherodactylus haitianus,Eleutherodactylus,haitianus,,,Hispaniola,,,
Eleutherodactylus haitianus,Eleutherodactylus,haitianus,,,Cuba,,,
Eleutherodactylus hedricki,Eleutherodactylus,hedricki,,,Puerto Rico,,,
Eleutherodactylus heminota,Eleutherodactylus,heminota,,,Hispaniola,,,
Eleutherodactylus hypostenor,Eleutherodactylus,hypostenor,,,Hispaniola,,,
Eleutherodactylus iberia,Eleutherodactylus,iberia,,,Cuba,,,
Eleutherodactylus inoptatus,Eleutherodactylus,inoptatus,,,Hispaniola,,,
Eleutherodactylus intermedius,Eleutherodactylus,intermedius,,,Cuba,,,
Eleutherodactylus ionthus,Eleutherodactylus,ionthus,,,Cuba,,,
Eleutherodactylus jamaicensis,Eleutherodactylus,jamaicensis,,,Jamaica,,,
Eleutherodactylus jasperi,Eleutherodactylus,jasperi,,,Puerto Rico,,,
Eleutherodactylus jaumei,Eleutherodactylus,jaumei,,,Cuba,,,
Eleutherodactylus johnstonei,Eleutherodactylus,johnstonei,,,Nevis,,,
Eleutherodactylus johnstonei,Eleutherodactylus,johnstonei,,,Montserrat,,,
Eleutherodactylus johnstonei,Eleutherodactylus,johnstonei,,,Barbuda,,,
Eleutherodactylus johnstonei,Eleutherodactylus,johnstonei,,,Antigua,,,
Eleutherodactylus johnstonei,Eleutherodactylus,johnstonei,,,Tobago,,,
Eleutherodactylus johnstonei,Eleutherodactylus,johnstonei,,,Grenada,,,
Eleutherodactylus johnstonei,Eleutherodactylus,johnstonei,,,Netherlands Antilles,,,
Eleutherodactylus johnstonei,Eleutherodactylus,johnstonei,,,Anguilla,,,
Eleutherodactylus johnstonei,Eleutherodactylus,johnstonei,,,Barbados,,,
Eleutherodactylus johnstonei,Eleutherodactylus,johnstonei,,,Saint Lucia,,,
Eleutherodactylus johnstonei,Eleutherodactylus,johnstonei,,,Dominica,,,
Eleutherodactylus johnstonei,Eleutherodactylus,johnstonei,,,Martinique,,,
Eleutherodactylus juanariveroi,Eleutherodactylus,juanariveroi,,,Puerto Rico,,,
Eleutherodactylus jugans,Eleutherodactylus,jugans,,,Hispaniola,,,
Eleutherodactylus junori,Eleutherodactylus,junori,,,Jamaica,,,
Eleutherodactylus karlschmidti,Eleutherodactylus,karlschmidti,,,Puerto Rico,,,
Eleutherodactylus klinikowskii,Eleutherodactylus,klinikowskii,,,Cuba,,,
Eleutherodactylus lamprotes,Eleutherodactylus,lamprotes,,,Hispaniola,,,
Eleutherodactylus leberi,Eleutherodactylus,leberi,,,Cuba,,,
Eleutherodactylus lentus,Eleutherodactylus,lentus,,,Saint Croix,,,
Eleutherodactylus lentus,Eleutherodactylus,lentus,,,Charlotte Amalie,,,
Eleutherodactylus lentus,Eleutherodactylus,lentus,,,Jost Van Dyke,,,
Eleutherodactylus leoncei,Eleutherodactylus,leoncei,,,Hispaniola,,,
Eleutherodactylus ligiae,Eleutherodactylus,ligiae,,,Hispaniola,,,
Eleutherodactylus limbatus,Eleutherodactylus,limbatus,,,Cuba,,,
Eleutherodactylus limbensis,Eleutherodactylus,limbensis,,,Hispaniola,,,
Eleutherodactylus locustus,Eleutherodactylus,locustus,,,Puerto Rico,,,
Eleutherodactylus lucioi,Eleutherodactylus,lucioi,,,Hispaniola,,,
Eleutherodactylus luteolus,Eleutherodactylus,luteolus,,,Jamaica,,,
Eleutherodactylus maestrensis,Eleutherodactylus,maestrensis,,,Cuba,,,
Eleutherodactylus mariposa,Eleutherodactylus,mariposa,,,Cuba,,,
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,,,Bermuda,,,
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,,,Montserrat,,,
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,,,Barbuda,,,
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,,,Antigua,,,
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,,,Grenada,,,
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,,,Barbados,,,
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,,,Saint Lucia,,,
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,,,Dominica,,,
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,,,Martinique,,,
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,,,Jamaica,,,
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,,,St Kitts & Nevis,,,
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,,,The Bottom,,,
Eleutherodactylus martinicensis,Eleutherodactylus,martinicensis,,,Codrington,,,
Eleutherodactylus melacara,Eleutherodactylus,melacara,,,Cuba,,,
Eleutherodactylus minutus,Eleutherodactylus,minutus,,,Hispaniola,,,
Eleutherodactylus monensis,Eleutherodactylus,monensis,,,Isla de Mona,,,
Eleutherodactylus montanus,Eleutherodactylus,montanus,,,Hispaniola,,,
Eleutherodactylus montserratae,Eleutherodactylus,montserratae,,,Montserrat,,,
Eleutherodactylus neiba,Eleutherodactylus,neiba,,,Hispaniola,,,
Eleutherodactylus nortoni,Eleutherodactylus,nortoni,,,Hispaniola,,,
Eleutherodactylus notidodes,Eleutherodactylus,notidodes,,,Hispaniola,,,
Eleutherodactylus nubicola,Eleutherodactylus,nubicola,,,Jamaica,,,
Eleutherodactylus olibrus,Eleutherodactylus,olibrus,,,Cuba,,,
Eleutherodactylus orcutti,Eleutherodactylus,orcutti,,,Jamaica,,,
Eleutherodactylus orientalis,Eleutherodactylus,orientalis,,,Cuba,,,
Eleutherodactylus oxyrhynchus,Eleutherodactylus,oxyrhynchus,,,Hispaniola,,,
Eleutherodactylus oxyrhyncus,Eleutherodactylus,oxyrhyncus,,,Hispaniola,,,
Eleutherodactylus pantoni,Eleutherodactylus,pantoni,,,Jamaica,,,
Eleutherodactylus parabates,Eleutherodactylus,parabates,,,Hispaniola,,,
Eleutherodactylus paralius,Eleutherodactylus,paralius,,,Hispaniola,,,
Eleutherodactylus parapelates,Eleutherodactylus,parapelates,,,Hispaniola,,,
Eleutherodactylus patriciae,Eleutherodactylus,patriciae,,,Hispaniola,,,
Eleutherodactylus paulsoni,Eleutherodactylus,paulsoni,,,Hispaniola,,,
Eleutherodactylus pentasyringos,Eleutherodactylus,pentasyringos,,,Jamaica,,,
Eleutherodactylus phyzelus,Eleutherodactylus,phyzelus,,,Cuba,,,
Eleutherodactylus pictissimus,Eleutherodactylus,pictissimus,,,Hispaniola,,,
Eleutherodactylus pinarensis,Eleutherodactylus,pinarensis,,,Cuba,,,
Eleutherodactylus pituinus,Eleutherodactylus,pituinus,,,Hispaniola,,,
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,,,San Salvador,,,
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,,,Grand Cayman,,,
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,,,North Caicos Island,,,
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,,,New Providence Island,,,
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,,,Grenada,,,
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,,,Cat Island,,,
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,,,Eleuthera Island,,,
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,,,Grand Bahama Island,,,
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,,,Long Island,,,
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,,,Cayman Brac,,,
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,,,Jamaica,,,
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,,,Cuba,,,
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,,,Isla de la juventud,,,
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,,,Saint Martin,,,
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,,,Bells Cay,,,
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,,,Shroud Cays,,,
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,,,Hawksbill Cay,,,
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,,,Current Island,,,
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,,,Royal Island,,,
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,,,Nassau,,,
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,,,Great Abaco,,,
Eleutherodactylus planirostris,Eleutherodactylus,planirostris,,,South Bimini,,,
Eleutherodactylus poolei,Eleutherodactylus,poolei,,,Hispaniola,,,
Eleutherodactylus portoricensis,Eleutherodactylus,portoricensis,,,Puerto Rico,,,
Eleutherodactylus principalis,Eleutherodactylus,principalis,,,Cuba,,,
Eleutherodactylus probolaeus,Eleutherodactylus,probolaeus,,,Hispaniola,,,
Eleutherodactylus ramosi,Eleutherodactylus,ramosi,,,Jost Van Dyke,,,
Eleutherodactylus ramosi,Eleutherodactylus,ramosi,,,Tortola,,,
Eleutherodactylus ramosi,Eleutherodactylus,ramosi,,,St Jone,,,
Eleutherodactylus ramosi,Eleutherodactylus,ramosi,,,Charlotte Amalie,,,
Eleutherodactylus ramosi,Eleutherodactylus,ramosi,,,Vieques,,,
Eleutherodactylus ramosi,Eleutherodactylus,ramosi,,,Puerto Rico,,,
Eleutherodactylus rhodesi,Eleutherodactylus,rhodesi,,,Hispaniola,,,
Eleutherodactylus richmondi,Eleutherodactylus,richmondi,,,Puerto Rico,,,
Eleutherodactylus ricordii,Eleutherodactylus,ricordii,,,Eleuthera Island,,,
Eleutherodactylus ricordii,Eleutherodactylus,ricordii,,,Grand Bahama Island,,,
Eleutherodactylus ricordii,Eleutherodactylus,ricordii,,,West end,,,
Eleutherodactylus ricordii,Eleutherodactylus,ricordii,,,Jamaica,,,
Eleutherodactylus ricordii,Eleutherodactylus,ricordii,,,Andros Island,,,
Eleutherodactylus ricordii,Eleutherodactylus,ricordii,,,Isla de la juventud,,,
Eleutherodactylus ricordii,Eleutherodactylus,ricordii,,,Nasau island,,,
Eleutherodactylus ricordii,Eleutherodactylus,ricordii,,,Hispaniola,,,
