SpeciesName,Genus,specificEpithet,Longitude,Latitude,First,Second,Third,datasetKey,areas
Eleutherodactylus abbotti,Eleutherodactylus,abbotti,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus acmonis,Eleutherodactylus,acmonis,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus adelus,Eleutherodactylus,adelus,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus albipes,Eleutherodactylus,albipes,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus alcoae,Eleutherodactylus,alcoae,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus alticola,Eleutherodactylus,alticola,NA,NA,Jamaica,NA,NA,NA,12225750000
Eleutherodactylus amadeus,Eleutherodactylus,amadeus,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus andrewsi,Eleutherodactylus,andrewsi,NA,NA,Jamaica,NA,NA,NA,12225750000
Eleutherodactylus antillensis,Eleutherodactylus,antillensis,NA,NA,Puerto Rico,NA,NA,NA,9710687500
Eleutherodactylus antillensis,Eleutherodactylus,antillensis,NA,NA,Saint Croix,NA,NA,NA,187500
Eleutherodactylus antillensis,Eleutherodactylus,antillensis,NA,NA,Anegada,NA,NA,NA,44875000
Eleutherodactylus antillensis,Eleutherodactylus,antillensis,NA,NA,Virgin Gorda,NA,NA,NA,24750000
Eleutherodactylus antillensis,Eleutherodactylus,antillensis,NA,NA,Guana Island,NA,NA,NA,3250000
Eleutherodactylus antillensis,Eleutherodactylus,antillensis,NA,NA,Tortola,NA,NA,NA,309375000
Eleutherodactylus antillensis,Eleutherodactylus,antillensis,NA,NA,Jost Van Dyke,NA,NA,NA,9125000
Eleutherodactylus antillensis,Eleutherodactylus,antillensis,NA,NA,Great Thatch Island,NA,NA,NA,1125000
Eleutherodactylus antillensis,Eleutherodactylus,antillensis,NA,NA,Saint John,NA,NA,NA,5.20E+07
Eleutherodactylus antillensis,Eleutherodactylus,antillensis,NA,NA,St. Thomas,NA,NA,NA,80250000
Eleutherodactylus antillensis,Eleutherodactylus,antillensis,NA,NA,Vieques,NA,NA,NA,1.35E+08
Eleutherodactylus antillensis,Eleutherodactylus,antillensis,NA,NA,Culebra,NA,NA,NA,2.80E+07
Eleutherodactylus aporostegus,Eleutherodactylus,aporostegus,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus apostates,Eleutherodactylus,apostates,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus armstrongi,Eleutherodactylus,armstrongi,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus atkinsi,Eleutherodactylus,atkinsi,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus audanti,Eleutherodactylus,audanti,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus auriculatoides,Eleutherodactylus,auriculatoides,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus auriculatus,Eleutherodactylus,auriculatus,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus auriculatus,Eleutherodactylus,auriculatus,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus auriculatus,Eleutherodactylus,auriculatus,NA,NA,Puerto Rico,NA,NA,NA,9710687500
Eleutherodactylus bakeri,Eleutherodactylus,bakeri,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus bartonsmithi,Eleutherodactylus,bartonsmithi,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus blairhedgesi,Eleutherodactylus,blairhedgesi,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus bresslerae,Eleutherodactylus,bresslerae,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus brevipalmatus,Eleutherodactylus,brevipalmatus,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus brevirostris,Eleutherodactylus,brevirostris,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus brittoni,Eleutherodactylus,brittoni,NA,NA,Puerto Rico,NA,NA,NA,9710687500
Eleutherodactylus caribe,Eleutherodactylus,caribe,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus casparii,Eleutherodactylus,casparii,NA,NA,Cuba,NA,NA,NA,1.22E+11
Eleutherodactylus cavernicola,Eleutherodactylus,cavernicola,NA,NA,Jamaica,NA,NA,NA,12225750000
Eleutherodactylus chlorophenax,Eleutherodactylus,chlorophenax,NA,NA,Hispaniola,NA,NA,NA,83104562500
Eleutherodactylus cochranae,Eleutherodactylus,cochranae,NA,NA,Vieques,NA,NA,NA,1.35E+08
