"acceptedScientificName","genericName","specificEpithet","decimalLongitude","decimalLatitude","datasetKey"
"Eleutherodactylus montserratae Hedges, 2022","Eleutherodactylus","montserratae",-63.238083,17.628614,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus pictissimus Cochran, 1935","Eleutherodactylus","pictissimus",-74.043045,18.448004,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-65.832765,18.334215,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Eleutherodactylus abbotti Cochran, 1923","Eleutherodactylus","abbotti",-71.16,18.06,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus armstrongi Noble & Hassler, 1933","Eleutherodactylus","armstrongi",-71.16,18.06,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus johnstonei Barbour, 1914","Eleutherodactylus","johnstonei",-61.016667,13.816667,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus johnstonei Barbour, 1914","Eleutherodactylus","johnstonei",-63.05,18.21,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus planirostris (Cope, 1862)","Eleutherodactylus","planirostris",-74.46,24.11,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus rhodesi Schwartz, 1980","Eleutherodactylus","rhodesi",-72.81,19.88,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus lucioi Schwartz, 1980","Eleutherodactylus","lucioi",-73.26,19.85,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus weinlandi Barbour, 1914","Eleutherodactylus","weinlandi",-69.8894111,18.4707159,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus portoricensis Schmidt, 1927","Eleutherodactylus","portoricensis",-65.81,18.32,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus wightmanae Schmidt, 1920","Eleutherodactylus","wightmanae",-65.81,18.32,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus richmondi Stejneger, 1904","Eleutherodactylus","richmondi",-65.81,18.32,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus sommeri Schwartz, 1977","Eleutherodactylus","sommeri",-72.3,19.49,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus sommeri Schwartz, 1977","Eleutherodactylus","sommeri",-72.31,19.49,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus chlorophenax Schwartz, 1976","Eleutherodactylus","chlorophenax",-74.1,18.49,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus paralius Schwartz, 1976","Eleutherodactylus","paralius",-69.1793951,18.4507172,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus sciagraphus Schwartz, 1973","Eleutherodactylus","sciagraphus",-74.1,18.49,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus fowleri Schwartz, 1973","Eleutherodactylus","fowleri",-71.73,18.26,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus eunaster Schwartz, 1973","Eleutherodactylus","eunaster",-74.1,18.51,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus apostates Schwartz, 1973","Eleutherodactylus","apostates",-74.1,18.49,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus glaphycompus Schwartz, 1973","Eleutherodactylus","glaphycompus",-74.1,18.51,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus lamprotes Schwartz, 1973","Eleutherodactylus","lamprotes",-74.1,18.49,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus warreni Schwartz, 1976","Eleutherodactylus","warreni",-72.73,20.01,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus inoptatus (Barbour, 1914)","Eleutherodactylus","inoptatus",-72.2794654,18.4107174,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-67.13,18.2,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.98,18.18,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus cochranae Grant, 1932","Eleutherodactylus","cochranae",-66.71,18.47,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus antillensis (Reinhardt & Lütken, 1863)","Eleutherodactylus","antillensis",-66.71,18.47,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-66.7,18.42,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-67.05,18.03,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus brittoni Schmidt, 1920","Eleutherodactylus","brittoni",-67.03,18.19,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus antillensis (Reinhardt & Lütken, 1863)","Eleutherodactylus","antillensis",-67.03,18.19,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-67.03,18.19,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus alcoae Schwartz, 1971","Eleutherodactylus","alcoae",-71.6494507,18.0707345,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus pictissimus Cochran, 1935","Eleutherodactylus","pictissimus",-71.1694397,17.9707397,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus wetmorei Cochran, 1932","Eleutherodactylus","wetmorei",-71.85,18.25,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus inoptatus (Barbour, 1914)","Eleutherodactylus","inoptatus",-71.85,18.25,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus inoptatus (Barbour, 1914)","Eleutherodactylus","inoptatus",-72.28,18.5,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus pictissimus Cochran, 1935","Eleutherodactylus","pictissimus",-73.35,18.31,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus pictissimus Cochran, 1935","Eleutherodactylus","pictissimus",-73.0794837,18.4307159,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus inoptatus (Barbour, 1914)","Eleutherodactylus","inoptatus",-73.0794837,18.4307159,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus audanti Cochran, 1934","Eleutherodactylus","audanti",-72.2794654,18.4107174,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus wetmorei Cochran, 1932","Eleutherodactylus","wetmorei",-72.46,18.33,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus heminota Shreve & Williams, 1963","Eleutherodactylus","heminota",-72.2794654,18.4107174,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus coqui Thomas, 1966","Eleutherodactylus","coqui",-67.18,18.38,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus gryllus Schmidt, 1920","Eleutherodactylus","gryllus",-67.18,18.38,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
"Eleutherodactylus planirostris (Cope, 1862)","Eleutherodactylus","planirostris",-81.37,19.28,"76dd8f0d-2daa-4a69-9fcd-55e04230334a"
