"species","archipelago"
"Anolis carolinensis","Caribbean"
"Anolis gingivinus","Caribbean"
"Anolis pogus","Caribbean"
"Anolis nubilus","Caribbean"
"Anolis wattsii","Caribbean"
"Anolis leachii","Caribbean"
"Anolis smaragdinus","Caribbean"
"Anolis angusticeps","Caribbean"
"Anolis distichus","Caribbean"
"Anolis brunneus","Caribbean"
"Anolis sagrei","Caribbean"
"Anolis scriptus","Caribbean"
"Anolis extremus","Caribbean"
"Anolis pulchellus","Caribbean"
"Anolis maynardii","Caribbean"
"Anolis alfaroi","Caribbean"
"Anolis imias","Caribbean"
"Anolis bartschi","Caribbean"
"Anolis isolepis","Caribbean"
"Anolis alutaceus","Caribbean"
"Anolis chamaeleonides","Caribbean"
"Anolis argillaceus","Caribbean"
"Anolis rejectus","Caribbean"
"Anolis mestrei","Caribbean"
"Anolis paternus","Caribbean"
"Anolis baracoae","Caribbean"
"Anolis garridoi","Caribbean"
"Anolis barbatus","Caribbean"
"Anolis bremeri","Caribbean"
"Anolis porcus  ","Caribbean"
"Anolis quadriocellifer","Caribbean"
"Anolis confusus  ","Caribbean"
"Anolis allogus","Caribbean"
"Anolis macilentus","Caribbean"
"Anolis porcatus ","Caribbean"
"Anolis smallwoodi","Caribbean"
"Anolis vermiculatus","Caribbean"
"Anolis argenteolus","Caribbean"
"Anolis ahli","Caribbean"
"Anolis alayoni","Caribbean"
"Anolis altitudinalis","Caribbean"
"Anolis noblei  ","Caribbean"
"Anolis guamuhaya","Caribbean"
"Anolis allisoni ","Caribbean"
"Anolis guazuma","Caribbean"
"Anolis grahami","Caribbean"
"Anolis ophiolepis","Caribbean"
"Anolis conspersus","Caribbean"
"Anolis aeneus","Caribbean"
"Anolis richardii","Caribbean"
"Anolis armouri","Caribbean"
"Anolis bahorucoensis","Caribbean"
"Anolis baleatus","Caribbean"
"Anolis barahonae","Caribbean"
"Anolis brevirostris ","Caribbean"
"Anolis caudalis ","Caribbean"
"Anolis chlorocyanus","Caribbean"
"Anolis christophei","Caribbean"
"Anolis coelestinus","Caribbean"
"Anolis cybotes","Caribbean"
"Anolis darlingtoni","Caribbean"
"Anolis dominicensis ","Caribbean"
"Anolis favillarum","Caribbean"
"Anolis fowleri","Caribbean"
"Anolis hendersoni","Caribbean"
"Anolis ignigularis","Caribbean"
"Anolis insolitus","Caribbean"
"Anolis koopmani ","Caribbean"
"Anolis longitibialis","Caribbean"
"Anolis marcanoi","Caribbean"
"Anolis marron","Caribbean"
"Anolis monticola","Caribbean"
"Anolis olssoni","Caribbean"
"Anolis properus","Caribbean"
"Anolis ravitergum","Caribbean"
"Anolis vinosus","Caribbean"
"Anolis websteri","Caribbean"
"Anolis saxatilis","Caribbean"
"Anolis desechensis","Caribbean"
"Anolis opalinus","Caribbean"
"Anolis reconditus","Caribbean"
"Anolis roquet","Caribbean"
"Anolis lividus","Caribbean"
"Anolis schwartzi","Caribbean"
"Anolis ernestwilliamsi","Caribbean"
"Anolis poncensis","Caribbean"
"Anolis gundlachi","Caribbean"
"Anolis evermanni","Caribbean"
"Anolis occultus","Caribbean"
"Anolis krugi","Caribbean"
"Anolis cuvieri","Caribbean"
"Anolis monensis","Caribbean"
"Anolis luciae","Caribbean"
"Anolis griseus  ","Caribbean"
"Anolis planiceps","Caribbean"
"Anolis acutus","Caribbean"
"Eleutherodactylus abbotti","Caribbean"
"Eleutherodactylus acmonis","Caribbean"
"Eleutherodactylus adelus","Caribbean"
"Eleutherodactylus albipes","Caribbean"
"Eleutherodactylus alcoae","Caribbean"
"Eleutherodactylus alticola","Caribbean"
"Eleutherodactylus amadeus","Caribbean"
"Eleutherodactylus andrewsi","Caribbean"
"Eleutherodactylus antillensis","Caribbean"
"Eleutherodactylus aporostegus","Caribbean"
"Eleutherodactylus apostates","Caribbean"
"Eleutherodactylus armstrongi","Caribbean"
"Eleutherodactylus atkinsi","Caribbean"
"Eleutherodactylus audanti","Caribbean"
"Eleutherodactylus auriculatoides","Caribbean"
"Eleutherodactylus auriculatus","Caribbean"
"Eleutherodactylus bakeri","Caribbean"
"Eleutherodactylus bartonsmithi","Caribbean"
"Eleutherodactylus blairhedgesi","Caribbean"
"Eleutherodactylus bresslerae","Caribbean"
"Eleutherodactylus brevipalmatus","Caribbean"
"Eleutherodactylus brevirostris","Caribbean"
"Eleutherodactylus brittoni","Caribbean"
"Eleutherodactylus caribe","Caribbean"
"Eleutherodactylus casparii","Caribbean"
"Eleutherodactylus cavernicola","Caribbean"
"Eleutherodactylus chlorophenax","Caribbean"
"Eleutherodactylus cochranae","Caribbean"
