island,genericName,specificEpithet,areas,native
Saint Croix,Anolis,acutus,187500,1
Bequia,Anolis,aeneus,16937500,1
Canouan,Anolis,aeneus,8125000,1
Grenada,Anolis,aeneus,329750000,1
Cuba,Anolis,agueroi,1.22E+11,1
Cuba,Anolis,ahli,1.22E+11,1
Cuba,Anolis,alayoni,1.22E+11,1
Cuba,Anolis,alfaroi,1.22E+11,1
Hispaniola,Anolis,aliniger,83104562500,1
Cayo Coco,Anolis,allisoni,321875000,1
Cayo Santa Maria,Anolis,allisoni,28125000,1
Cuba,Anolis,allisoni,1.22E+11,1
Cuba,Anolis,allogus,1.22E+11,1
Cuba,Anolis,altitudinalis,1.22E+11,1
Hispaniola,Anolis,alumina,83104562500,1
Cuba,Anolis,alutaceus,1.22E+11,1
Isla de la Juventura,Anolis,alutaceus,1.22E+11,1
Cuba,Anolis,anfiloquioi,1.22E+11,1
Cayo Coco,Anolis,angusticeps,321875000,1
Cuba,Anolis,angusticeps,1.22E+11,1
Isla de la Juventura,Anolis,angusticeps,1.22E+11,1
Hispaniola,Anolis,apletolepis,83104562500,1
Cuba,Anolis,argenteolus,1.22E+11,1
Cuba,Anolis,argillaceus,1.22E+11,1
Hispaniola,Anolis,aridius,83104562500,1
Hispaniola,Anolis,armouri,83104562500,1
Hispaniola,Anolis,aurifer,83104562500,1
Hispaniola,Anolis,australis,83104562500,1
Hispaniola,Anolis,bahorucoensis,83104562500,1
Hispaniola,Anolis,baleatus,83104562500,1
Isla Saona,Anolis,baleatus,121812500,1
Cuba,Anolis,baracoae,1.22E+11,1
Hispaniola,Anolis,barahonae,83104562500,1
Cuba,Anolis,barbatus,1.22E+11,1
Hispaniola,Anolis,barbouri,83104562500,1
Cuba,Anolis,bartschi,1.22E+11,1
Nevis,Anolis,bimaculatus,103625000,1
Sint Eustatius,Anolis,bimaculatus,22812500,1
Cuba,Anolis,bremeri,1.22E+11,1
Isla de la Juventura,Anolis,bremeri,1.22E+11,1
Hispaniola,Anolis,breslini,83104562500,1
Hispaniola,Anolis,brevirostris,83104562500,1
Isla Beata,Anolis,brevirostris,4.60E+07,1
Acklins Island,Anolis,brunneus,5.23E+08,1
Crooked Island,Anolis,brunneus,3500000,1
Hispaniola,Anolis,callainus,83104562500,1
Isla Saona,Anolis,callainus,121812500,1
Acklins Island,Anolis,carolinensis,5.23E+08,1
Anguilla,Anolis,carolinensis,2.20E+07,1
Cat Island,Anolis,carolinensis,433687500,1
Crooked Island,Anolis,carolinensis,3500000,1
Cuba,Anolis,carolinensis,1.22E+11,1
New Providence Island,Anolis,carolinensis,263875000,1
Hispaniola,Anolis,caudalis,83104562500,1
Ile de la Gonave,Anolis,caudalis,83104562500,1
Cuba,Anolis,centralis,1.22E+11,1
Cuba,Anolis,chamaeleonides,1.22E+11,1
Hispaniola,Anolis,chlorocyanus,83104562500,1
Hispaniola,Anolis,chlorocyanus,83104562500,1
Hispaniola,Anolis,chlorodius,83104562500,1
Hispaniola,Anolis,christophei,83104562500,1
Cuba,Anolis,clivicola,1.22E+11,1
Cuba,Anolis,confusus,1.22E+11,1
Grand Cayman,Anolis,conspersus,228562500,1
Puerto Rico,Anolis,cooki,9710687500,1
Puerto Rico,Anolis,cristatellus,9710687500,1
Vieques Island,Anolis,cristatellus,9710687500,1
Cuba,Anolis,cupeyalensis,1.22E+11,1
Puerto Rico,Anolis,cuvieri,9710687500,1
Cuba,Anolis,cyanopleurus,1.22E+11,1
Hispaniola,Anolis,cyanostictus,83104562500,1
Hispaniola,Anolis,cybotes,83104562500,1
Hispaniola,Anolis,darlingtoni,83104562500,1
Grande Cayemite Island,Anolis,demissus,56062500,1
Hispaniola,Anolis,demissus,83104562500,1
Cat Island,Anolis,distichus,433687500,1
Hispaniola,Anolis,distichus,83104562500,1
Eleuthera Island,Anolis,distichus,528125000,1
Grand Bahama Island,Anolis,distichus,1196500000,1
Grande Cayemite Island,Anolis,distichus,56062500,1
Ile a Vache,Anolis,distichus,83104562500,1
Ile de la Tortue,Anolis,distichus,83104562500,1
Isla Saona,Anolis,distichus,121812500,1
New Providence Island,Anolis,distichus,263875000,1
Rum Cay,Anolis,distichus,96312500,1
San Salvador,Anolis,distichus,180500000,1
Hispaniola,Anolis,distichus,83104562500,1
Hispaniola,Anolis,divius,83104562500,1
Hispaniola,Anolis,dolichocephalus,83104562500,1
Ile de la Gonave,Anolis,doris,83104562500,1
Hispaniola,Anolis,eladioi,83104562500,1
Cayo Coco,Anolis,equestris,321875000,1
Cayo Santa Maria,Anolis,equestris,28125000,1
Cuba,Anolis,equestris,1.22E+11,1
New Providence Island,Anolis,equestris,263875000,1
Hispaniola,Anolis,etheridgei,83104562500,1
Hispaniola,Anolis,eugenegrahami,83104562500,1
Puerto Rico,Anolis,evermanni,9710687500,1
Saint Lucia,Anolis,extremus,643812500,1
Barbuda,Anolis,forresti,151187500,1
Hispaniola,Anolis,fowleri,83104562500,1
Cuba,Anolis,fugitivus,1.22E+11,1
Jamaica,Anolis,garmani,12225750000,1
Cuba,Anolis,garridoi,1.22E+11,1
Anguilla,Anolis,gingivinus,2.20E+07,1
Ile de la Gonave,Anolis,gonavensis,83104562500,1
Jamaica,Anolis,grahami,12225750000,1
Jamaica,Anolis,grahami,12225750000,1
Cuba,Anolis,guafe,1.22E+11,1
Cuba,Anolis,guamuhaya,1.22E+11,1
Cuba,Anolis,guazuma,1.22E+11,1
Puerto Rico,Anolis,gundlachi,9710687500,1
Hispaniola,Anolis,hendersoni,83104562500,1
Hispaniola,Anolis,higuey,83104562500,1
Hispaniola,Anolis,hispaniolae,83104562500,1
Cuba,Anolis,homolechis,1.22E+11,1
Isla de la Juventura,Anolis,homolechis,1.22E+11,1
Cuba,Anolis,imias,1.22E+11,1
Cuba,Anolis,inexpectatus,1.22E+11,1
Hispaniola,Anolis,insolitus,83104562500,1
Cuba,Anolis,isolepis,1.22E+11,1
Cuba,Anolis,juangundlachi,1.22E+11,1
Cayo Coco,Anolis,jubar,321875000,1
Cayo Santa Maria,Anolis,jubar,28125000,1
Cuba,Anolis,jubar,1.22E+11,1
Hispaniola,Anolis,koopmani,83104562500,1
Puerto Rico,Anolis,krugi,9710687500,1
Antigua,Anolis,leachii,301187500,1
Barbuda,Anolis,leachii,151187500,1
Hispaniola,Anolis,leucodera,83104562500,1
Great Inagua Island,Anolis,leucophaeus,1765125000,1
Little Inagua Island,Anolis,leucophaeus,153250000,1
Mayaguana Island,Anolis,leucophaeus,336187500,1
Jamaica,Anolis,lineatopus,12225750000,1
Cuba,Anolis,litoralis,1.22E+11,1
Montserrat,Anolis,lividus,112375000,1
Hispaniola,Anolis,longitibialis,83104562500,1
Isla Beata,Anolis,longitibialis,4.60E+07,1
Cuba,Anolis,loysiana,1.22E+11,1
Saint Lucia,Anolis,luciae,643812500,1
Cuba,Anolis,lucius,1.22E+11,1
Cuba,Anolis,luteogularis,1.22E+11,1
Isla de la Juventura,Anolis,luteogularis,1.22E+11,1
Cayman Brac,Anolis,luteosignifer,44312500,1
Cuba,Anolis,macilentus,1.22E+11,1
Hispaniola,Anolis,marcanoi,83104562500,1
Hispaniola,Anolis,marron,83104562500,1
Cayman Brac,Anolis,maynardii,44312500,1
Grand Cayman,Anolis,maynardii,228562500,1
Little Cayman,Anolis,maynardii,33625000,1
Cuba,Anolis,mestrei,1.22E+11,1
Isla Mona,Anolis,monensis,9710687500,1
Hispaniola,Anolis,monticola,83104562500,1
East Santanilla,Anolis,nelsoni,268312500,1
West Santanilla,Anolis,nelsoni,1.42E+08,1
Cuba,Anolis,noblei,1.22E+11,1
Puerto Rico,Anolis,occultus,9710687500,1
Dominica,Anolis,oculatus,812937500,1
New Providence Island,Anolis,oligaspis,263875000,1
Hispaniola,Anolis,olssoni,83104562500,1
Ile de la Gonave,Anolis,olssoni,83104562500,1
Jamaica,Anolis,opalinus,12225750000,1
Cuba,Anolis,ophiolepis,1.22E+11,1
Isla de la Juventura,Anolis,ophiolepis,1.22E+11,1
Cuba,Anolis,paternus,1.22E+11,1
Isla de la Juventura,Anolis,paternus,1.22E+11,1
Ile a Vache,Anolis,pecuarius,83104562500,1
Hispaniola,Anolis,peynadoi,83104562500,1
Hispaniola,Anolis,placidus,83104562500,1
Anguilla,Anolis,pogus,2.20E+07,1
Puerto Rico,Anolis,poncensis,9710687500,1
Cuba,Anolis,porcatus,1.22E+11,1
Hispaniola,Anolis,porcatus,83104562500,1
Isla de la Juventura,Anolis,porcatus,1.22E+11,1
Cuba,Anolis,porcus,1.22E+11,1
Hispaniola,Anolis,prasinorius,83104562500,1
Anegada,Anolis,pulchellus,44875000,1
Puerto Rico,Anolis,pulchellus,9710687500,1
Saint Croix,Anolis,pulchellus,187500,1
Tortola,Anolis,pulchellus,309375000,1
Vieques Island,Anolis,pulchellus,9710687500,1
Cuba,Anolis,pumilus,1.22E+11,1
Isla de la Juventura,Anolis,pumilus,1.22E+11,1
Cuba,Anolis,quadriocellifer,1.22E+11,1
Hispaniola,Anolis,ravifaux,83104562500,1
Isla Saona,Anolis,ravifaux,121812500,1
Jamaica,Anolis,reconditus,12225750000,1
Cuba,Anolis,rejectus,1.22E+11,1
Bequia,Anolis,richardii,16937500,1
Grenada,Anolis,richardii,329750000,1
Hispaniola,Anolis,ricordii,83104562500,1
Hispaniola,Anolis,rimarum,83104562500,1
Vieques Island,Anolis,roosevelti,9710687500,1
Martinique,Anolis,roquet,1.19E+09,1
Martinique,Anolis,roquet,1.19E+09,1
Cuba,Anolis,rubribarbus,1.22E+11,1
Cuba,Anolis,ruibali,1.22E+11,1
Hispaniola,Anolis,rupinae,83104562500,1
Saba,Anolis,sabanus,14250000,1
Jamaica,Anolis,sagrei,12225750000,1
Cuba,Anolis,sagrei,1.22E+11,1
Crooked Island,Anolis,sagrei,3500000,1
Grand Bahama Island,Anolis,sagrei,1196500000,1
Grenada,Anolis,sagrei,329750000,1
Isla de la Juventura,Anolis,sagrei,1.22E+11,1
New Providence Island,Anolis,sagrei,263875000,1
Rum Cay,Anolis,sagrei,96312500,1
San Salvador,Anolis,sagrei,180500000,1
Hispaniola,Anolis,saxatilis,83104562500,1
Nevis,Anolis,schwartzi,103625000,1
Sint Eustatius,Anolis,schwartzi,22812500,1
East Caicos Island,Anolis,scriptus,2.29E+08,1
Great Inagua Island,Anolis,scriptus,1765125000,1
Mayaguana Island,Anolis,scriptus,336187500,1
North Caicos Island,Anolis,scriptus,240937500,1
Samana Cay,Anolis,scriptus,39812500,1
Hispaniola,Anolis,semilineatus,83104562500,1
Grande Cayemite Island,Anolis,semilineatus,56062500,1
Ile de la Tortue,Anolis,semilineatus,83104562500,1
Hispaniola,Anolis,sheplani,83104562500,1
Hispaniola,Anolis,shrevei,83104562500,1
Hispaniola,Anolis,singularis,83104562500,1
Cuba,Anolis,smallwoodi,1.22E+11,1
Cat Island,Anolis,smaragdinus,433687500,1
Grand Bahama Island,Anolis,smaragdinus,1196500000,1
Great Exuma Island,Anolis,smaragdinus,212375000,1
Long Island,Anolis,smaragdinus,6117437500,1
San Salvador,Anolis,smaragdinus,180500000,1
Cuba,Anolis,spectrum,1.22E+11,1
Hispaniola,Anolis,strahmi,83104562500,1
Puerto Rico,Anolis,stratulus,9710687500,1
Saint Croix,Anolis,stratulus,187500,1
Tortola,Anolis,stratulus,309375000,1
Vieques Island,Anolis,stratulus,9710687500,1
Cuba,Anolis,terueli,1.22E+11,1
Cuba,Anolis,toldo,1.22E+11,1
Saint Lucia,Anolis,trinitatis,643812500,1
Jamaica,Anolis,valencienni,12225750000,1
Cuba,Anolis,vanidicus,1.22E+11,1
Cuba,Anolis,vermiculatus,1.22E+11,1
Cuba,Anolis,vescus,1.22E+11,1
Hispaniola,Anolis,viridius,83104562500,1
Sint Eustatius,Anolis,wattsii,22812500,1
Antigua,Anolis,wattsii,301187500,1
Nevis,Anolis,wattsii,103625000,1
Saint Lucia,Anolis,wattsii,643812500,1
Hispaniola,Anolis,websteri,83104562500,1
Hispaniola,Anolis,armouri,83104562500,1
Hispaniola,Anolis,higuey,83104562500,1
