"name","area"
"A Quatre",1436306.586
"Acklins",446074531.3
"Acklins.1",6872918.692
"Allan Cay",2164222.806
"Allen Cay",1349883.35
"Andros",28019048.88
"Andros.1",8426909.065
"Andros.10",4841111.013
"Andros.11",4133929.866
"Andros.12",5455207.272
"Andros.13",3044652.547
"Andros.14",9667834.246
"Andros.15",6392733.211
"Andros.16",1552530.351
"Andros.18",93692000.95
"Andros.19",32382056.07
"Andros.2",1332509.119
"Andros.20",3490521.646
"Andros.21",1407517.149
"Andros.24",13112234.61
"Andros.25",4172238.006
"Andros.27",2320039.381
"Andros.28",2595186.15
"Andros.29",1898971.087
"Andros.3",1798851.649
"Andros.30",7458406.528
"Andros.31",6427365.962
"Andros.32",3877662.277
"Andros.33",2758147.538
"Andros.34",1299758.303
"Andros.36",44720901.5
"Andros.37",1707478.909
"Andros.38",2522162.349
"Andros.39",3090279.976
"Andros.4",2048655.476
"Andros.42",1517208.389
"Andros.5",2651046.432
"Andros.6",2331049.821
"Andros.7",5115160.035
"Andros.9",1600652.889
"Anegada",40111776.74
"Anguilla",72789842.34
"Anguilla Cay",1673260.651
"Antigua",274569789.4
"August Cay",9137730.106
"Baliceaux",1309288.555
"Bamboo Cay",27304212.04
"Barbados",434104883
"Barbuda",136370548
"Barbuda.1",6454231.733
"Basin Harbour Cay",1669429.199
"Beef",4070844.874
"Bell Island",1509627.188
"Bequia",15959124.98
"Big Ambergris Cay",4697809.864
"Big Coppice Mangrove",2096387.023
"Big Cross Cay",1578653.343
"Big Cross Cay.1",2657169.726
"Big Farmer?s Cay",2307551.175
"Big Joe Downer Cay",2499357.563
"Big Lake Cay",1599302.961
"Big Wood Cay",74427890.44
"Bock Cay",1626588.66
"Bonavista Cay",1584437.884
"Bonds Cay",2863206.699
"Caja de Muertos",1552431.009
"Canouan",7652446.683
"Carriacou Island",32353627.48
"Castle",2035792.131
"Cat",358909356.8
"Cayeria Las Cayamas",7389768.892
"Cayeria Las Cayamas.1",1668465.655
"Cayeria Las Cayamas.2",3865233.498
"Cayman Brac Island",39200085.32
"Cayo AlacrÃ¡n Chico",4215199.48
"Cayo AlgodÃ³n Grande",3964088.719
"Cayo Anclitas",1904968.503
"Cayo AntÃ³n Chico",1420390.387
"Cayo AntÃ³n Grande",1908113.813
"Cayo Ãvalos",1568075.821
"Cayo BahÃ­a de CÃ¡diz",11486129.93
"Cayo Balandras",1596579.235
"Cayo Blanco",4343794.073
"Cayo Blanquizal",6810859.328
"Cayo Botella",23572077.79
"Cayo Cabezos",5261478.393
"Cayo Campos",9049447.143
"Cayo Cantiles",39727811.33
"Cayo Coco",273981518.5
"Cayo Coco.1",4981876.509
"Cayo Coco.2",5675449.343
"Cayo Coruita",1892230.798
"Cayo Cruz",24288255.3
"Cayo Cruz del Padre",2202317.325
"Cayo Cuarto",2150029.318
"Cayo de Buenavista",12723508.43
"Cayo de la Cruz",1890709.62
"Cayo de la Pipa",1879027.466
"Cayo de los Indios",4535321.738
"Cayo de NavÃ­o",2811416.187
"Cayo del Cristo",2301980.305
"Cayo del MasÃ­o",11887418.93
"Cayo del Medio de Marcos",1753906.653
"Cayo del Rosario",17362005.02
"Cayo Diego PÃ©rez",9688166.845
"Cayo Divisa de Piedra",1357524.399
"Cayo El Sapo",6410554.452
"Cayo Empalizada de Sotavento",12880969.02
"Cayo Ernest Thaelmann",12064926.16
"Cayo Esquivel del Sur",11281205.84
"Cayo Estopa",1881977.225
"Cayo Fragoso",83451244.15
"Cayo FrancÃ©s",6403057.903
"Cayo Galindo",18327799.15
"Cayo GenovÃ©s",9247531.21
"Cayo Grande",13328614.35
"Cayo Grande.1",3824906.474
"Cayo Grande.2",2383435.652
