"island","mean","sd"
"Cayo Media Luna",0.139137491583824,5.75936684901367e-05
"Cuba",0.148799694047426,0.0163760148403453
"Cayo Güincho",0.143370129168034,0.000589118111773149
"Cayo Moa Grande",0.177230849862099,NA
"Cayo Algodón Grande",0.148161843419075,NA
"Cayo Punta de los Machos",0.14626906812191,0.00121972566377042
"Cayo Balandras",0.146199949085712,0.000479620599341846
"Cayo Providencia",0.1476129591465,NA
"Hog Cay",0.174426548182964,0.00481942321448838
"Margaret Cay",0.159019619226456,NA
"Cayo Antón Chico",0.13128100335598,0.000941960990794226
"Cayo Romano",0.138057152967195,0.00621352566609296
"Cayo Salinas",0.127574816346169,NA
"Cayo El Sapo",0.126233369112015,0.00106106699534944
"Cotton Cay",0.151530489325523,0.0104041248680321
"Anguilla Cay",0.146521374583244,0.00102101083215744
"Cayos Pingues",0.147167578339577,NA
"Cayo Guanal",0.137312471866608,0.00571713997118668
"Cayos de la Enfermeria",0.125874638557434,NA
"Las Picus",0.128580992420514,0.00155157845491284
"Cayo Esquivel del Sur",0.130752858519554,0.00288460009570192
"Cayo Empalizada de Sotavento",0.127884104847908,NA
"Hispaniola",0.182384365339922,0.0249869037989648
"Juventud",0.140307729028993,0.00792695402053848
"Long",0.137590058502697,0.00804077125392365
"Acklins",0.143868435984072,0.00717630702098769
"Cayo Coco",0.126831223758367,0.0017921845921458
"Cayo Las Caguamas",0.146097315209252,0.0120573667244369
"Cayo Piedra Grande",0.176054283976555,0.0364923430209755
"Cayo Punta Iguna",0.146432250738144,0.00103991026673354
"Cayo Miraflores",0.172992195934057,0.0203901044956643
"Cayo Mangle Alto",0.147023573517799,0.00178647846783127
"Cayo Grande",0.148750339945157,0.0118073261039805
"Cayo Guásimas",0.14471485465765,0.00109178250053833
"Cayo Ávalos",0.136322773993015,0.00151717193436757
"Cayo Hicacos",0.138286873698235,0.00526957832246857
"Cayo Matías",0.142552614212036,NA
"Cayo Campos",0.140573370456696,0.00770225659437156
"Cayo Palma",0.128111317753792,NA
"Cayo Rico",NA,NA
"Cayo Rabihorcado",0.142629414796829,0.000150822497396234
"Cayo Cantiles",0.130848750472069,0.00409487874833905
"Cayo Estopa",0.132415622472763,0.000140559739783832
"Cayo del Rosario",0.129420898854733,0.000921340645160271
"Cayo Divisa de Piedra",0.12794304639101,0.00134691844799902
"Cayo Largo",0.131856007501483,0.00652720769497462
"Cayo San Juan",0.139748295148214,0.000157737835379436
"Cayo Sifonte",0.134034397701422,0.00328538778440492
"Cayo Guao",0.133693307638168,0.000401343364944988
"Cayo Doña María",0.131385564804077,0.00959049430522968
"Cayo Traviesa",0.126043888429801,0.00249948061946782
"Cayo de Navío",0.124800279736519,NA
"Cayo Guajaba",0.133509566386541,0.00312114811757905
"Cayo Quitasol",0.127100564539433,0.00014014880801085
"Cayo Montañés",0.137107022106647,0.00487058464432806
"Cayo La Alegría",0.129760265350342,NA
"Cayo Coco.1",0.146755516529083,0.00221337091000678
"Cayo Real",NA,NA
"Cayo Flamenco",0.126726914197206,0.00574897238249967
"Cayo Rancho de Cándido",0.124994879961014,0.0043424321115803
"Cayo Redondo",0.127068536976973,0.00345565670128811
"Cayo Alacrán Chico",0.127363532781601,NA
"Cayo Ernest Thaelmann",0.132102366536856,0.00575154898031351
"Cayo Diego Pérez",0.12840761244297,NA
"Cayo Los Machos",0.136734589934349,0.00455744409660425
"Cayo de la Pipa",0.127025280147791,0.00544858943092988
"Cayo Juan Ruíz",0.123765587806702,NA
"Little Ragged Island",0.181325674057007,0.00904555932481154
"Cayo del Masío",0.125034030526876,0.00225766462645462
"Ragged Island",0.16839861869812,NA
"Cayo La Grifa",0.13420407474041,NA
"Cayo Cuarto",0.132987678050995,0.00108512108630918
"Cayo Judas",0.143270075321198,0.00552688883997128
"Cayo Cruz",0.135640829801559,NA
"Cayo Mégano Grande",0.13194440305233,6.87625833455236e-05
"Raccoon Cay",0.169058792293072,0.00408210140238626
"Cayo de Buenavista",0.153764590620995,NA
"Cayo Antón Grande",0.135133009403944,0.00472375098593107
"Bonavista Cay",0.167594159642855,0.00483888139860364
"Cayo Lucas",0.126513677338759,0.00143867613360996
"Cayo La Aguada",0.126411352306604,0.00276953839343886
"Nurse Cay",0.160649806261063,0.00663852903552666
"Cayo Paredón Grande",0.130011260509491,NA
"Cayo Mal País",0.128404532869657,0.00260313850244778
"Cayo Rapado Grande",0.139563361803691,0.00239463337869519
"Cayo Boca Ciega",0.140253007411957,0.01605480740936
"Cayo Diego",0.133917264640331,0.00404749883975881
"Cayo Botella",0.124150507152081,NA
"Cayo Pueblo Viejo",0.12891131080687,0.00429829235234312
"Cayo Guzmán",0.131471797823906,0.000138747425297863
"Cayo La Potala",0.126834693054358,0.00357615133631178
"Cayo Guillermo",0.124933652579784,NA
"Cayo Iguana",0.127581104636192,0.00380014233208279
"Cayo Tío Pepe",0.126986488699913,NA
"Cayo Punta Tierra del Guzmán",0.130256310105324,0.00185770664181468
"Cayo La Vieja Pepilla",0.127721905708313,NA
"Cayo Francés",0.130010353401303,0.00599239909339363
"Cayo Majá",0.127850726246834,0.000182179752688339
"Long Cay",NA,NA
"Cayo Redondo.1",0.123584862798452,0.00125325234553963
"Cayo Coruita",0.123093781371911,0.00162670126407268
"Cayo Fragoso",0.122062457725406,0.00081440440521491
"Cayo Inés de Soto",0.125889778137207,0.0025636933225303
"Cayo del Medio de Marcos",0.122376147657633,0.00190915213877829
"Crooked Island",0.147560934935297,0.0139330213394374
"Cayo Marcos",0.1206124573946,NA
"Cayo Levisa",0.130545908585191,0.0111392378667267
"Cayo Lanzanillo",0.130388759076595,0.00501548550950852
"Cayo Tumba la Olla",0.127680018544197,NA
"Cayo Los Quitasoles",0.128616643448671,0.00327341619167893
"Cayo Hachuela",0.12976373359561,0.00314459715365408
"Cayo Mariposa",0.128549247980118,0.00141750388254264
"Cayo de la Cruz",0.131703048944473,0.00304264421427421
"Cayo Las Picúas",0.127343133091927,NA
"Cayo Iguana.1",0.128158822655678,NA
"Los Conucos",0.126202121376991,0.00132981736421573
"Cayo del Cristo",0.135811820626259,0.00879650971771031
"Cayo Piedra del Obispo",0.129538029432297,NA
"Cayo La Yana",0.125762606660525,0.00160263753363575
"Cayo Blanquizal",0.128818571567535,NA
"Cayo Genovés",0.135711709658305,0.00117813483489756
"Conch Cay",0.148763313889503,0.0124203390813724
"Cayo Bahía de Cádiz",0.128534495830536,NA
"Cayo Cabezos",0.131640091538429,0.00271289869831087
"Cayo Anclitas",0.14781741797924,NA
"Cayo Grande.1",0.152384868264198,0.0193998200547135
"Cayo Grande.2",0.157655095060666,0.025390938448883
"Cayos Cinco Balas",0.142489291727543,0.0113902174202055
"Cayos Cinco Balas.1",0.138568565249443,0.00584547286052143
"Cayos Cinco Balas.2",0.142634958028793,0.000549889932521634
