"","island_name","dist_mainland_m"
"1","Cayo Media Luna",581188.006994223
"2","Cuba",199548.571503942
"3","Cayo Güincho",566338.238427376
"4","Cayo Moa Grande",758644.534056194
"5","Cayo Algodón Grande",491719.136273367
"6","Cayo Punta de los Machos",456536.940020056
"7","Cayo Balandras",453857.426649333
"8","Cayo Providencia",451561.106686648
"9","Hog Cay",579614.352828232
"10","Margaret Cay",574853.947641035
"11","Cayo Antón Chico",400481.255258357
"12","Cayo Romano",384405.452407472
"13","Cayo Salinas",335726.144108667
"14","Cayo El Sapo",346441.817691585
"15","Cotton Cay",213547.64388167
"16","Anguilla Cay",204529.802568189
"17","Cayos Pingues",546310.938450142
"18","Cayo Guanal",417647.639956651
"19","Cayos de la Enfermeria",261511.786968634
"20","Las Picus",246516.456320347
"21","Cayo Esquivel del Sur",240861.582434928
"22","Cayo Empalizada de Sotavento",237185.906892378
"23","Hispaniola",575123.272097979
"24","Juventud",374150.591276179
"25","Long",538956.469141183
"26","Acklins",707663.864488976
"27","Cayo Coco",356317.827586093
"28","Cayo Las Caguamas",556127.933194222
"29","Cayo Piedra Grande",526120.332216397
"30","Cayo Punta Iguna",547788.116263631
"31","Cayo Miraflores",518137.257244465
"32","Cayo Mangle Alto",501915.733205533
"33","Cayo Grande",491679.84065904
"34","Cayo Guásimas",449725.108862827
"35","Cayo Ávalos",412296.548253113
"36","Cayo Hicacos",415930.480745744
"37","Cayo Matías",418813.255724067
"38","Cayo Campos",411753.651281793
"39","Cayo Palma",411688.614513291
"40","Cayo Rico",393423.204967836
"41","Cayo Rabihorcado",412270.297914952
"42","Cayo Cantiles",398233.455033357
"43","Cayo Estopa",393563.852624118
"44","Cayo del Rosario",392925.761405093
"45","Cayo Divisa de Piedra",389324.537978752
"46","Cayo Largo",383030.094066403
"47","Cayo San Juan",403927.472130292
"48","Cayo Sifonte",492292.940833094
"49","Cayo Guao",491215.66906344
"50","Cayo Doña María",396271.990406587
"51","Cayo Traviesa",369644.021400182
"52","Cayo de Navío",391158.735426452
"53","Cayo Guajaba",471935.87796393
"54","Cayo Quitasol",388955.910764196
"55","Cayo Montañés",470282.158457887
"56","Cayo La Alegría",467363.146231374
"57","Cayo Coco.1",353526.267921828
"58","Cayo Real",335157.791983187
"59","Cayo Flamenco",347864.048431099
"60","Cayo Rancho de Cándido",343694.564771108
"61","Cayo Redondo",385505.465066798
"62","Cayo Alacrán Chico",380972.052101973
"63","Cayo Ernest Thaelmann",342106.916266959
"64","Cayo Diego Pérez",343692.990774125
"65","Cayo Los Machos",441384.215839149
"66","Cayo de la Pipa",381734.115352011
"67","Cayo Juan Ruíz",341806.632016534
"68","Little Ragged Island",589552.217727156
"69","Cayo del Masío",333618.8808301
"70","Ragged Island",583268.251986857
"71","Cayo La Grifa",366314.244898052
"72","Cayo Cuarto",363162.036600033
"73","Cayo Judas",396584.392183965
"74","Cayo Cruz",418947.319170604
"75","Cayo Mégano Grande",410987.741012147
"76","Raccoon Cay",565640.599811269
"77","Cayo de Buenavista",268430.175312005
"78","Cayo Antón Grande",395237.233983129
"79","Bonavista Cay",561525.982270016
"80","Cayo Lucas",331384.058608686
"81","Cayo La Aguada",329155.453959692
"82","Nurse Cay",558368.621930814
"83","Cayo Paredón Grande",385820.754442457
"84","Cayo Mal País",319860.982056334
"85","Cayo Rapado Grande",281243.528743031
"86","Cayo Boca Ciega",328720.02469212
"87","Cayo Diego",292858.317565107
"88","Cayo Botella",347564.926294698
"89","Cayo Pueblo Viejo",321776.509121248
"90","Cayo Guzmán",324663.480455319
"91","Cayo La Potala",318011.771024472
"92","Cayo Guillermo",342457.410110119
"93","Cayo Iguana",326878.569546775
"94","Cayo Tío Pepe",318309.958069644
"95","Cayo Punta Tierra del Guzmán",320191.43444902
"96","Cayo La Vieja Pepilla",322163.892259348
"97","Cayo Francés",314668.509107987
"98","Cayo Majá",319933.16594179
"99","Long Cay",681459.628266879
"100","Cayo Redondo.1",348829.310107842
"101","Cayo Coruita",354801.717330412
"102","Cayo Fragoso",283564.638030168
"103","Cayo Inés de Soto",343869.72602234
"104","Cayo del Medio de Marcos",280906.766243126
"105","Crooked Island",671058.858715753
"106","Cayo Marcos",275389.942490078
"107","Cayo Levisa",349308.12742176
"108","Cayo Lanzanillo",263724.459579571
"109","Cayo Tumba la Olla",257910.169646776
"110","Cayo Los Quitasoles",258877.118040653
"111","Cayo Hachuela",256076.199134986
"112","Cayo Mariposa",253589.584410987
"113","Cayo de la Cruz",250595.609201092
"114","Cayo Las Picúas",243130.479921496
"115","Cayo Iguana.1",246790.91965614
"116","Los Conucos",241067.853547694
"117","Cayo del Cristo",245533.262874671
"118","Cayo Piedra del Obispo",232887.262333908
"119","Cayo La Yana",230010.729132119
"120","Cayo Blanquizal",224829.043615459
"121","Cayo Genovés",218287.321012383
"122","Conch Cay",570853.739363002
"123","Cayo Bahía de Cádiz",218202.513013361
"124","Cayo Cabezos",215301.453322435
"125","Cayo Anclitas",514293.841612554
"126","Cayo Grande.1",487289.330016862
"127","Cayo Grande.2",485952.734993744
"128","Cayos Cinco Balas",476600.389779454
"129","Cayos Cinco Balas.1",476142.56960848
"130","Cayos Cinco Balas.2",469420.995135988
"131","Cayos Cinco Balas.3",469732.95910218
"132","Cayos los Cayuelos",421658.860577616
"133","Cayos Aguardiente",411739.286101722
"134","Cayos Aguardiente.1",409588.11620565
"135","Cayo Coco.2",410679.664503685
"136","Cayo del Pasaje",391976.907269007
"137","Cayo San Juan.1",407119.749337598
"138","Cayos Boca de Alonso",405175.963084694
"139","Cayo de los Indios",376264.037601972
"140","Cayos de San Felipe",345760.961089176
"141","Cayo Grande.3",385303.256366116
"142","Cayo Grande.4",383598.905971009
"143","Cayo Grande.5",384175.030267907
"144","Castle",710199.530485163
"145","Cayo Rapado Chico",278438.699939392
"146","Cayos de la Herradura",326525.609278739
"147","Cayo Jutias",294932.396729099
"148","Cayeria Las Cayamas",315756.324913749
"149","Cayeria Las Cayamas.1",314590.756052446
"150","Cayeria Las Cayamas.2",312441.602385969
"151","Cayo Santa Maria",318180.629701028
"152","Cayos Pajonal",273390.664850485
"153","Cayo Medano de Casiguas",341544.272774357
"154","Cayos Jutias",259789.582268107
"155","Cayos Dromedarios",257487.235377247
"156","Cayos de las Cinco Leguas",221065.108728713
"157","Long.1",576378.513383722
"158","Long.2",573362.896052413
"159","Long.3",578557.608520996
"160","Cayos Falcones",218481.303772238
"161","Long.4",573570.244354134
"162","Cayos Blancos",212370.621202052
"163","Cayo Boca Seca",549540.74705462
"164","Cayo Puerco",600317.061232694
"165","Maycock Cay",577113.799566548
"166","Cayo Los Cayuelos",337155.657220892
"167","Flamingo Cay",530988.17791283
"168","Isla Beata",567848.11864587
"169","Île à Vache",657969.158421576
"170","Isla Saona",674960.841236856
"171","Île Grosse Caye",669106.405376311
"172","Isla Catalina",693565.695422271
"173","Île Corny",708881.794954455
"174","Petite Cayemite",723266.284061521
"175","Grande Cayemite",718675.75346976
