island_name,dist_mainland_m
Cayo Media Luna,581188.007
Cuba,199548.5715
Cayo Güincho,566338.2384
Cayo Moa Grande,758644.5341
Cayo Algodón Grande,491719.1363
Cayo Punta de los Machos,456536.94
Cayo Balandras,453857.4266
Cayo Providencia,451561.1067
Hog Cay,579614.3528
Margaret Cay,574853.9476
Cayo Antón Chico,400481.2553
Cayo Romano,384405.4524
Cayo Salinas,335726.1441
Cayo El Sapo,346441.8177
Cotton Cay,213547.6439
Anguilla Cay,204529.8026
Cayos Pingues,546310.9385
Cayo Guanal,417647.64
Cayos de la Enfermeria,261511.787
Las Picus,246516.4563
Cayo Esquivel del Sur,240861.5824
Cayo Empalizada de Sotavento,237185.9069
Hispaniola,575123.2721
Juventud,374150.5913
Long,538956.4691
Acklins,707663.8645
Cayo Coco,356317.8276
Cayo Las Caguamas,556127.9332
Cayo Piedra Grande,526120.3322
Cayo Punta Iguna,547788.1163
Cayo Miraflores,518137.2572
Cayo Mangle Alto,501915.7332
Cayo Grande,491679.8407
Cayo Guásimas,449725.1089
Cayo Ávalos,412296.5483
Cayo Hicacos,415930.4807
Cayo Matías,418813.2557
Cayo Campos,411753.6513
Cayo Palma,411688.6145
Cayo Rico,393423.205
Cayo Rabihorcado,412270.2979
Cayo Cantiles,398233.455
Cayo Estopa,393563.8526
Cayo del Rosario,392925.7614
Cayo Divisa de Piedra,389324.538
Cayo Largo,383030.0941
Cayo San Juan,403927.4721
Cayo Sifonte,492292.9408
Cayo Guao,491215.6691
Cayo Doña María,396271.9904
Cayo Traviesa,369644.0214
Cayo de Navío,391158.7354
Cayo Guajaba,471935.878
Cayo Quitasol,388955.9108
Cayo Montañés,470282.1585
Cayo La Alegría,467363.1462
Cayo Coco.1,353526.2679
Cayo Real,335157.792
Cayo Flamenco,347864.0484
Cayo Rancho de Cándido,343694.5648
Cayo Redondo,385505.4651
Cayo Alacrán Chico,380972.0521
Cayo Ernest Thaelmann,342106.9163
Cayo Diego Pérez,343692.9908
Cayo Los Machos,441384.2158
Cayo de la Pipa,381734.1154
Cayo Juan Ruíz,341806.632
Little Ragged Island,589552.2177
Cayo del Masío,333618.8808
Ragged Island,583268.252
Cayo La Grifa,366314.2449
Cayo Cuarto,363162.0366
Cayo Judas,396584.3922
Cayo Cruz,418947.3192
Cayo Mégano Grande,410987.741
Raccoon Cay,565640.5998
Cayo de Buenavista,268430.1753
Cayo Antón Grande,395237.234
Bonavista Cay,561525.9823
Cayo Lucas,331384.0586
Cayo La Aguada,329155.454
Nurse Cay,558368.6219
Cayo Paredón Grande,385820.7544
Cayo Mal País,319860.9821
Cayo Rapado Grande,281243.5287
Cayo Boca Ciega,328720.0247
Cayo Diego,292858.3176
Cayo Botella,347564.9263
Cayo Pueblo Viejo,321776.5091
Cayo Guzmán,324663.4805
Cayo La Potala,318011.771
Cayo Guillermo,342457.4101
Cayo Iguana,326878.5695
Cayo Tío Pepe,318309.9581
Cayo Punta Tierra del Guzmán,320191.4344
Cayo La Vieja Pepilla,322163.8923
Cayo Francés,314668.5091
Cayo Majá,319933.1659
Long Cay,681459.6283
Cayo Redondo.1,348829.3101
Cayo Coruita,354801.7173
Cayo Fragoso,283564.638
Cayo Inés de Soto,343869.726
Cayo del Medio de Marcos,280906.7662
Crooked Island,671058.8587
Cayo Marcos,275389.9425
Cayo Levisa,349308.1274
Cayo Lanzanillo,263724.4596
Cayo Tumba la Olla,257910.1696
Cayo Los Quitasoles,258877.118
Cayo Hachuela,256076.1991
Cayo Mariposa,253589.5844
Cayo de la Cruz,250595.6092
Cayo Las Picúas,243130.4799
Cayo Iguana.1,246790.9197
Los Conucos,241067.8535
Cayo del Cristo,245533.2629
Cayo Piedra del Obispo,232887.2623
Cayo La Yana,230010.7291
Cayo Blanquizal,224829.0436
Cayo Genovés,218287.321
Conch Cay,570853.7394
Cayo Bahía de Cádiz,218202.513
Cayo Cabezos,215301.4533
Cayo Anclitas,514293.8416
Cayo Grande.1,487289.33
Cayo Grande.2,485952.735
Cayos Cinco Balas,476600.3898
Cayos Cinco Balas.1,476142.5696
Cayos Cinco Balas.2,469420.9951
Cayos Cinco Balas.3,469732.9591
Cayos los Cayuelos,421658.8606
Cayos Aguardiente,411739.2861
Cayos Aguardiente.1,409588.1162
Cayo Coco.2,410679.6645
Cayo del Pasaje,391976.9073
Cayo San Juan.1,407119.7493
Cayos Boca de Alonso,405175.9631
Cayo de los Indios,376264.0376
Cayos de San Felipe,345760.9611
Cayo Grande.3,385303.2564
Cayo Grande.4,383598.906
Cayo Grande.5,384175.0303
Castle,710199.5305
Cayo Rapado Chico,278438.6999
Cayos de la Herradura,326525.6093
Cayo Jutias,294932.3967
Cayeria Las Cayamas,315756.3249
Cayeria Las Cayamas.1,314590.7561
Cayeria Las Cayamas.2,312441.6024
Cayo Santa Maria,318180.6297
Cayos Pajonal,273390.6649
Cayo Medano de Casiguas,341544.2728
Cayos Jutias,259789.5823
Cayos Dromedarios,257487.2354
Cayos de las Cinco Leguas,221065.1087
Long.1,576378.5134
Long.2,573362.8961
Long.3,578557.6085
Cayos Falcones,218481.3038
Long.4,573570.2444
