"Name","n_habitat"
"Cuba","30"
"Cayo Botella","9"
"Cayo Levisa","6"
"Cayo Romano","12"
"Cayo Antón Grande","4"
"Cayo Coco","14"
"Cayo Piedra Grande","6"
"Cayo Miraflores","6"
"Cayo Anclitas","6"
"Cayo Mangle Alto","8"
"Cayo Grande","9"
"Cayo Grande.1","7"
"Cayo Grande.2","6"
"Cayo Ávalos","11"
"Cayo Matías","5"
"Cayo Hicacos","10"
"Cayo Campos","6"
"Cayo Cantiles","10"
"Cayo del Rosario","6"
"Cayo Largo","10"
"Cayo Estopa","5"
"Juventud","18"
"Cayos de San Felipe","7"
"Cayo Real","10"
"Cayo Flamenco","6"
"Cayo Rancho de Cándido","5"
"Cayo Ernest Thaelmann","9"
"Cayo Diego Pérez","6"
"Cayo del Masío","6"
"Cayo Salinas","7"
"Cayo Lucas","11"
"Cayo La Aguada","8"
"Cayo Boca Ciega","7"
"Cayo Guillermo","12"
"Cayo La Potala","7"
"Cayo Tío Pepe","9"
"Cayo Francés","8"
"Cayo Majá","8"
"Cayo Santa Maria","11"
"Cayo Fragoso","10"
"Cayo Redondo.1","6"
"Cayo Inés de Soto","8"
"Cayo Coruita","6"
"Cayo Sifonte","10"
"Cayo Guajaba","13"
"Cayo Cruz","9"
"Cayo Las Caguamas","6"
"Cayo Boca Seca","5"
"Cayo Judas","10"
"Cayo Mégano Grande","9"
"Cayo Lanzanillo","6"
"Cayos Jutias","5"
"Cayo Las Picúas","8"
"Cayos de las Cinco Leguas","8"
"Cayo Genovés","10"
"Cayo Blanco","8"
"Cayo Cruz del Padre","6"
"Cayo Galindo","9"
"Cayo Paredón Grande","7"
"Nurse Cay","5"
"Flamingo Cay","5"
"Jewfish Cay","5"
"Andros.23","6"
"Andros.24","8"
"Andros.25","8"
"Andros.26","6"
"South Andros","16"
"Andros.28","9"
"Rudder Cut Cay","6"
"Big Farmer?s Cay","7"
"Green Cay","7"
"Bitter Guana Cay","5"
"Staniel Cay","6"
"Sampson Cay","6"
"Pipe Cay","7"
"Middle Bight Cay","16"
"High Ridge Cay","12"
"Madiera Cay","8"
"Compass Cay","8"
"Little Bells Cay","7"
"Bell Island","5"
"Halls Pond Cay","7"
"Waderick Wells Cay","4"
"Hawksbill Cay","6"
"Little San Salvador","9"
"Andros.16","6"
"Andros.7","7"
"Gold Cay","5"
"Andros.8","7"
"Andros.11","10"
"Andros.9","8"
"Andros.13","10"
"Andros.10","3"
"Andros.12","9"
"Andros.14","3"
"Andros.15","10"
"North Andros","19"
"Joulter Cays","8"
"Little Ragged Island","4"
"Ragged Island","11"
"Hog Cay","7"
"Margaret Cay","4"
"Crooked Island","18"
"Long.2","7"
"Long.1","2"
"Long.4","8"
"Long","17"
"Great Exuma","14"
"Great Exuma.2","10"
"Great Exuma.3","6"
"Lee Stocking Island","7"
"Norman?s Pond Cay","6"
"Bock Cay","6"
"Little Exuma","13"
"Moriah Harbour Cay","9"
"Stocking Island","7"
"Rum Cay Island","12"
"Conception Island","8"
"San Salvador","16"
"Cat","16"
"Cotton Cay","6"
"Andros.27","9"
"Cay Sal","2"
"South Bimini Cay","12"
"North Bimini","9"
"Man o? War Cay","10"
"Sweetings Cay","13"
"Jackson's Cay","12"
"Grand Bahama","21"
"August Cay","12"
"Grand Bahama.5","7"
"The Bahamas","10"
"Little Cave Cay","11"
"Strangers Cay","9"
"New Providence","15"
"Paradise Island","5"
"Whale Cay","9"
"Bonds Cay","8"
"Little Harbour Cay","6"
"Hoffman Cay","7"
"Highbourn Cay","7"
"Ship Channel Cay","6"
"Eleuthera","18"
"Harbour Island","11"
"Royal Island","6"
"Frazer?s Hog Cay","11"
"Bamboo Cay","11"
"Great Stirrup Cay","8"
"Mangrove Cay","8"
"Moore?s Island","12"
"Great Abaco","25"
"Great Abaco.4","5"
"Great Abaco.5","7"
