"Name","n_habitat"
"Cayo Media Luna","6"
"Cuba","30"
"Cayo Güincho","6"
"Cayo Moa Grande","4"
"Cayo Algodón Grande","7"
"Cayo Punta de los Machos","7"
"Cayo Balandras","7"
"Cayo Providencia","5"
"Hog Cay","7"
"Margaret Cay","4"
"Cayo Antón Chico","7"
"Cayo Romano","17"
"Cayo Salinas","7"
"Cayo El Sapo","7"
"Cotton Cay","6"
"Anguilla Cay","4"
"Cayos Pingues","6"
"Cayo Guanal","7"
"Cayos de la Enfermeria","5"
"Las Picus","5"
"Cayo Esquivel del Sur","6"
"Cayo Empalizada de Sotavento","7"
"Hispaniola","34"
"Juventud","18"
"Long","17"
"Acklins","18"
"Cayo Coco","14"
"Cayo Las Caguamas","6"
"Cayo Piedra Grande","6"
"Cayo Punta Iguna","7"
"Cayo Miraflores","6"
"Cayo Mangle Alto","8"
"Cayo Grande","9"
"Cayo Guásimas","7"
"Cayo Ávalos","11"
"Cayo Hicacos","10"
"Cayo Matías","5"
"Cayo Campos","7"
"Cayo Palma","10"
"Cayo Rico","6"
"Cayo Rabihorcado","5"
"Cayo Cantiles","10"
"Cayo Estopa","5"
"Cayo del Rosario","6"
"Cayo Divisa de Piedra","6"
"Cayo Largo","10"
"Cayo San Juan","6"
"Cayo Sifonte","10"
"Cayo Guao","7"
"Cayo Doña María","5"
"Cayo Traviesa","6"
"Cayo de Navío","9"
"Cayo Guajaba","13"
"Cayo Quitasol","7"
"Cayo Montañés","7"
"Cayo La Alegría","9"
"Cayo Coco.1","6"
"Cayo Real","10"
"Cayo Flamenco","6"
"Cayo Rancho de Cándido","5"
"Cayo Redondo","5"
"Cayo Alacrán Chico","8"
"Cayo Ernest Thaelmann","9"
"Cayo Diego Pérez","6"
"Cayo Los Machos","6"
"Cayo de la Pipa","5"
"Cayo Juan Ruíz","7"
"Little Ragged Island","4"
"Cayo del Masío","6"
"Ragged Island","11"
"Cayo La Grifa","6"
"Cayo Cuarto","7"
"Cayo Judas","10"
"Cayo Cruz","9"
"Cayo Mégano Grande","9"
"Raccoon Cay","7"
"Cayo de Buenavista","8"
"Cayo Antón Grande","4"
"Bonavista Cay","4"
"Cayo Lucas","11"
"Cayo La Aguada","8"
"Nurse Cay","5"
"Cayo Paredón Grande","7"
"Cayo Mal País","5"
"Cayo Rapado Grande","10"
"Cayo Boca Ciega","8"
"Cayo Diego","7"
"Cayo Botella","9"
"Cayo Pueblo Viejo","8"
"Cayo Guzmán","8"
"Cayo La Potala","7"
"Cayo Guillermo","12"
"Cayo Iguana","10"
"Cayo Tío Pepe","9"
"Cayo Punta Tierra del Guzmán","5"
"Cayo La Vieja Pepilla","5"
"Cayo Francés","8"
"Cayo Majá","8"
"Long Cay","4"
"Cayo Redondo.1","6"
"Cayo Coruita","6"
"Cayo Fragoso","10"
"Cayo Inés de Soto","8"
"Cayo del Medio de Marcos","5"
"Crooked Island","18"
"Cayo Marcos","6"
"Cayo Levisa","6"
"Cayo Lanzanillo","6"
"Cayo Tumba la Olla","7"
"Cayo Los Quitasoles","7"
"Cayo Hachuela","5"
"Cayo Mariposa","5"
"Cayo de la Cruz","4"
"Cayo Las Picúas","8"
"Cayo Iguana.1","6"
"Los Conucos","8"
"Cayo del Cristo","8"
"Cayo Piedra del Obispo","6"
"Cayo La Yana","6"
"Cayo Blanquizal","7"
"Cayo Genovés","10"
"Conch Cay","4"
"Cayo Bahía de Cádiz","9"
"Cayo Cabezos","8"
"Cayo Anclitas","6"
"Cayo Grande.1","7"
"Cayo Grande.2","6"
"Cayos Cinco Balas","4"
"Cayos Cinco Balas.1","5"
"Cayos Cinco Balas.2","6"
"Cayos Cinco Balas.3","6"
"Cayos los Cayuelos","5"
"Cayos Aguardiente","5"
"Cayos Aguardiente.1","5"
"Cayo Coco.2","7"
"Cayo del Pasaje","5"
"Cayo San Juan.1","6"
"Cayos Boca de Alonso","7"
"Cayo de los Indios","6"
"Cayos de San Felipe","7"
"Cayo Grande.3","6"
"Cayo Grande.4","8"
"Cayo Grande.5","7"
"Castle","6"
"Cayo Rapado Chico","7"
"Cayos de la Herradura","6"
"Cayo Jutias","5"
"Cayeria Las Cayamas","5"
"Cayeria Las Cayamas.1","4"
"Cayeria Las Cayamas.2","7"
"Cayo Santa Maria","11"
"Cayos Pajonal","5"
"Cayo Medano de Casiguas","7"
"Cayos Jutias","5"
"Cayos Dromedarios","6"
"Cayos de las Cinco Leguas","8"
"Long.1","2"
"Long.2","7"
"Long.3","7"
"Cayos Falcones","7"
"Long.4","8"
"Cayos Blancos","5"
"Cayo Boca Seca","5"
"Cayo Puerco","4"
"Maycock Cay","4"
"Cayo Los Cayuelos","6"
"Flamingo Cay","5"
"Isla Beata","8"
"Île à Vache","17"
"Isla Saona","16"
"Île Grosse Caye","9"
"Isla Catalina","6"
"Île Corny","7"
"Petite Cayemite","7"
"Grande Cayemite","12"
"Île de la Gonâve","18"
"Jamaica","26"
"Great Goat Island","7"
"Puerto Rico","25"
"Pineros","6"
"Trinidad","22"
"Gaspar Grande","6"
"Chacachacare","5"
"Monos","5"
"North Andros","19"
"Yellow Cay","13"
"High Ridge Cay","12"
"Middle Bight Cay","16"
"Reids Cay","9"
"Pine Tree Cay","9"
"Madiera Cay","8"
"Pine Cay","12"
"Pot Cay","6"
"Big Wood Cay","12"
"Williams Island","9"
"Andros","11"
"Andros.1","9"
"Andros.2","8"
"Andros.3","9"
"Andros.4","7"
"Andros.5","5"
"Andros.6","6"
"Andros.7","7"
"Andros.8","7"
"Andros.9","8"
"Andros.10","3"
"Andros.11","10"
"Andros.12","9"
"Andros.13","10"
"Andros.14","3"
"Andros.15","10"
"Andros.16","6"
"Great Inagua","17"
"South Andros","16"
"Linder Cay","8"
"Andros.17","7"
"Andros.18","13"
"Andros.19","9"
"Andros.20","8"
"Andros.21","5"
"Andros.22","8"
"Andros.23","6"
"Andros.24","8"
"Andros.25","9"
"Andros.26","6"
"Andros.27","9"
"Andros.28","9"
"Andros.29","7"
"Andros.30","7"
"Andros.31","6"
"Andros.32","8"
"Martinique","22"
"Great Abaco","25"
"Gorda Cay","14"
"Top Cay","7"
"Mangrove Cay","8"
"Moore?s Island","12"
"Tilloo Cay","8"
"Lubbers Quarters","6"
"Long Cay.1","10"
"Dilly Cay","8"
"Lightbourn?s Cay","13"
"Big Lake Cay","8"
"Great Guana Cay","12"
"Green Turtle Cay","15"
"Basin Harbour Cay","10"
"Nun Jack Cay","10"
"Randalls Cay","11"
"Powell Cay","6"
"Wood Cay","9"
"Great Abaco.1","5"
"Great Abaco.2","5"
"Great Abaco.3","10"
"Great Abaco.4","5"
"Great Abaco.5","7"
"Great Abaco.6","11"
"Great Abaco.7","7"
"Great Abaco.8","5"
"Great Abaco.9","8"
"Great Abaco.10","8"
