"Name","n_habitat"
"Hispaniola","34"
"Cuba","30"
"Juventud","16"
"Dominica","17"
"Jamaica","25"
"Puerto Rico","25"
"Viegues","18"
"St. Croix","15"
"de Culebra","10"
"St. John","14"
"St. Thomas","17"
"Tortola","18"
"Beef","11"
"Jost Van Dyke","11"
"Virgin Gorda","14"
"Great Camanoe","10"
"Guana","8"
"Guadeloupe","19"
"Tortue","17"
"Antigua","24"
"Barbuda","13"
"Barbuda.1","6"
"Canouan","7"
"Mustique","11"
"Bequia","9"
"Barbados","17"
"St Vincent","16"
"Saint Lucia","18"
"Martinique","22"
"Montserrat","17"
"Nevis","15"
"St Kitts","20"
"Sint Eustatius","12"
"Saba Island","10"
"Trinidad","17"
"Tobago","18"
"Grenada","20"
"Carriacou Island","12"
"Union","10"
"Terre de Haut","9"
"Marie Galante","11"
"La Désirade","11"
"Île Saint-Barthélemy","10"
"Saint Martin/Sint Maarten","19"
"Anguilla","10"
"Terre-de-Bas","9"
"Isla Saona","3"
"Grand Bahama.4","1"
"Grand Bahama.2","4"
"Man o? War Cay","3"
"Grand Bahama","20"
"August Cay","11"
"Grand Bahama.5","7"
"The Bahamas","1"
"West End Cay","9"
"Great Abaco","24"
"Great Abaco.4","5"
"Great Abaco.5","7"
"Cayman Brac Island","6"
"Grand Cayman","12"
"Cayo Jutias","2"
"Cayo Botella","9"
"Cayo Coruita","6"
"Cayo Medano de Casiguas","5"
"Cayo Puerco","4"
"Cayo Sifonte","9"
"Cayo Romano","17"
"Cayo Guanal","6"
"Cayo Coco","14"
"South Bimini Cay","12"
"Great Inagua","17"
"Big Ambergris Cay","5"
"Grand Turk","8"
"Middle Caicos","11"
"Providenciales","13"
"Mangrove Cay.1","4"
"Little Water & Pine Cay","8"
"North Caicos","13"
"North Caicos.1","2"
"New Providence","15"
"Cayo de Buenavista","8"
"Cayo Rapado Chico","7"
"Cayo Rapado Grande","10"
"Cayo La Vieja Pepilla","5"
"Cayo Majá","8"
"Cayo Santa Maria","11"
"Cayo Moa Grande","4"
"Cayo Pueblo Viejo","8"
"Cayo La Potala","7"
"Cayo Tío Pepe","9"
"Cayo Francés","7"
"Cayo Guajaba","13"
"Cayo Paredón Grande","7"
"Cayos de la Herradura","6"
"Cayo Boca Ciega","8"
"Cayo Iguana","10"
"Cayo Guillermo","12"
"Cayo La Alegría","9"
"Cayo Cruz","9"
"Cayo Antón Grande","4"
"Isla Beata","8"
"Mona","6"
"Green Cay","7"
"Great Guana Cay.1","9"
"Staniel Cay","6"
"Middle Bight Cay","16"
"Compass Cay","8"
"Bell Island","5"
"Waderick Wells Cay","4"
"Hawksbill Cay","6"
"Little San Salvador","9"
"Andros.16","6"
"Andros.7","7"
"Andros.8","7"
"Andros.11","10"
"Andros.9","8"
"Andros.13","10"
"Andros.10","3"
"Andros.12","9"
"Andros.14","3"
"Andros.15","10"
"North Andros","19"
"Long.2","7"
"Long.1","2"
"Long.4","8"
"Long","17"
"Great Exuma","14"
"Great Exuma.2","10"
"Darby Island","7"
"Little Exuma","13"
"Moriah Harbour Cay","9"
"San Salvador","17"
"Cat","16"
"Eleuthera","18"
"Current Island","10"
"Royal Island","6"
"Bamboo Cay","11"
