"name","TRI","mean_elev","median_elev","min_elev","max_elev","Nearest_Dist","nearest_occ","richness","area","mean_csi","sd_csi","bp"
"A Quatre",60.8155130892992,43.984375,38,-6,127,6598.34445148955,6598.34445148955,0,1436306.586,0.17423902079463,0.00580409776674497,0
"Acklins",3.99589807210139,5.06096129939236,4,-108,98,30146.7665524865,0,1,446074531.3,0.143868435984072,0.00717630702098769,0
"Acklins.1",4.40756565233819,5.00827067669173,4,-2,16,2079.605698065,31530.6107548388,0,6872918.692,0.141802549362183,0,0
"Allan Cay",4.61058334836132,3.02511415525114,3,-1,9,19117.7470858658,82043.3428754138,0,2164222.806,0.176687709987164,0.000168239682543361,0
"Allen Cay",6.53651073677005,3.29657794676806,2,-13,16,2555.58455120769,31610.7264183048,0,1349883.35,0.137208752334118,0.00702782893850966,0
"Andros",3.71429312009205,3.79302155644867,4,-63,38,8106.85154429567,0,4,28019048.88,0.141461009159684,0.0114289102589425,0
"Andros.1",3.52537608298942,3.21350364963504,3,-26,13,4900.86958092699,9128.20757987426,0,8426909.065,0.142796006053686,0.00815578000005285,0
"Andros.10",3.30326855082995,5.55799373040752,6,2,16,3630.05659636463,50122.2606198241,0,4841111.013,0.129572615027428,0,0
"Andros.11",3.34157321649819,3.4692118226601,3,0,8,1803.10114679732,68403.1630064159,0,4133929.866,0.135681316256523,0,0
"Andros.12",3.27307571809464,3.63985032740879,4,0,8,1803.10114679732,68267.5763959593,0,5455207.272,0.136939078569412,0,0
"Andros.13",3.0347717496222,3.73972602739726,4,0,8,1694.58299137322,71061.5577632233,0,3044652.547,0,0,0
"Andros.14",4.78803048142625,0.536803364879075,0,-5,14,3630.05659636463,52269.0108876889,0,9667834.246,0.127576440572739,0,0
"Andros.15",3.66192080854223,3.71714743589744,4,-1,18,3245.30277149221,69613.2817995999,0,6392733.211,0.13419334590435,0,0
"Andros.16",3.56827541981924,4.00651465798046,4,-1,13,5636.5986226252,16820.6212086973,0,1552530.351,0.138143271207809,0,0
"Andros.17",7.74121476685415,4.07786885245902,4,-36,28,1903.36267145482,49188.984870111,0,1272111.591,0.160753801465034,0,0
"Andros.18",3.32079466602487,3.54061747317714,3,-32,28,6982.8895012711,59177.9925071035,0,93692000.95,0.129340300957362,0.000370983944816924,0
"Andros.19",3.94130633530226,3.30693696547355,3,-64,49,3933.69914009233,51643.3497979528,0,32382056.07,0.135594315826893,0.00624156029704584,0
"Andros.2",4.25610751227329,4.27067669172932,4,-4,17,2774.40270664292,8804.77721517751,0,1332509.119,0.132419131696224,0.00865792152494126,0
"Andros.20",5.97940660083171,3.30396475770925,4,-46,18,3612.13336532117,48279.07235444,0,3490521.646,0.153453923761845,0.010323586051516,0
"Andros.21",3.36250819411088,3.72924187725632,4,-1,9,6982.8895012711,53951.6886959298,0,1407517.149,0.128347128629684,0.000604020271770001,0
"Andros.22",3.99803336723795,2.66037735849057,3,-10,8,2878.59860323799,46931.5332106465,0,1091292.431,0.139069594442844,0.00198877280397143,0
"Andros.23",9.25804625337969,2.41255605381166,3,-32,24,3612.13336532117,44858.7910533721,0,1153977.316,0.140843823552132,0.00325131326125164,0
"Andros.24",3.15720635734001,2.88520109332292,3,-13,43,2878.59860323799,44407.0444617819,0,13112234.61,0.138544797897339,0,0
"Andros.25",7.30094962806279,2.25215252152522,3,-46,56,2684.1808632323,36082.4375548374,0,4172238.006,0.137931231409311,0.00971462439084071,0
"Andros.26",3.10188437985108,3.23008849557522,3,0,11,2684.1808632323,35241.5092077064,0,1175931.135,0.135964192450047,0.00873635681002003,0
"Andros.27",4.72724150776602,3.13566739606127,3,-20,35,6433.65690672855,29646.0743507638,0,2320039.381,0.141254715621471,0.00405666577930993,0
"Andros.28",5.2792222700867,4.73529411764706,5,-7,34,5884.40904624784,24375.3460900956,0,2595186.15,0.125646710395813,0.00023406252320525,0
"Andros.29",3.8963174220678,4.2,4,1,12,3700.78473625648,18307.357747828,0,1898971.087,0.126694455742836,0.000411585049133136,0
"Andros.3",2.80237879589157,4.23209169054441,4,0,8,2614.2654366208,10176.9418194889,0,1798851.649,0.155278995633125,0,0
"Andros.30",3.27613786337795,4.1043956043956,4,-16,11,2333.68006857468,21011.5662596573,0,7458406.528,0.125137152150273,0.00118609948990204,0
"Andros.31",3.08416753319594,4.30288461538461,4,-2,11,2333.68006857468,19420.0249408836,0,6427365.962,0.125107273459435,0,0
"Andros.32",3.56275592848678,4.61822985468956,4,-1,26,2737.11857479102,22164.8384572696,0,3877662.277,0.124537292867899,0.000676310408584963,0
"Andros.33",5.82525013250725,3.37757009345794,3,-23,56,1648.5103833689,63414.7211822307,0,2758147.538,0.144306227564812,0,0
"Andros.34",3.27517833049039,3.57028112449799,4,0,9,1648.5103833689,63327.272371569,0,1299758.303,0.157920964062214,0.0192541450027621,0
"Andros.35",3.33057971000671,4.33488372093023,4,1,8,7321.98648583126,63556.1972956492,0,1077784.474,0.145702160894871,0.0211015256666917,0
"Andros.36",3.621661214253,4.11068965517241,4,-58,65,5585.47384835951,57711.0781775831,0,44720901.5,0.131619438529015,0.00118554870176294,0
"Andros.37",9.70418947685265,3.23053892215569,4,-53,33,3010.8759206979,53767.9632486036,0,1707478.909,0.161301873624325,0.0159371880249548,0
"Andros.38",4.33397160671195,3.38571428571429,3,-37,9,2148.31164324339,54269.042676722,0,2522162.349,0.162507370114326,0.018658683090703,0
"Andros.39",5.05930553666697,4.13255033557047,4,-14,22,2148.31164324339,53302.7267689255,0,3090279.976,0.140977397561073,0,0
"Andros.4",4.40322884969544,4.24561403508772,4,-14,28,1688.46935207179,16937.8459760021,0,2048655.476,0.124725963920355,0.00161187860310005,0
"Andros.41",3.82334224983137,3.2530612244898,3,-3,9,3933.69914009233,54497.8901785681,0,1241394.928,0.129815210898717,0.000270555597251123,0
"Andros.42",3.85550777424102,3.29865771812081,4,-14,6,1903.36267145482,51052.495248254,0,1517208.389,0.166662484407425,0.00835613955289113,0
"Andros.5",2.59075983250532,3.90173410404624,4,1,8,4682.26704497706,18194.3196069002,0,2651046.432,0.138956286013126,0.00494512134591958,0
"Andros.6",2.80913295661267,3.78492239467849,4,1,8,4682.26704497706,22430.8216548752,0,2331049.821,0.126496769487858,0.00158060164956768,0
"Andros.7",14.8747891012255,4.90990990990991,5,-64,85,14739.607369159,53788.4740831755,0,5115160.035,0.135708764195442,0,0
"Andros.9",2.66708423441778,3.25077399380805,3,0,6,1694.58299137322,72302.0131331859,0,1600652.889,0.139189094305038,0.00496074729000499,0
"Anegada",3.12198168408792,2.91788079470199,3,-28,11,28737.4568818519,45575.768753956,0,40111776.74,0.150579358140628,0.00654391885207101,0
"Anguilla",8.4270620482854,21.3282141290039,19,-11,85,13231.7001566091,0,3,72789842.34,0.141536027193069,0.00225974376069994,0
"Anguilla Cay",6.10078375752574,8.45288753799392,8,2,14,8630.3800727108,165665.085677258,0,1673260.651,0.146521374583244,0.00102101083215744,0
"Antigua",20.6296424077896,48.4364338967173,30,-397,383,9803.70935579858,0,3,274569789.4,0.144811836381753,0.00768709780193776,0
"August Cay",2.6705628609971,2.03125,2,-2,8,3771.49711518078,49897.1309701016,0,9137730.106,0.167640209197998,0,0
"Baliceaux",44.6534462212527,45.0995850622407,39,3,112,8867.75424928418,11936.75403291,0,1309288.555,0.165782809257507,0.000351251835489791,0
"Bamboo Cay",5.75129632523956,6.46597633136095,5,-12,77,10105.2426074601,91665.4958884387,0,27304212.04,0.163965091109276,0,0
"Barbados",11.5510785986905,106.903595367145,82,-22,336,172740.345219257,0,1,434104883,0.165474817156792,0.00209431001034499,0
"Barbuda",3.51990204429839,13.2128251331871,9,-130,71,10982.2792801575,0,2,136370548,0.136884050709861,0.0100978213685008,0
"Barbuda.1",3.65275429811628,4.61042183622829,5,-1,10,10982.2792801575,10982.2792801575,0,6454231.733,0.146928939968348,0.0166809637628758,0
