"Island","Nearest_Dist"
"Hispaniola",268988.848350629
"Juventud",310689.607859036
"Acklins",36497.7016166951
"Cayo Coco",110937.395160836
"Crooked Island",36497.7016166951
"Jamaica",314356.811822689
"Puerto Rico",107291.12679775
"Trinidad",114198.488416572
"Andros",99363.0455356381
"Great Inagua",58867.5691550043
"Martinique",84158.1739750346
"Grand Bahama",204943.431519162
"Saint Lucia",75934.5721010733
"Barbados",172740.345219257
"Eleuthera",107186.801534883
"Cat",95372.1924711998
"St Vincent",27258.877505822
"Grenada",77574.5398107563
"Tobago",114198.488416572
"Mayaguana",96950.6063350964
"Grand Turk",54316.7856389931
"Antigua",9803.70935579858
"Long Island",9803.70935579858
"New Providence",99363.0455356381
"St. Croix",67459.8454861148
"Great Exuma",95372.1924711998
"North Caicos",32548.0970663022
"Grand Cayman",132749.590664412
"Barbuda",52789.5100294304
"St Kitts",27755.2370660582
"San Salvador",107185.239452134
"Viegues",59471.7164642978
"Little Inagua",58867.5691550043
"Montserrat",56167.02515358
"Nevis",28534.7547470467
"Sint Eustatius",27755.2370660582
"Île Saint-Barthélemy",30474.8127064887
"Anguilla",17039.9433566878
"Little Cayman",25798.1397147257
"Cayman Brac Island",25798.1397147257
"Canouan",34183.699774361
"Bequia",27258.877505822
"Mona",54522.2887237728
"Saint Martin/Sint Maarten",17039.9433566878
"St. Thomas",20271.1515110846
"Peter",9532.48778853243
"St. John",15014.647272366
"Desecheo",54522.2887237728
"Tortola",9532.48778853243
"Big Ambergris Cay",54316.7856389931
"Providenciales",32548.0970663022
"Cuba",110937.395160836
