"Island","Distance_m"
"Cayo Media Luna",159499.436248581
"Cayo Güincho",140728.764844313
"Cayo Moa Grande",167804.387327301
"Cayo Algodón Grande",60917.2171371842
"Cayo Punta de los Machos",27901.9829310018
"Cayo Balandras",24099.284037373
"Cayo Providencia",23721.6759083633
"Hog Cay",148779.279853379
"Margaret Cay",143013.915463765
"Cayo Antón Chico",41881.7388743917
"Cayo Romano",64372.6581943309
"Cayo Salinas",81740.3701321968
"Cayo El Sapo",31701.9774947066
"Cotton Cay",157052.586056952
"Anguilla Cay",165665.085677258
"Cayos Pingues",119479.426090433
"Cayo Guanal",58417.7418255416
"Cayos de la Enfermeria",161027.490184638
"Las Picus",185326.19543577
"Cayo Esquivel del Sur",178169.375141656
"Cayo Empalizada de Sotavento",186952.855456566
"Long",93736.9364994306
"Cayo Las Caguamas",128265.441913846
"Cayo Piedra Grande",97215.6857859071
"Cayo Punta Iguna",121309.082024462
"Cayo Miraflores",92270.2656273233
"Cayo Mangle Alto",82254.4833351415
"Cayo Grande",77486.4710943461
"Cayo Guásimas",19290.8916927163
"Cayo Ávalos",70499.2865282028
"Cayo Hicacos",50824.7431480676
"Cayo Matías",43228.1338434279
"Cayo Campos",56549.6309717555
"Cayo Palma",51403.2376450297
"Cayo Rico",122116.137702106
"Cayo Rabihorcado",39507.0545236255
"Cayo Cantiles",83001.4118557926
"Cayo Estopa",108008.532581064
"Cayo del Rosario",98126.8880788095
"Cayo Divisa de Piedra",102743.687331343
"Cayo Largo",140052.093274507
"Cayo San Juan",30820.0056483453
"Cayo Sifonte",131893.287928386
"Cayo Guao",128876.897016494
"Cayo Doña María",31372.2491120262
"Cayo Traviesa",107096.536548239
"Cayo de Navío",34205.6292645122
"Cayo Guajaba",117280.138141469
"Cayo Quitasol",34626.9800484667
"Cayo Montañés",108229.137272831
"Cayo La Alegría",106244.298956978
"Cayo Coco.1",65916.2639702076
"Cayo Real",84213.1578478066
"Cayo Flamenco",136170.354980998
"Cayo Rancho de Cándido",168518.258005646
"Cayo Redondo",41423.0956309096
"Cayo Alacrán Chico",42985.6623201738
"Cayo Ernest Thaelmann",157410.093698329
"Cayo Diego Pérez",138320.663134881
"Cayo de la Pipa",50576.4107564416
"Cayo Juan Ruíz",109586.884801576
"Little Ragged Island",158935.129592976
"Cayo del Masío",136365.113290498
"Ragged Island",155072.251339725
"Cayo La Grifa",60976.0305940352
"Cayo Cuarto",63735.2990472672
"Cayo Judas",29594.1543035386
"Cayo Cruz",70871.6517841877
"Cayo Mégano Grande",57067.1830257306
"Raccoon Cay",135372.585593727
"Cayo de Buenavista",181403.956758744
"Cayo Antón Grande",37326.8759805109
"Bonavista Cay",127895.607000049
"Cayo Lucas",85513.2962414472
"Cayo La Aguada",90510.1823353012
"Nurse Cay",123707.61434582
"Cayo Paredón Grande",29435.6753104967
"Cayo Mal País",101964.917517515
"Cayo Rapado Grande",178745.77493445
"Cayo Boca Ciega",69579.8993027837
"Cayo Diego",174807.671505723
"Cayo Botella",23230.5387849138
"Cayo Pueblo Viejo",79879.6922315697
"Cayo Guzmán",102384.359418523
"Cayo La Potala",79002.0605573201
"Cayo Guillermo",26245.9238188596
"Cayo Iguana",57965.9515970975
"Cayo Tío Pepe",75238.0953959326
"Cayo Punta Tierra del Guzmán",107668.508181027
"Cayo La Vieja Pepilla",64649.4077328402
"Cayo Francés",79513.8784314624
"Cayo Majá",68535.8230216577
"Long Cay",22072.6704416477
"Cayo Redondo.1",156713.427070513
"Cayo Coruita",153691.545589787
"Cayo Fragoso",109155.807461885
"Cayo Inés de Soto",159462.252645726
"Cayo del Medio de Marcos",129996.275248163
"Cayo Marcos",132825.497328149
"Cayo Levisa",151826.695714893
"Cayo Lanzanillo",147437.810015002
"Cayo Tumba la Olla",161243.24985847
"Cayo Los Quitasoles",156124.788276456
"Cayo Hachuela",163702.577513695
"Cayo Mariposa",164948.110665987
"Cayo de la Cruz",168311.359529742
"Cayo Las Picúas",195464.687897645
"Cayo Iguana.1",172080.992085757
"Los Conucos",191329.49039381
"Cayo del Cristo",171473.490552087
"Cayo Piedra del Obispo",193178.460341209
"Cayo La Yana",201163.195930176
"Cayo Blanquizal",215159.626243395
"Cayo Genovés",258242.411137525
"Cayo Bahía de Cádiz",223881.694252339
"Cayo Cabezos",235186.361572944
"Cayo Anclitas",88435.4033962988
"Cayo Grande.1",72493.1065055053
"Cayo Grande.2",72318.6634562921
"Cayos Cinco Balas",71293.6932787488
"Cayos Cinco Balas.1",69662.381255919
"Cayos Cinco Balas.2",71199.2001594972
"Cayos Cinco Balas.3",69486.0919407929
"Cayos los Cayuelos",33519.6146242606
"Cayos Aguardiente",62021.1916102763
"Cayos Aguardiente.1",65143.933756823
"Cayo Coco.2",44698.9754876143
"Cayo del Pasaje",92049.1739701943
"Cayo San Juan.1",33626.5474664571
"Cayos Boca de Alonso",39033.3518902564
