"Island","Distance_m"
"Cayo Media Luna",159499.436248581
"Cayo Güincho",140728.764844313
"Cayo Moa Grande",374985.007734058
"Cayo Algodón Grande",60917.2171371842
"Cayo Punta de los Machos",27901.9829310018
"Cayo Balandras",24099.284037373
"Hog Cay",236951.592273806
"Margaret Cay",233898.472963959
"Cayo Antón Chico",126074.798821719
"Cayo Romano",122061.86189434
"Cayo Salinas",96339.1545044105
"Cayo El Sapo",104841.722459138
"Cotton Cay",218291.164904152
"Anguilla Cay",226133.336662079
"Cayos Pingues",119479.426090433
"Cayo Guanal",125461.379056084
"Cayos de la Enfermeria",177147.678750834
"Las Picus",198385.728648818
"Cayo Esquivel del Sur",197916.967083684
"Cayo Empalizada de Sotavento",204510.619282359
"Juventud",310689.607859036
"Long",107489.275764606
"Acklins",181485.337499264
"Cayo Coco",110937.395160836
"Cayo Las Caguamas",128265.441913846
"Cayo Piedra Grande",97215.6857859071
"Cayo Punta Iguna",121309.082024462
"Cayo Miraflores",92270.2656273233
"Cayo Mangle Alto",82254.4833351415
"Cayo Grande",77486.4710943461
"Cayo Guásimas",19290.8916927163
"Cayo Ávalos",266741.044538733
"Cayo Hicacos",275928.795316388
"Cayo Matías",279438.005449819
"Cayo Campos",274492.863772299
"Cayo Palma",278837.458110103
"Cayo Rico",260998.449335063
"Cayo Rabihorcado",287619.094582342
"Cayo Cantiles",267565.41941513
"Cayo Estopa",265371.229732115
"Cayo del Rosario",266311.304091432
"Cayo Divisa de Piedra",271767.241000511
"Cayo Largo",258721.711148401
"Cayo San Juan",300746.948923771
"Cayo Sifonte",155010.377247512
"Cayo Guao",155948.494832437
"Cayo de Navío",318480.00856861
"Cayo Guajaba",148731.229613676
"Cayo Montañés",145411.83464239
"Cayo La Alegría",140869.456974344
"Cayo Coco.1",369214.02154516
"Cayo Real",383014.098866588
"Cayo Rancho de Cándido",243628.7421351
"Cayo Redondo",347226.971696067
"Cayo Alacrán Chico",344910.341143573
"Cayo Ernest Thaelmann",254816.831145193
"Cayo Diego Pérez",275350.096798734
"Cayo de la Pipa",357766.133632629
"Cayo Juan Ruíz",311004.109864872
"Little Ragged Island",242819.263940427
"Cayo del Masío",281751.135793322
"Ragged Island",241246.331763492
"Cayo Cuarto",363569.541586693
"Cayo Judas",96036.5301298412
"Cayo Cruz",136341.02676359
"Cayo Mégano Grande",133356.356567765
"Raccoon Cay",229937.550940475
"Cayo de Buenavista",475904.338823795
"Cayo Antón Grande",126442.252365732
"Bonavista Cay",225207.053899341
"Cayo Lucas",99914.3755665879
"Cayo La Aguada",102662.918081832
"Nurse Cay",222484.724158131
"Cayo Paredón Grande",124604.556239892
"Cayo Mal País",366798.449462005
"Cayo Rapado Grande",477483.665174842
"Cayo Botella",106925.537418077
"Cayo Pueblo Viejo",108817.243778945
"Cayo Guzmán",393285.901202543
"Cayo La Potala",113497.303903715
"Cayo Guillermo",113170.984823387
"Cayo Iguana",110943.860714159
"Cayo Tío Pepe",114927.91094476
"Cayo Punta Tierra del Guzmán",397771.258189131
"Cayo Francés",117541.346614788
"Cayo Majá",116412.126696331
"Long Cay",161671.453622172
"Cayo Redondo.1",467044.78200619
"Cayo Coruita",464270.27731551
"Cayo Fragoso",134985.461926119
"Cayo Inés de Soto",469707.346012036
"Cayo del Medio de Marcos",152936.821275302
"Crooked Island",147137.224554141
"Cayo Marcos",156991.321848311
"Cayo Levisa",462138.879647808
"Cayo Lanzanillo",171714.794187215
"Cayo Tumba la Olla",179693.719488616
"Cayo Los Quitasoles",177099.653123773
"Cayo Hachuela",182919.352217273
"Cayo Mariposa",184838.485119561
"Cayo de la Cruz",188132.24510002
"Cayo Las Picúas",205691.029558484
"Cayo Iguana.1",192132.527931593
"Los Conucos",205409.651028932
"Cayo del Cristo",193038.386636474
"Cayo Piedra del Obispo",211170.79350239
"Cayo La Yana",217369.254795676
"Cayo Blanquizal",228622.410771008
"Cayo Genovés",263258.16076219
"Cayo Bahía de Cádiz",236651.122095534
"Cayo Cabezos",246324.348441989
"Cayo Anclitas",88435.4033962988
"Cayo Grande.1",72493.1065055053
"Cayo Grande.2",72318.6634562921
"Cayos Cinco Balas",71293.6932787488
"Cayos Cinco Balas.1",69662.381255919
"Cayos Cinco Balas.3",69486.0919407929
"Cayos Aguardiente",272566.486604906
"Cayos Aguardiente.1",271360.002708874
"Cayo Coco.2",284131.873884167
"Cayo San Juan.1",296505.745532415
"Cayos Boca de Alonso",293268.966452576
"Cayo de los Indios",342566.627576244
"Cayos de San Felipe",374707.137579735
"Cayo Grande.3",326973.670192453
"Cayo Grande.4",332734.52901186
"Cayo Grande.5",338496.59512737
"Castle",213116.457988673
"Cayos de la Herradura",106267.959202799
"Cayo Jutias",475354.318306995
"Cayeria Las Cayamas",383975.799572179
"Cayeria Las Cayamas.1",384859.280933144
"Cayeria Las Cayamas.2",385729.305154651
