"key","scientificName","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","installationKey","hostingOrganizationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","continent","stateProvince","year","month","day","eventDate","startDayOfYear","endDayOfYear","modified","lastInterpreted","references","license","isSequenced","identifier","facts","relations","isInCluster","datasetName","recordedBy","identifiedBy","geodeticDatum","countryCode","recordedByIDs","identifiedByIDs","gbifRegion","country","publishedByGbifRegion","rightsHolder","identifier.1","http...unknown.org.nick","verbatimEventDate","gbifID","verbatimLocality","collectionCode","occurrenceID","taxonID","catalogNumber","institutionCode","eventTime","http...unknown.org.captive","identificationID","name","lifeStage","dynamicProperties","vitality","projectId","occurrenceRemarks","informationWithheld","identificationRemarks","individualCount","higherGeography","institutionKey","collectionKey","preparations","institutionID","verbatimSRS","verbatimCoordinateSystem","higherClassification","collectionID","waterBody","samplingProtocol","habitat","locationRemarks","organismName","locality","verbatimDepth","elevation","typeStatus","nomenclaturalStatus","combinationAuthors","municipality","verbatimScientificName","namePublishedIn","http...unknown.org.verbatimLabel","combinationYear","canonicalName","county","sex","networkKeys","eventID","acceptedNameUsage","fieldNumber","language","type","previousIdentifications","locationID","ownerInstitutionCode","acceptedNameUsageID","identificationQualifier","eventRemarks","recordedByIDs.type","recordedByIDs.value","identifiedByIDs.type","identifiedByIDs.value","georeferencedBy","programmeAcronym","organismQuantity","organismQuantityType","vernacularName","gadm","otherCatalogNumbers","http...unknown.org.recordID","rights","http...unknown.org.recordEnteredBy","taxonConceptID","georeferencedDate","georeferenceVerificationStatus","georeferenceSources","associatedSequences","distanceFromCentroidInMeters","verbatimElevation","depth","depthAccuracy","basionymAuthors","basionymYear","establishmentMeans","recordNumber","nomenclaturalCode","bibliographicCitation","accessRights","georeferenceProtocol","locationAccordingTo","coordinatePrecision","elevationAccuracy","disposition","sampleSizeUnit","sampleSizeValue","datasetID","samplingEffort","verbatimTaxonRank","georeferenceRemarks","footprintWKT","organismID","identificationReferences","behavior","associatedReferences","typifiedName","infraspecificEpithet","materialEntityID","parentNameUsage","associatedOccurrences","higherGeographyID","http...unknown.org.habitat","http...unknown.org.recordId","fieldNotes","subfamily","taxonRemarks","footprintSRS","verbatimIdentification","originalNameUsage","featurecla","name","areas","Species"
"4532703708","Enteromius neumayeri (Fischer, 1884)",-0.37588,34.02136,"","c2914e4b-381d-4814-8a34-66a7d949fd44","fd515d3a-b237-42de-bba6-760008580da5","b75cac4b-10fd-424f-a4f7-7bae2657bf64","fd515d3a-b237-42de-bba6-760008580da5","KE","EML","2025-01-19T06:08:27.326+00:00","2025-02-01T00:48:45.945+00:00",36,"PRESERVED_SPECIMEN","PRESENT",9414131,1,44,1153,7336,2363128,9414131,9414131,"Enteromius neumayeri (Fischer, 1884)","Animalia","Chordata","Cypriniformes","Cyprinidae","Enteromius","Enteromius neumayeri","Enteromius","neumayeri","SPECIES","ACCEPTED","LC",NA,NA,"AFRICA",NA,2023,7,11,"2023-07-11",192,192,NA,"2025-02-01T00:48:45.945+00:00",NA,"http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"KNM.ICH.FW/5557/1-8","none","none",FALSE,NA,NA,"Kosgei, G.","WGS84","KE","none","none","AFRICA","Kenya","AFRICA",NA,"KNM.ICH.FW/5557/1-8",NA,NA,"4532703708",NA,"ICH","KNM.ICH.FW/5557/1-8",NA,NA,"NMK",NA,NA,NA,"Enteromius neumayeri (Fischer, 1884)",NA,NA,NA,"70018 JRS-University of Florida -NMK",NA,NA,NA,8,"Africa; Kenya","9e37bf7c-0304-4477-b506-e26fa6d5cf45","71110d30-6742-4174-b0d3-c401acd069b1","Ethanol","https://scientific-collections.gbif.org/institution/9e37bf7c-0304-4477-b506-e26fa6d5cf45","WGS84","decimal degrees","Animalia;Chordata;Osteichthyes;Cypriniformes;Cyprinidae","https://scientific-collections.gbif.org/collection/71110d30-6742-4174-b0d3-c401acd069b1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lake","Lake Victoria",67332250502.7392,"Enteromius neumayeri"
"3336820311","Enteromius jacksoni (Günther, 1889)",0.238524,33.993361,"cdc,gass84,osiic","5a53f318-2cba-42ea-ab8c-01335c2ac646","4f3d98d3-f69a-4929-9291-6c35340b6711","a114f599-3d05-4ca1-90ed-dba5b7aa5722","4f3d98d3-f69a-4929-9291-6c35340b6711","UG","EML","2025-01-22T19:45:52.705+00:00","2025-01-31T20:54:42.427+00:00",46,"HUMAN_OBSERVATION","PRESENT",9406569,1,44,1153,7336,2363128,9406569,9406569,"Enteromius jacksoni (Günther, 1889)","Animalia","Chordata","Cypriniformes","Cyprinidae","Enteromius","Enteromius jacksoni","Enteromius","jacksoni","SPECIES","ACCEPTED","LC",NA,NA,"AFRICA",NA,2021,4,30,"2021-04-30",120,120,NA,"2025-01-31T20:54:42.427+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"RS_NaFIRRI_17390","none","none",FALSE,NA,"Mark Olokotum","Mark Olokotum,Mugeni Bairon,Richard Mageni,Nuwahereza colleb,BasoomaAnthony, Bukirwa shakirah","WGS84","UG","none","none","AFRICA","Uganda","AFRICA",NA,"RS_NaFIRRI_17390",NA,NA,"3336820311",NA,NA,"RS_NaFIRRI_17390",NA,NA,"NaFIRRI/National Fisheries Resources Research Institute",NA,NA,NA,"Enteromius jacksoni (Günther, 1889)",NA,NA,NA,"BID-AF2020-145-USE",NA,NA,NA,3,NA,NA,NA,NA,"https://www.firi.go.ug",NA,NA,NA,NA,"River Sio","Gillnetting (Multifilament nets of mesh sizes 1 to 8 inches)","River",NA,"Enteromius jacksonii","Inshore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BID",100.3,"grams","Jackson's barb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lake","Lake Victoria",67332250502.7392,"Enteromius jacksoni"
"3336820307","Enteromius apleurogramma (Boulenger, 1911)",0.238545,33.993942,"cdc,gass84,osiic","5a53f318-2cba-42ea-ab8c-01335c2ac646","4f3d98d3-f69a-4929-9291-6c35340b6711","a114f599-3d05-4ca1-90ed-dba5b7aa5722","4f3d98d3-f69a-4929-9291-6c35340b6711","UG","EML","2025-01-22T19:45:52.705+00:00","2025-01-31T20:54:42.365+00:00",46,"HUMAN_OBSERVATION","PRESENT",9573924,1,44,1153,7336,2363128,9573924,9573924,"Enteromius apleurogramma (Boulenger, 1911)","Animalia","Chordata","Cypriniformes","Cyprinidae","Enteromius","Enteromius apleurogramma","Enteromius","apleurogramma","SPECIES","ACCEPTED","LC",NA,NA,"AFRICA",NA,2021,4,30,"2021-04-30",120,120,NA,"2025-01-31T20:54:42.365+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"RS_NaFIRRI_17396","none","none",FALSE,NA,"Mark Olokotum","Mark Olokotum,Mugeni Bairon,Richard Mageni,Nuwahereza colleb,BasoomaAnthony, Bukirwa shakirah","WGS84","UG","none","none","AFRICA","Uganda","AFRICA",NA,"RS_NaFIRRI_17396",NA,NA,"3336820307",NA,NA,"RS_NaFIRRI_17396",NA,NA,"NaFIRRI/National Fisheries Resources Research Institute",NA,NA,NA,"Enteromius apleurogramma (Boulenger, 1911)",NA,NA,NA,"BID-AF2020-145-USE",NA,NA,NA,70,NA,NA,NA,NA,"https://www.firi.go.ug",NA,NA,NA,NA,"River Sio","Gillnetting (Multifilament nets of mesh sizes 1 to 8 inches)","River",NA,"Enteromius apluerogramma","Middle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BID",430,"grams","East African red finned barb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lake","Lake Victoria",67332250502.7392,"Enteromius apleurogramma"
"3336820305","Enteromius jacksoni (Günther, 1889)",0.238545,33.993942,"cdc,gass84,osiic","5a53f318-2cba-42ea-ab8c-01335c2ac646","4f3d98d3-f69a-4929-9291-6c35340b6711","a114f599-3d05-4ca1-90ed-dba5b7aa5722","4f3d98d3-f69a-4929-9291-6c35340b6711","UG","EML","2025-01-22T19:45:52.705+00:00","2025-01-31T20:54:42.361+00:00",46,"HUMAN_OBSERVATION","PRESENT",9406569,1,44,1153,7336,2363128,9406569,9406569,"Enteromius jacksoni (Günther, 1889)","Animalia","Chordata","Cypriniformes","Cyprinidae","Enteromius","Enteromius jacksoni","Enteromius","jacksoni","SPECIES","ACCEPTED","LC",NA,NA,"AFRICA",NA,2021,4,30,"2021-04-30",120,120,NA,"2025-01-31T20:54:42.361+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"RS_NaFIRRI_17397","none","none",FALSE,NA,"Mark Olokotum","Mark Olokotum,Mugeni Bairon,Richard Mageni,Nuwahereza colleb,BasoomaAnthony, Bukirwa shakirah","WGS84","UG","none","none","AFRICA","Uganda","AFRICA",NA,"RS_NaFIRRI_17397",NA,NA,"3336820305",NA,NA,"RS_NaFIRRI_17397",NA,NA,"NaFIRRI/National Fisheries Resources Research Institute",NA,NA,NA,"Enteromius jacksoni (Günther, 1889)",NA,NA,NA,"BID-AF2020-145-USE",NA,NA,NA,2,NA,NA,NA,NA,"https://www.firi.go.ug",NA,NA,NA,NA,"River Sio","Gillnetting (Multifilament nets of mesh sizes 1 to 8 inches)","River",NA,"Enteromius jacksonii","Middle",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BID",11.8,"grams","Jackson's barb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lake","Lake Victoria",67332250502.7392,"Enteromius jacksoni"
"3336820326","Enteromius kerstenii (Peters, 1868)",-0.944036,31.777067,"cdc,gass84,osiic","5a53f318-2cba-42ea-ab8c-01335c2ac646","4f3d98d3-f69a-4929-9291-6c35340b6711","a114f599-3d05-4ca1-90ed-dba5b7aa5722","4f3d98d3-f69a-4929-9291-6c35340b6711","UG","EML","2025-01-22T19:45:52.705+00:00","2025-01-31T20:54:42.527+00:00",46,"HUMAN_OBSERVATION","PRESENT",9461154,1,44,1153,7336,2363128,9461154,9461154,"Enteromius kerstenii (Peters, 1868)","Animalia","Chordata","Cypriniformes","Cyprinidae","Enteromius","Enteromius kerstenii","Enteromius","kerstenii","SPECIES","ACCEPTED","LC",NA,NA,"AFRICA",NA,2021,5,1,"2021-05-01",121,121,NA,"2025-01-31T20:54:42.527+00:00",NA,"http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,"RS_NaFIRRI_17425","none","none",FALSE,NA,"Mark Olokotum","Mark Olokotum,Mugeni Bairon,Richard Mageni,Nuwahereza colleb,BasoomaAnthony, Bukirwa shakirah","WGS84","UG","none","none","AFRICA","Uganda","AFRICA",NA,"RS_NaFIRRI_17425",NA,NA,"3336820326",NA,NA,"RS_NaFIRRI_17425",NA,NA,"NaFIRRI/National Fisheries Resources Research Institute",NA,NA,NA,"Enteromius kerstenii (Peters, 1868)",NA,NA,NA,"BID-AF2020-145-USE",NA,NA,NA,1,NA,NA,NA,NA,"https://www.firi.go.ug",NA,NA,NA,NA,"River Kagera","Electrofishing","River",NA,"Enteromius kerstenii","River mouth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BID",1.5,"grams","Redspot barb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lake","Lake Victoria",67332250502.7392,"Enteromius kerstenii"
"2830976313","Enteromius alberti (Poll, 1939)",-0.092,29.758417,"cdc,gass84,osiic,inmano","5fcc010d-8df1-418f-87b1-b29e649ed604","a064f300-1bc8-41ea-9364-b864ef4e8938","7ce8aef1-9e92-11dc-8740-b8a03c50a999","7ce8aef0-9e92-11dc-8738-b8a03c50a862","FR","DWC_ARCHIVE","2025-03-02T07:49:58.703+00:00","2025-03-02T07:56:50.663+00:00",233,"MATERIAL_CITATION","PRESENT",10758256,1,44,1153,7336,2363128,9326520,9326520,"Enteromius stigmatopygus (Boulenger, 1903)","Animalia","Chordata","Cypriniformes","Cyprinidae","Enteromius","Enteromius stigmatopygus","Enteromius","alberti","SPECIES","SYNONYM","NE",NA,NA,"AFRICA","Lake Edward",2018,1,20,"2018-01-20",20,20,NA,"2025-03-02T07:56:50.663+00:00","https://treatment.plazi.org/id/03B287EEF85FF30EFD90D6845856C948#3B733CA5F841F30FFAD3D56D5957CEBE","http://creativecommons.org/publicdomain/zero/1.0/legalcode",FALSE,"03B287EEF85FF30EFD90D6845856C948.mc.3B733CA5F841F30FFAD3D56D5957CEBE","none","none",TRUE,NA,"GenBank & Supplementary",NA,"WGS84","UG","none","none","AFRICA","Uganda","EUROPE",NA,"03B287EEF85FF30EFD90D6845856C948.mc.3B733CA5F841F30FFAD3D56D5957CEBE",NA,NA,"2830976313",NA,NA,"03B287EEF85FF30EFD90D6845856C948.mc.3B733CA5F841F30FFAD3D56D5957CEBE","03B287EEF85FF30EFD90D6845856C948.taxon","RMCA 2018.008.P.0247","HIPE, MT, SM",NA,NA,NA,"Enteromius alberti (Poll, 1939)",NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lake Edward",NA,NA,NA,NA,NA,"Kayanja","Enteromius alberti (Poll, 1939)",NA,"1 spec.; Kayanja, offshore, Lake Edward; 0 ° 05 ʹ 31.2 ʺ S, 29 ° 45 ʹ 30.3 ʺ E; 20 Jan. 2018; HIPE exped.; GenBank: MT 251133; RMCA 2018.008. P. 0247 (Supplementary file SM. 01: HP 2599)",NA,"Enteromius alberti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Poll","1939",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lake","Lake Edward",2219606178.99023,"Enteromius alberti"
"4454483578","Enteromius alberti (Poll, 1939)",-0.092,29.758417,"cdc,cdround,gass84,osiic","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","575c52b0-a742-11db-a6ff-b8a03c50a862","96dec937-f8d1-4d18-a8a1-1e9f4ca1aabd","575c52b0-a742-11db-a6ff-b8a03c50a862","BE","EML","2025-02-28T23:01:23.697+00:00","2025-02-28T23:02:19.797+00:00",71,"PRESERVED_SPECIMEN","PRESENT",10758256,1,44,1153,7336,2363128,9326520,9326520,"Enteromius stigmatopygus (Boulenger, 1903)","Animalia","Chordata","Cypriniformes","Cyprinidae","Enteromius","Enteromius stigmatopygus","Enteromius","alberti","SPECIES","SYNONYM","NE","2019-01-01T00:00:00",NA,"AFRICA",NA,2018,1,20,"2018-01-20",20,20,"2019-09-13T00:00:00.000+00:00","2025-02-28T23:02:19.797+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"https://darwinweb.africamuseum.be/object/feae031a-da11-4d89-bdae-27f8df32ec14","none","none",TRUE,NA,NA,"Maetens Heleen","WGS84","UG","none","none","AFRICA","Uganda","EUROPE",NA,"https://darwinweb.africamuseum.be/object/feae031a-da11-4d89-bdae-27f8df32ec14",NA,NA,"4454483578",NA,"VER-FIS","https://darwinweb.africamuseum.be/object/feae031a-da11-4d89-bdae-27f8df32ec14",NA,"BE_RMCA_Vert.2018.008.P.0247","RMCA",NA,NA,NA,"Enteromius alberti (Poll, 1939)",NA,NA,NA,NA,NA,NA,NA,1,NA,"2784e794-f70f-4455-854d-110f8ab37d19","2406d0ea-4647-4181-903d-b523057b208c",NA,"https://ror.org/001805t51",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kayanja, offshore, lake Edward",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"feae031a-da11-4d89-bdae-27f8df32ec14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lake","Lake Edward",2219606178.99023,"Enteromius alberti"
"3349390953","Enteromius alberti (Poll, 1939)",-0.09,29.76,"cdc,gass84","d8cd16ba-bb74-4420-821e-083f2bac17c2","ada9d123-ddb4-467d-8891-806ea8d94230","17a83780-3060-4851-9d6f-029d5fcb81c9","fbca90e3-8aed-48b1-84e3-369afbd000ce","GB","EML","2025-03-08T12:04:01.127+00:00","2025-03-08T12:39:12.741+00:00",209,"PRESERVED_SPECIMEN","PRESENT",10758256,1,44,1153,7336,2363128,9326520,9326520,"Enteromius stigmatopygus (Boulenger, 1903)","Animalia","Chordata","Cypriniformes","Cyprinidae","Enteromius","Enteromius stigmatopygus","Enteromius","alberti","SPECIES","SYNONYM","NE",NA,NA,"AFRICA",NA,2018,1,20,"2018-01-20",20,20,NA,"2025-03-08T12:39:12.741+00:00","https://www.ebi.ac.uk/ena/browser/view/MT251133","http://creativecommons.org/licenses/by/4.0/legalcode",TRUE,"MT251133","none","none",FALSE,NA,NA,NA,"WGS84","UG","none","none","AFRICA","Uganda","EUROPE",NA,"MT251133",NA,NA,"3349390953",NA,NA,"MT251133","ASV:93de4e642d6e36bdf1d135731cbd0b11","RMCA 2018.008.P.0247 HP2599",NA,NA,NA,NA,"Enteromius alberti (Poll, 1939)",NA,NA,NA,NA,"Enteromius alberti voucher RMCA 2018.008.P.0247 HP2599 cytochrome c oxidase subunit I (COX1) gene, partial cds mitochondrial.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kayanja, ofshore, Lake Edward",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.ebi.ac.uk/ena/browser/view/Taxon:2721485",NA,NA,NA,"https://www.ebi.ac.uk/ena/browser/api/embl/MT251133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lake","Lake Edward",2219606178.99023,"Enteromius alberti"
"3818464019","Enteromius alberti (Poll, 1939)",-0.09,29.76,"cdc,gass84","d8cd16ba-bb74-4420-821e-083f2bac17c2","ada9d123-ddb4-467d-8891-806ea8d94230","17a83780-3060-4851-9d6f-029d5fcb81c9","fbca90e3-8aed-48b1-84e3-369afbd000ce","GB","EML","2025-03-08T12:04:01.127+00:00","2025-03-08T12:39:12.414+00:00",209,"PRESERVED_SPECIMEN","PRESENT",10758256,1,44,1153,7336,2363128,9326520,9326520,"Enteromius stigmatopygus (Boulenger, 1903)","Animalia","Chordata","Cypriniformes","Cyprinidae","Enteromius","Enteromius stigmatopygus","Enteromius","alberti","SPECIES","SYNONYM","NE",NA,NA,"AFRICA",NA,2018,1,20,"2018-01-20",20,20,NA,"2025-03-08T12:39:12.414+00:00","https://www.ebi.ac.uk/ena/browser/view/MT523359","http://creativecommons.org/licenses/by/4.0/legalcode",TRUE,"MT523359","none","none",FALSE,NA,NA,NA,"WGS84","UG","none","none","AFRICA","Uganda","EUROPE",NA,"MT523359",NA,NA,"3818464019",NA,NA,"MT523359","ASV:93de4e642d6e36bdf1d135731cbd0b11","RMCA:2018.008.P.0247 - DNA2599",NA,NA,NA,NA,"Enteromius alberti (Poll, 1939)",NA,NA,NA,NA,"Enteromius alberti voucher RMCA:2018.008.P.0247 - DNA2599 cytochrome c oxidase subunit I (COX1) gene, partial cds mitochondrial.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Kayanja, ofshore, Lake Edward",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"https://www.ebi.ac.uk/ena/browser/view/Taxon:2721485",NA,NA,NA,"https://www.ebi.ac.uk/ena/browser/api/embl/MT523359",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lake","Lake Edward",2219606178.99023,"Enteromius alberti"
"4454508468","Enteromius apleurogramma (Boulenger, 1911)",-2.2175,28.864444,"cdc,cdround,cudc,cuiv,gass84,osiic","9cfa6cb6-5833-44b2-97f1-18a3c12fed47","575c52b0-a742-11db-a6ff-b8a03c50a862","96dec937-f8d1-4d18-a8a1-1e9f4ca1aabd","575c52b0-a742-11db-a6ff-b8a03c50a862","BE","EML","2025-02-28T23:01:23.697+00:00","2025-02-28T23:02:22.644+00:00",71,"PRESERVED_SPECIMEN","PRESENT",9573924,1,44,1153,7336,2363128,9573924,9573924,"Enteromius apleurogramma (Boulenger, 1911)","Animalia","Chordata","Cypriniformes","Cyprinidae","Enteromius","Enteromius apleurogramma","Enteromius","apleurogramma","SPECIES","ACCEPTED","LC","2022-01-01T00:00:00",NA,"AFRICA",NA,2018,6,23,"2018-06-23",174,174,"2022-11-30T00:00:00.000+00:00","2025-02-28T23:02:22.644+00:00",NA,"http://creativecommons.org/licenses/by/4.0/legalcode",FALSE,"https://darwinweb.africamuseum.be/object/acb7fccb-a713-4950-8082-d520bac7f395","none","none",FALSE,NA,"Nabintu Noëla","Muzumani Risasi, D.","WGS84","CD","none","none","AFRICA","Congo, Democratic Republic of the","EUROPE",NA,"https://darwinweb.africamuseum.be/object/acb7fccb-a713-4950-8082-d520bac7f395",NA,NA,"4454508468",NA,"VER-FIS","https://darwinweb.africamuseum.be/object/acb7fccb-a713-4950-8082-d520bac7f395",NA,"BE_RMCA_Vert.2018.025.P.0001-0025","RMCA",NA,NA,NA,"Enteromius apleurogramma (Boulenger, 1911)",NA,NA,NA,NA,NA,NA,NA,25,NA,"2784e794-f70f-4455-854d-110f8ab37d19","2406d0ea-4647-4181-903d-b523057b208c",NA,"https://ror.org/001805t51",NA,NA,NA,NA,NA,NA,NA,NA,NA,"riv. Nkene, bassin lac Kivu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"acb7fccb-a713-4950-8082-d520bac7f395",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lake","Lake Kivu",2415288353.60194,"Enteromius apleurogramma"
