SpeciesName,Genus,Species,Longitude,Latitude,First,Second,Third,datasetKey,areas
S. crockeri,Scalesia,crockeri,,,Galapagos,Baltra,,,2.10E+07
S. affinis,Scalesia,affinis,,,Galapagos,Fernandina,,,6.42E+08
S. microcephala,Scalesia,microcephala,,,Galapagos,Fernandina,,,6.42E+08
S. villosa,Scalesia,villosa,,,Galapagos,Floreana,,,1.73E+08
S. affinis,Scalesia,affinis,,,Galapagos,Floreana,,,1.73E+08
S. pedunculata,Scalesia,pedunculata,,,Galapagos,Floreana,,,1.73E+08
S. affinis,Scalesia,affinis,,,Galapagos,Isabela,,,4.59E+09
S. cordata,Scalesia,cordata,,,Galapagos,Isabela,,,4.59E+09
S. microcephala,Scalesia,microcephala,,,Galapagos,Isabela,,,4.59E+09
S. baurii,Scalesia,baurii,,,Galapagos,Pinta,,,6.00E+07
S. baurii,Scalesia,baurii,,,Galapagos,Pinzon,,,1.80E+07
S. pedunculata,Scalesia,pedunculata,,,Galapagos,San Cristobal,,,5.57E+08
S. gordilloi,Scalesia,gordilloi,,,Galapagos,San Cristobal,,,5.57E+08
S. divisa,Scalesia,divisa,,,Galapagos,San Cristobal,,,5.57E+08
S. incisa,Scalesia,incisa,,,Galapagos,San Cristobal,,,5.57E+08
S. affinis,Scalesia,affinis,,,Galapagos,Santa Cruz,,,9.86E+08
S. crockeri,Scalesia,crockeri,,,Galapagos,Santa Cruz,,,9.86E+08
S. aspera,Scalesia,aspera,,,Galapagos,Santa Cruz,,,9.86E+08
S. retroflexa,Scalesia,retroflexa,,,Galapagos,Santa Cruz,,,9.86E+08
S. helleri,Scalesia,helleri,,,Galapagos,Santa Cruz,,,9.86E+08
S. pedunculata,Scalesia,pedunculata,,,Galapagos,Santa Cruz,,,9.86E+08
S. helleri,Scalesia,helleri,,,Galapagos,Santa Fe,,,2.40E+07
S. stewartii,Scalesia,stewartii,,,Galapagos,Santiago,,,5.72E+08
S. actractyloides,Scalesia,actractyloides,,,Galapagos,Santiago,,,5.72E+08
S. pedunculata,Scalesia,pedunculata,,,Galapagos,Santiago,,,5.72E+08
