"species","archipelago"
"Geospiza fortis","Galápagos"
"Geospiza fuliginosa","Galápagos"
"Geospiza scandens","Galápagos"
"Certhidea olivacea","Galápagos"
"Geospiza magnirostris","Galápagos"
"Geospiza difficilis","Galápagos"
"Camarhynchus psittacula","Galápagos"
"Camarhynchus parvulus","Galápagos"
"Platyspiza crassirostris","Galápagos"
"Cactospiza pallida","Galápagos"
"Cactospiza heliobates","Galápagos"
"Geospiza conirostris","Galápagos"
"Camarhynchus pauper","Galápagos"
"Scalesia crockeri","Galápagos"
"Scalesia affinis","Galápagos"
"Scalesia microcephala","Galápagos"
"Scalesia villosa","Galápagos"
"Scalesia pedunculata","Galápagos"
"Scalesia cordata","Galápagos"
"Scalesia baurii","Galápagos"
"Scalesia gordilloi","Galápagos"
"Scalesia divisa","Galápagos"
"Scalesia incisa","Galápagos"
"Scalesia aspera","Galápagos"
"Scalesia retroflexa","Galápagos"
"Scalesia helleri","Galápagos"
"Scalesia stewartii","Galápagos"
"Scalesia actractyloides","Galápagos"
