"island","mean","sd"
"Santa Fé",0.181641519069672,NA
"Cuatro Hermanos Sur",0.0981244891881943,NA
"Santiago",0.17526435189777,0.0131622760069182
"Rabida",0.125556798651814,0.018433580298458
"Santa Cruz",0.173693453694912,0.010444652700129
"Baltra",0.178413562476635,0.0126865701867036
"Darwin",NA,NA
"Gardner por Floreana",NA,NA
"Pinzón",0.129259988665581,NA
"Genovesa",0.147535771131516,0.0068042301346652
"Fernandina",0.148749768966809,0.0170014902457533
"Bartolome",NA,NA
"Seymour Norte",0.117863677442074,0.00583103756490644
"Pinta",0.232972001036008,0.00324483306469784
"San Cristobal",0.207429454351465,0.00561318657356931
"Wolf",0.177495554089546,0.00672334956815484
"Floreana",0.158659022301435,0.0100213211599392
"Marchena",0.224926486611366,0.00896450138898741
"Española",0.187373121579488,0.00103995865248377
"Isabela",0.157322469299242,0.0159232295553007
"Tortuga",0.10419824719429,0.0231991427069425
