"","island_name","dist_mainland_m"
"1","Norte de Wolf",1167618.9914482
"2","Santa Fé",1014912.17457763
"3","Cuatro Hermanos Sur",1097532.78488921
"4","Sin Nombre",1077419.46110851
"5","Punta Bowditch Norte",1070661.24933939
"6","Mao",1107349.40024341
"7","Santiago",1075612.07841017
"8","Dura",1063167.69487663
"9","Punta Mangle Sur",1167678.80927234
"10","Este",940695.435910053
"11","Las Bayas Pequeña",1059036.38801666
"12","La Fé",1057822.227057
"13","Dalrymple",970305.300900779
"14","Daphne Menor",1053184.98231229
"15","Marielas Norte",1134046.65754402
"16","Rabida",1091555.43127382
"17","Santa Cruz",1031804.23794915
"18","Rabida.1",1092742.67348788
"19","Logie",1079690.14023642
"20","Gordon Central",1029018.09893485
"21","La Torre",1155049.55651673
"22","Pináculo de Wolf",1168232.63979973
"23","Baltra",1041279.35788758
"24","La Loberí­a",1114380.67754161
"25","Ayora",1048364.7928256
"26","Darwin",1154246.85501242
"27","Daphne Major",1055140.38255505
"28","Plaza Norte",1030557.68542298
"29","Ballena",966213.032242685
"30","Leon Dormido",958434.367972201
"31","Punta Mangle Norte",1167668.85605359
"32","Blanca",1108493.02245719
"33","Oeste",971300.672158298
"34","Devine",1046386.02745626
"35","Cuatro Hermanos Oeste",1101642.61537921
"36","Tortuga Oeste",1109415.59606649
"37","Caleta Tiburón Sur",1066250.06071346
"38","Pitt (offshore)",928709.204708912
"39","Cuatro Hermanos Norte",1100252.56010464
"40","Este de Darwin - Norte",1141147.19273252
"41","Gardner",968820.80336433
"42","Sombrero Chino",1078981.52389825
"43","El Arco de Darwin",1154272.88986556
"44","Villamil Sureste",1117399.87298264
"45","Dumb",1088971.09714533
"46","Guy Fawkes Norte",1070780.40842434
"47","Gardner por Floreana",1040999.27007409
"48","Marielas Este",1133992.50227284
"49","El Trompo",968579.276015121
"50","Muelle",1117820.7825841
"51","Cousins",1079362.4745501
"52","Punta Bowditch Sur",1070632.54906257
"53","Bainbridge #3",1077227.22316019
"54","Caldwell",1046162.98048882
"55","Bainbridge #5",1077348.24332534
"56","Guy Fawkes Oeste",1071908.65172958
"57","Plaza Sur",1030632.48341305
"58","Beagle Sur",1083688.44410806
"59","Punta Bowditch Este",1070511.67849743
"60","Pinzón",1084168.29639515
"61","Beagle Norte",1083781.810549
"62","Osborn",969634.612904248
"63","Leon Dormido Pequeña",958479.840973945
"64","Caleta del Bucanero",1108087.17698384
"65","Beagle Oeste",1084156.55643785
"66","Gordon Este",1028808.06987564
"67","Bainbridge #2",1076599.16055568
"68","La Ventana",1170221.92262952
"69","Caamaño",1042882.47689711
"70","Fondiadero",1118476.2319307
"71","Bainbridge #6",1077718.91525456
"72","Genovesa",1016452.54563887
"73","Tintorera (Villamil)",1118074.51067039
"74","Xarifa",969207.280749033
"75","Las Bayas Grande",1058978.57061779
"76","Fernandina",1167087.93497844
"77","Fernandina.1",1186365.26682298
"78","Gordon Oeste",1028970.22490853
"79","Marielas Sur",1133931.60911104
"80","Lobos",963059.569639304
"81","Faro",1118714.72049788
"82","Bainbridge #1",1076600.26497432
"83","Redonda",1201644.46295686
"84","Onan",1085461.00350883
"85","Cowley",1120803.86752181
"86","Guy Fawkes Sur",1071545.85572875
"87","Albany",1109834.62595208
"88","Cuatro Hermanos Este",1094868.38261772
"89","Bartolome",1075266.47154139
"90","Seymour Norte",1044986.17662436
"91","Pinta",1106460.62278487
"92","Mosquera",1044960.64393324
"93","Dumb.1",1088958.82688748
"94","San Cristobal",927967.509550613
"95","Viuda",1108385.67293615
"96","Bainbridge #4",1077151.79830761
"97","Watson",1042787.24348957
"98","Caleta Tiburón Norte",1066248.88848921
"99","Corona del Diablo Central",1056921.01779644
"100","Wolf",1167770.73265341
"101","Union",1132899.31098933
"102","Eden",1072442.27659621
"103","Santa Fe",1015960.55764082
"104","Canal Sur",1046145.89512707
"105","Venecia",1065911.69873021
"106","Gran Felipe",1076706.14939958
"107","Floreana",1048490.02737977
"108","Bainbridge #7",1078000.87943894
"109","Noroeste de Santa Fé",1021577.75018156
"110","Rata",1067297.71743442
"111","Campeon",1052453.00088991
"112","Marchena",1067581.01105985
"113","Bainbridge #8",1078564.10408586
"114","Española",965990.362620916
"115","Guy Fawkes Este",1070513.90052862
"116","Isabela",1098875.19965313
"117","Isabela.1",1153991.50292101
"118","Isabela.2",1136684.87808264
"119","Pitt (nearshore)",929200.971409843
"120","Espejo",1067649.05845902
"121","Tortuga",1107272.29682787
"122","Enderby",1049791.46375112
