"name","area"
"Norte de Wolf",62363.6932862886
"Santa Fé",24559640.4149498
"Cuatro Hermanos Sur",686204.075319208
"Sin Nombre",44922.3040460107
"Punta Bowditch Norte",34173.6145497646
"Mao",5149.61117220474
"Santiago",577341229.913054
"Dura",147.025355942409
"Punta Mangle Sur",5878.6127369191
"Este",7389.28770475756
"Las Bayas Pequeña",1259.75357151281
"La Fé",12908.8851648712
"Dalrymple",72.5001825777132
"Daphne Menor",58594.4701682646
"Marielas Norte",3708.63805632964
"Rabida",4968698.37938043
"Santa Cruz",987013955.129976
"Rabida.1",6721.96610670017
"Logie",2677.46240656226
"Gordon Central",1979.45202965916
"La Torre",1092.08429616885
"Pináculo de Wolf",347.685439955812
"Baltra",25371916.9735728
"La Loberí­a",40171.9435795732
"Ayora",6360.15202849239
"Darwin",664341.175248065
"Daphne Major",331901.99383193
"Plaza Norte",70927.0430263149
"Ballena",294.061651643745
"Leon Dormido",51881.0438047178
"Punta Mangle Norte",2139.33944387457
"Blanca",904.75077478486
"Oeste",3942.6926370743
"Devine",5052.98954948318
"Cuatro Hermanos Oeste",180337.830519423
"Tortuga Oeste",22835.3291693417
"Caleta Tiburón Sur",595.524989749346
"Pitt (offshore)",6407.88143104215
"Cuatro Hermanos Norte",319491.354247481
"Este de Darwin - Norte",619.179430085964
"Gardner",614509.193746812
"Sombrero Chino",199987.015480787
"El Arco de Darwin",15285.301775414
"Villamil Sureste",172009.423227078
"Dumb",895.735631760872
"Guy Fawkes Norte",2105.58814902057
"Gardner por Floreana",791816.456918834
"Marielas Este",1196.80402776897
"El Trompo",2150.11334086705
"Muelle",61792.7805470891
"Cousins",11342.6338594886
"Punta Bowditch Sur",14910.6583809301
"Bainbridge #3",187978.055199137
"Caldwell",211906.423544236
"Bainbridge #5",33722.5657739106
"Guy Fawkes Oeste",23276.2863237408
"Plaza Sur",117837.466294707
"Beagle Sur",74990.3513210071
"Punta Bowditch Este",4605.66992507164
"Pinzón",18035543.7484567
"Beagle Norte",5836.40731859318
"Osborn",20007.6514528227
"Leon Dormido Pequeña",9348.36875883209
"Caleta del Bucanero",417.468432923582
"Beagle Oeste",31988.5987427362
"Gordon Este",11484.6294744266
"Bainbridge #2",23132.9396309606
"La Ventana",11045.9925375517
"Caamaño",78056.6949628158
"Fondiadero",26900.3931640457
"Bainbridge #6",41256.7905256338
"Genovesa",13832951.7698714
"Tintorera (Villamil)",227681.01960105
"Xarifa",11083.5901790211
"Las Bayas Grande",40003.7535868352
"Fernandina",647785026.130006
"Fernandina.1",431.173678429388
"Gordon Oeste",2769.23680444939
"Marielas Sur",11611.9021822661
"Lobos",90847.7088906876
"Faro",6596.46951241664
"Bainbridge #1",79236.2747071565
"Redonda",9731.89470451935
"Onan",4101.1697265027
"Cowley",110131.426199364
"Guy Fawkes Sur",29551.1952476002
"Albany",93573.5517837225
"Cuatro Hermanos Este",55438.0531163597
"Bartolome",1265897.37030776
"Seymour Norte",1913015.61531235
"Pinta",59696119.5220169
"Mosquera",78327.8135638929
"Dumb.1",5607.17222548153
"San Cristobal",560242636.357663
"Viuda",3558.3882979565
"Bainbridge #4",33229.640409227
"Watson",18529.3966262178
"Caleta Tiburón Norte",682.00060398949
"Corona del Diablo Central",22443.1825249435
"Wolf",1238815.61992186
"Union",34691.1649357911
"Eden",218928.061145492
"Santa Fe",14414.5522369089
"Canal Sur",4298.1074784121
"Venecia",155081.132602801
"Gran Felipe",965.032987719048
"Floreana",173255834.17275
"Bainbridge #7",8137.21718125544
"Noroeste de Santa Fé",860.850454930949
"Rata",497.888647096471
"Campeon",97510.0486472652
"Marchena",131794446.675699
"Bainbridge #8",4816.56030955837
"Española",61054846.7224375
"Guy Fawkes Este",9880.59990301946
"Isabela",4728218060.50707
"Isabela.1",2039.45376612314
"Isabela.2",2463.12515701656
"Pitt (nearshore)",7623.93665296423
"Espejo",3651.84641465095
"Tortuga",1238707.2162256
"Enderby",127038.95783894
