"SpeciesName","Genus","Species","Longitude","Latitude","First","Second","Third","datasetKey","areas"
"Microlophus albemarlensis (Baur, 1890)","Microlophus","Microlophus_albemarlensis",-90.986996,-0.957926,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",4.59e+09
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.313458,-0.741828,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.318978,-0.741073,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.317397,-0.738492,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.317315,-0.737835,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.318212,-0.736995,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.319508,-0.741331,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.319557,-0.741623,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.309314,-0.735404,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.312752,-0.735577,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.309365,-0.742208,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.309404,-0.741978,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.309571,-0.74208,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.313381,-0.747889,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.317213,-0.745818,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.318324,-0.745534,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.319492,-0.74611,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.319427,-0.746302,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.320272,-0.747135,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.325362,-0.752893,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.328952,-0.756747,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.329448,-0.757319,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.330793,-0.758804,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.331259,-0.759294,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.330078,-0.761436,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.331458,-0.75954,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.331287,-0.759361,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.326991,-0.75463,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.324886,-0.752272,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.324157,-0.751492,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.323424,-0.750863,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus indefatigabilis (Baur, 1890)","Microlophus","Microlophus_indefatigabilis",-90.314488,-0.740147,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",9.86e+08
"Microlophus delanonis (Baur, 1890)","Microlophus","Microlophus_delanonis",-89.675046,-1.378785,"Ecuador","Isla Espanola",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",6e+07
