"Name","n_habitat"
"Floreana","10"
"Lobos","2"
"Santa Cruz","17"
"Eden","3"
"Punta Bowditch Sur","1"
"Punta Bowditch Norte","1"
"Caleta Tiburón Sur","1"
"San Cristobal","16"
"Plaza Sur","1"
"Baltra","4"
"Caleta Tiburón Norte","2"
"Venecia","4"
"Bartolome","6"
"Villamil Sureste","1"
"Tintorera (Villamil)","4"
"Fondiadero","2"
"Muelle","1"
"Faro","1"
"Isabela.1","3"
"Isabela.2","1"
"Fernandina.1","1"
"Isabela","29"
"Sombrero Chino","3"
"Bainbridge #3","4"
"Bainbridge #2","2"
"Bainbridge #1","1"
"Santiago","15"
"Caleta del Bucanero","1"
"Fernandina","19"
"Santa Fé","4"
"Santa Fe","1"
"Pinzón","6"
"Dura","1"
"Las Bayas Pequeña","1"
"Las Bayas Grande","1"
"La Fé","2"
"Marchena","8"
"La Loberí­a","2"
"Rabida","2"
"Gran Felipe","1"
"Pinta","7"
"Pitt (offshore)","1"
"Pitt (nearshore)","1"
"Onan","1"
"Wolf","1"
"Genovesa","5"
"El Trompo","1"
"Española","6"
