"Name","n_habitat"
"Norte de Wolf","1"
"Santa Fé","5"
"Cuatro Hermanos Sur","4"
"Sin Nombre","1"
"Punta Bowditch Norte","1"
"Mao","1"
"Santiago","15"
"Dura","1"
"Punta Mangle Sur","1"
"Este","1"
"Las Bayas Pequeña","1"
"La Fé","2"
"Dalrymple","1"
"Daphne Menor","1"
"Marielas Norte","1"
"Rabida","4"
"Santa Cruz","17"
"Rabida.1","1"
"Logie","2"
"Gordon Central","1"
"La Torre","1"
"Pináculo de Wolf","1"
"Baltra","7"
"La Loberí­a","2"
"Ayora","1"
"Darwin","2"
"Daphne Major","5"
"Plaza Norte","3"
"Ballena","1"
"Leon Dormido","1"
"Punta Mangle Norte","1"
"Blanca","1"
"Oeste","1"
"Devine","1"
"Cuatro Hermanos Oeste","1"
"Tortuga Oeste","1"
"Caleta Tiburón Sur","1"
"Pitt (offshore)","1"
"Cuatro Hermanos Norte","3"
"Este de Darwin - Norte","1"
"Gardner","3"
"Sombrero Chino","3"
"El Arco de Darwin","1"
"Villamil Sureste","1"
"Dumb","1"
"Guy Fawkes Norte","1"
"Gardner por Floreana","3"
"Marielas Este","1"
"El Trompo","1"
"Muelle","1"
"Cousins","1"
"Punta Bowditch Sur","1"
"Bainbridge #3","4"
"Caldwell","2"
"Bainbridge #5","1"
"Guy Fawkes Oeste","1"
"Plaza Sur","3"
"Beagle Sur","1"
"Punta Bowditch Este","2"
"Pinzón","6"
"Beagle Norte","1"
"Osborn","2"
"Leon Dormido Pequeña","1"
"Caleta del Bucanero","1"
"Beagle Oeste","2"
"Gordon Este","1"
"Bainbridge #2","2"
"La Ventana","1"
"Caamaño","2"
"Fondiadero","2"
"Bainbridge #6","1"
"Genovesa","5"
"Tintorera (Villamil)","4"
"Xarifa","1"
"Las Bayas Grande","1"
"Fernandina","19"
"Fernandina.1","1"
"Gordon Oeste","1"
"Marielas Sur","1"
"Lobos","3"
"Faro","1"
"Bainbridge #1","1"
"Redonda","1"
"Onan","1"
"Cowley","1"
"Guy Fawkes Sur","2"
"Albany","1"
"Cuatro Hermanos Este","1"
"Bartolome","6"
"Seymour Norte","5"
"Pinta","7"
"Mosquera","2"
"Dumb.1","1"
"San Cristobal","16"
"Viuda","1"
"Bainbridge #4","1"
"Watson","1"
"Caleta Tiburón Norte","2"
"Corona del Diablo Central","1"
"Wolf","1"
"Union","1"
"Eden","3"
"Santa Fe","1"
"Canal Sur","1"
"Venecia","4"
"Gran Felipe","1"
"Floreana","11"
"Bainbridge #7","1"
"Noroeste de Santa Fé","1"
"Rata","1"
"Campeon","1"
"Marchena","9"
"Bainbridge #8","1"
"Española","7"
"Guy Fawkes Este","1"
"Isabela","29"
"Isabela.1","3"
"Isabela.2","1"
"Pitt (nearshore)","1"
"Espejo","1"
"Tortuga","4"
"Enderby","1"
