"acceptedScientificName","genericName","specificEpithet","decimalLongitude","decimalLatitude","first","second","third","datasetKey"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.431389,-1.296667,"Ecuador","Isla Santa Maria",NA,"aab0cf80-0c64-11dd-84d1-b8a03c50a862"
"Scalesia aspera Andersson","Scalesia","aspera",-90.366667,-0.633333,"Ecuador","Isla Santa Cruz",NA,"aab0cf80-0c64-11dd-84d1-b8a03c50a862"
"Scalesia divisa Andersson","Scalesia","divisa",-89.431944,-0.829167,"Ecuador","Isla San Cristobal",NA,"aab0cf80-0c64-11dd-84d1-b8a03c50a862"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.278696,-0.662285,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia gordilloi O.J.Hamann & Wium-And.","Scalesia","gordilloi",-89.563646,-0.856834,"Ecuador","Isla San Cristobal",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.360041,-0.607995,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.420089,-0.641859,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.239489,-0.626457,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.303597,-0.74242,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.406509,-0.679861,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.276898,-0.694801,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.958337,-0.956833,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.23013,-0.661767,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-91.082132,-0.788972,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.372559,-0.747503,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.298146,-0.609284,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.303825,-0.742197,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-91.009483,-0.965097,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.422958,-0.735333,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.304078,-0.742062,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.314302,-0.739602,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.289319,-0.734244,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.256975,-0.748902,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.385724,-0.745789,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia villosa A.Stewart","Scalesia","villosa",-90.504215,-1.31188,"Ecuador","Isla Santa Maria",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.303825,-0.742197,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.232989,-0.702279,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.236864,-0.631722,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.340854,-0.647291,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-91.099997,-0.782645,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.245811,-0.637182,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.264025,-0.748185,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.290028,-0.716479,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia retroflexa Hemsl.","Scalesia","retroflexa",-90.351329,-0.637671,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.303933,-0.742142,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-91.007483,-0.963203,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.364448,-0.631201,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-91.007614,-0.963072,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia helleri B.L.Rob.","Scalesia","helleri",-90.275208,-0.708032,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia affinis Hook.fil.","Scalesia","affinis",-90.960128,-0.958853,"Ecuador","Isla Isabela",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Scalesia pedunculata Hook.fil.","Scalesia","pedunculata",-90.362144,-0.625146,"Ecuador","Isla Santa Cruz",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
