"name","mean_elev","median_elev","min_elev","max_elev"
"Norte de Wolf",12.9230769230769,13,3,20
"Santa Fé",107.984104389087,112,-28,254
"Cuatro Hermanos Sur",79.1416666666667,77,-1,167
"Sin Nombre",26.5555555555556,29,12,40
"Punta Bowditch Norte",9.71428571428571,10,8,12
"Mao",21.5,21.5,17,26
"Santiago",182.969541866053,111,-1493,905
"Dura",1.5,1.5,1,2
"Punta Mangle Sur",14.75,15,12,17
"Este",-125.5,-125.5,-128,-123
"Las Bayas Pequeña",3,3,3,3
"La Fé",-1.33333333333333,-1,-2,-1
"Dalrymple",-58,-58,-58,-58
"Daphne Menor",34.1111111111111,41,15,49
"Marielas Norte",-8,-8,-8,-8
"Rabida",141.662777129522,130,5,343
"Santa Cruz",173.66220676543,121,-579,1564
"Rabida.1",14,14,14,14
"Logie",6.25,5,4,11
"Gordon Central",-19,-19,-20,-18
"La Torre",-96,-91,-108,-89
"Pináculo de Wolf",-41,-41,-43,-39
"Baltra",30.9731158088235,29,1,78
"La Loberí­a",-1.2,-1,-2,-1
"Ayora",-12,-12,-12,-12
"Darwin",-101.660714285714,-121.5,-161,0
"Daphne Major",42.9285714285714,43,6,91
"Plaza Norte",3.84615384615385,4,0,10
"Ballena",-65,-65,-65,-65
"Leon Dormido",1.25,3,-8,9
"Punta Mangle Norte",0.5,0.5,-1,2
"Blanca",-31,-31,-33,-29
"Oeste",3,3,3,3
"Devine",-1,-1,-1,-1
"Cuatro Hermanos Oeste",61.4666666666667,52.5,11,125
"Tortuga Oeste",7,6,4,11
"Caleta Tiburón Sur",4,4,4,4
"Pitt (offshore)",11,11,11,11
"Cuatro Hermanos Norte",65.1090909090909,63,-13,136
"Este de Darwin - Norte",5,5,4,6
"Gardner",15.552380952381,14,-14,44
"Sombrero Chino",16.1818181818182,14,3,35
"El Arco de Darwin",0.5,0.5,0,1
"Villamil Sureste",-7.21875,-2,-23,3
"Dumb",34.5,34.5,28,41
"Guy Fawkes Norte",-4,-4,-4,-4
"Gardner por Floreana",89.609022556391,82,-1,195
"Marielas Este",-7.75,-8,-8,-7
"El Trompo",4,4,4,4
"Muelle",3.41666666666667,3,-5,10
"Cousins",-34,-34,-35,-33
"Punta Bowditch Sur",5.5,5.5,5,6
"Bainbridge #3",20,18,5,43
"Caldwell",-26.8378378378378,6,-129,51
"Bainbridge #5",20.2,22,15,26
"Guy Fawkes Oeste",9.5,9.5,9,10
"Plaza Sur",4.42857142857143,5,-2,12
"Beagle Sur",13.6875,11.5,2,25
"Punta Bowditch Este",1.5,1.5,1,2
"Pinzón",190.000969932105,181,-10,451
"Beagle Norte",16,16,16,16
"Osborn",3,2,0,7
"Leon Dormido Pequeña",0,0,-7,7
"Caleta del Bucanero",7,7,7,7
"Beagle Oeste",11,10,6,15
"Gordon Este",-24,-24,-24,-24
"Bainbridge #2",15.2,15,7,22
"La Ventana",8.5,8.5,5,12
"Caamaño",7.64285714285714,0,-9,61
"Fondiadero",2.5,3,1,3
"Bainbridge #6",25.3333333333333,26.5,19,31
"Genovesa",42.0122156697557,45,5,75
"Tintorera (Villamil)",2.57894736842105,2.5,-8,5
"Xarifa",4.5,4.5,4,5
"Las Bayas Grande",2.57142857142857,3,1,4
"Fernandina",311.343109032026,161,-10,1477
"Fernandina.1",12.5,12.5,11,14
"Gordon Oeste",-20,-20,-20,-20
"Marielas Sur",-10.6666666666667,-11,-11,-10
"Lobos",5.5,4,1,15
"Faro",2,2,2,2
"Bainbridge #1",30.5714285714286,27,15,55
"Redonda",18,18,17,19
"Onan",7,5,-2,19
"Cowley",30.8888888888889,29.5,1,54
"Guy Fawkes Sur",9,6,5,17
"Albany",2.25,3,-13,15
"Cuatro Hermanos Este",16.1111111111111,19,-12,46
"Bartolome",31.5420560747664,27,-8,91
"Seymour Norte",18.2378048780488,17,3,37
"Pinta",172.740484091353,128,-97,630
"Mosquera",3.38461538461538,2,1,7
"Dumb.1",39,39,39,39
"San Cristobal",142.090404061421,92,-115,713
"Viuda",-38,-38,-38,-38
"Bainbridge #4",14.4,16,6,23
"Watson",-123.5,-123.5,-127,-120
"Caleta Tiburón Norte",3,3,3,3
"Corona del Diablo Central",-6,-6,-7,-5
"Wolf",85.1220657276995,86,-381,242
"Union",-80.375,-81,-90,-73
"Eden",35.5641025641026,35,4,81
"Santa Fe",4,4,2,6
"Canal Sur",0.25,0,0,1
"Venecia",6.36,6,3,9
"Gran Felipe",14.5,14.5,14,15
"Floreana",164.818105390591,145,-20,560
"Bainbridge #7",5.5,5.5,5,6
"Noroeste de Santa Fé",3,3,3,3
"Rata",0,0,0,0
"Campeon",20.5882352941176,19,8,36
"Marchena",96.3619843480568,73,-91,331
"Bainbridge #8",-11,-11,-11,-11
"Española",71.9486101824434,75,-3,207
"Guy Fawkes Este",-4,-4,-4,-4
"Isabela",306.680538092491,172,-1057,1702
"Isabela.1",7,7,7,7
"Isabela.2",8,8,8,8
"Pitt (nearshore)",-2,-2,-2,-2
"Espejo",-20,-20,-20,-20
"Tortuga",55.6153846153846,57.5,-1,101
"Enderby",37.3,32,11,73
