"name","TRI","mean_elev","median_elev","min_elev","max_elev","Nearest_Dist","nearest_occ","richness","area","mean_csi","sd_csi"
"Baltra",7.9364319412476,30.9731158088235,29,1,78,6706.85018308383,0,4,25371916.9735728,0.178413562476635,0.0126865701867036
"Bartolome",27.5241899802306,31.5420560747664,27,-8,91,18271.6811700482,18271.6811700482,0,1265897.37030776,0,0
"Cuatro Hermanos Sur",87.9959893623988,79.1416666666667,77,-1,167,19722.2019446622,30753.6250384489,0,686204.075319208,0.0981244891881943,0
"Darwin",59.7532615906426,-101.660714285714,-121.5,-161,0,38847.8313709693,0,3,664341.175248065,0,0
"Española",12.1802305670224,71.9486101824434,75,-3,207,67145.6872281087,0,3,61054846.7224375,0.187373121579488,0.00103995865248377
"Fernandina",21.6455689442183,311.343109032026,161,-10,1477,41426.1822800391,0,10,647785026.130006,0.148749768966809,0.0170014902457533
"Floreana",19.1183381800726,164.818105390591,145,-20,560,16169.1280439236,0,10,173255834.17275,0.158659022301435,0.0100213211599392
"Gardner por Floreana",78.3179133422393,89.609022556391,82,-1,195,16169.1280439236,16169.1280439236,0,791816.456918834,0,0
"Genovesa",10.9229061619113,42.0122156697557,45,5,75,57757.6023321249,0,4,13832951.7698714,0.147535771131516,0.0068042301346652
"Isabela",16.1062449122166,306.680538092491,172,-1057,1702,41426.1822800391,0,11,4728218060.50707,0.157322469299242,0.0159232295553007
"Marchena",13.7368329750183,96.3619843480568,73,-91,331,42254.124456641,0,7,131794446.675699,0.224926486611366,0.00896450138898741
"Pinta",28.6455041341034,172.740484091353,128,-97,630,42254.124456641,0,9,59696119.5220169,0.232972001036008,0.00324483306469784
"Pinzón",46.8215036626545,190.000969932105,181,-10,451,22390.8324082449,0,9,18035543.7484567,0.129259988665581,0
"Rabida",62.3975959953655,141.662777129522,130,5,343,16421.9381274846,0,8,4968698.37938043,0.125556798651814,0.018433580298458
"San Cristobal",13.403348235494,142.090404061421,92,-115,713,67145.6872281087,0,9,560242636.357663,0.207429454351465,0.00561318657356931
"Santa Cruz",10.0243467000637,173.66220676543,121,-579,1564,21385.2598292252,0,10,987013955.129976,0.173693453694912,0.010444652700129
"Santa Fé",28.1133134403546,107.984104389087,112,-28,254,39583.4565866287,0,8,24559640.4149498,0.181641519069672,0
"Santiago",15.2100589083141,182.969541866053,111,-1493,905,16421.9381274846,0,10,577341229.913054,0.17526435189777,0.0131622760069182
"Seymour Norte",10.271194106195,18.2378048780488,17,3,37,6706.85018308383,0,4,1913015.61531235,0.117863677442074,0.00583103756490644
"Tortuga",76.6083738161967,55.6153846153846,57.5,-1,101,19722.2019446622,50334.5836150392,0,1238707.2162256,0.10419824719429,0.0231991427069425
"Wolf",97.5292539820425,85.1220657276995,86,-381,242,38847.8313709693,0,3,1238815.61992186,0.177495554089546,0.00672334956815484
