"name","TRI","mean_elev","median_elev","min_elev","max_elev","Nearest_Dist","nearest_occ","richness","area","mean_csi","sd_csi","bp"
"Baltra",7.9364319412476,30.9731158088235,29,1,78,21385.2598292252,0,1,25371916.9735728,0.178413562476635,0.0126865701867036,0
"Española",12.1802305670224,71.9486101824434,75,-3,207,67145.6872281087,67145.6872281087,0,61054846.7224375,0.187373121579488,0.00103995865248377,0
"Fernandina",21.6455689442183,311.343109032026,161,-10,1477,41426.1822800391,0,2,647785026.130006,0.148749768966809,0.0170014902457533,0
"Floreana",19.1183381800726,164.818105390591,145,-20,560,67395.5888724446,0,3,173255834.17275,0.158659022301435,0.0100213211599392,0
"Isabela",16.1062449122166,306.680538092491,172,-1057,1702,41426.1822800391,0,3,4728218060.50707,0.157322469299242,0.0159232295553007,1
"Marchena",13.7368329750183,96.3619843480568,73,-91,331,42254.124456641,42254.124456641,0,131794446.675699,0.224926486611366,0.00896450138898741,0
"Pinta",28.6455041341034,172.740484091353,128,-97,630,42254.124456641,0,1,59696119.5220169,0.232972001036008,0.00324483306469784,0
"Pinzón",46.8215036626545,190.000969932105,181,-10,451,34338.1377946696,0,1,18035543.7484567,0.129259988665581,0,0
"San Cristobal",13.403348235494,142.090404061421,92,-115,713,67145.6872281087,0,4,560242636.357663,0.207429454351465,0.00561318657356931,0
"Santa Cruz",10.0243467000637,173.66220676543,121,-579,1564,21385.2598292252,0,6,987013955.129976,0.173693453694912,0.010444652700129,1
"Santa Fé",28.1133134403546,107.984104389087,112,-28,254,39583.4565866287,0,1,24559640.4149498,0.181641519069672,0,0
"Santiago",15.2100589083141,182.969541866053,111,-1493,905,38649.0087839885,0,3,577341229.913054,0.17526435189777,0.0131622760069182,0
