"Island","Nearest_Dist"
"Cuatro Hermanos Sur",19722.2019446622
"Santiago",16421.9381274846
"Rabida",16421.9381274846
"Santa Cruz",21385.2598292252
"Baltra",6706.85018308383
"Darwin",38847.8313709693
"Gardner por Floreana",16169.1280439236
"Pinzón",22390.8324082449
"Genovesa",57757.6023321249
"Fernandina",41426.1822800391
"Bartolome",18271.6811700482
"Seymour Norte",6706.85018308383
"Pinta",42254.124456641
"San Cristobal",67145.6872281087
"Wolf",38847.8313709693
"Floreana",16169.1280439236
"Marchena",42254.124456641
"Española",67145.6872281087
"Isabela",41426.1822800391
"Tortuga",19722.2019446622
"Santa Fé",39583.4565866287
