SpeciesName,Genus,Species,Longitude,Latitude,First,Second,Third,datasetKey,areas
P. beccariana,Pritchardia,beccariana,,,Hawaii,,,1,1.04E+10
P. gordonii,Pritchardia,gordonii,,,Hawaii,,,1,1.04E+10
P. ianigera,Pritchardia,ianigera,,,Hawaii,,,1,1.04E+10
P. maideniana,Pritchardia,maideniana,,,Hawaii,,,1,1.04E+10
P. schattaueri,Pritchardia,schattaueri,,,Hawaii,,,1,1.04E+10
P. giabrata,Pritchardia,giabrata,,,Hawaii,Lanai,,1,3.64E+08
P. flynnii,Pritchardia,flynnii,,,Hawaii,Kauai,,1,1.43E+09
P. hardyi,Pritchardia,hardyi,,,Hawaii,Kauai,,1,1.43E+09
P. minor,Pritchardia,minor,,,Hawaii,Kauai,,1,1.43E+09
P. napaliensis,Pritchardia,napaliensis,,,Hawaii,Kauai,,1,1.43E+09
P. perlmanii,Pritchardia,perlmanii,,,Hawaii,Kauai,,1,1.43E+09
P. viscosa,Pritchardia,viscosa,,,Hawaii,Kauai,,1,1.43E+09
P. waialealeana,Pritchardia,waialealeana,,,Hawaii,Kauai,,1,1.43E+09
P. remota,Pritchardia,remota,,,Hawaii,Nihoa,,1,690000
P. remota,Pritchardia,remota,,,Hawaii,Niihau,,1,1.80E+08
P. arecina,Pritchardia,arecina,,,Hawaii,Maui,,1,1.88E+09
P. forbesiana,Pritchardia,forbesiana,,,Hawaii,Maui,,1,1.88E+09
P. glabrata,Pritchardia,glabrata,,,Hawaii,Maui,,1,1.88E+09
P. munroi,Pritchardia,munroi,,,Hawaii,Maui,,1,1.88E+09
P. woodii,Pritchardia,woodii,,,Hawaii,Maui,,1,1.88E+09
P. forbesiana,Pritchardia,forbesiana,,,Hawaii,Molokai,,1,6.73E+08
P. hitlebrandii,Pritchardia,hitlebrandii,,,Hawaii,Molokai,,1,6.73E+08
P. lowreyana,Pritchardia,lowreyana,,,Hawaii,Molokai,,1,6.73E+08
P. munroi,Pritchardia,munroi,,,Hawaii,Molokai,,1,6.73E+08
P. kaalae,Pritchardia,kaalae,,,Hawaii,Oahu,,1,1.55E+09
P. kahukuensis,Pritchardia,kahukuensis,,,Hawaii,Oahu,,1,1.55E+09
P. martii,Pritchardia,martii,,,Hawaii,Oahu,,1,1.55E+09
