Genus,Species,Third,areas
Argyroxiphium,kauense,Hawaii,1.04E+10
Argyroxiphium,sandwicense,Hawaii,1.04E+10
Argyroxiphium,sandwicense_sandwicense,Hawaii,1.04E+10
Dubautia,arborea,Hawaii,1.04E+10
Dubautia,ciliolata,Hawaii,1.04E+10
Railliardia,ciliolata,Hawaii,1.04E+10
Dubautia,ciliolata_glutinosa,Hawaii,1.04E+10
Dubautia,latifolia,Hawaii,1.04E+10
Dubautia,laxa_laxa,Hawaii,1.04E+10
Dubautia,linearis,Hawaii,1.04E+10
Dubautia,linearis_hillebrandii,Hawaii,1.04E+10
Dubautia,linearis_linearis,Hawaii,1.04E+10
Dubautia,plantaginea,Hawaii,1.04E+10
Dubautia,plantaginea_humilis,Hawaii,1.04E+10
Dubautia,plantaginea_plantaginea,Hawaii,1.04E+10
Dubautia,reticulata,Hawaii,1.04E+10
Dubautia,scabra,Hawaii,1.04E+10
Dubautia,scabra_leiophylla,Hawaii,1.04E+10
Dubautia,scabra_scabra,Hawaii,1.04E+10
Railliardia,scabra_scabra,Hawaii,1.04E+10
Dubautia,sherffiana,Hawaii,1.04E+10
Wilkesia,gymnoxiphium,Hawaii,1.04E+10
Dubautia,mendax,Kauai,1.43E+09
Railliardia,ciliolata,Kauai,1.43E+09
Dubautia,imbricata,Kauai,1.43E+09
Dubautia,imbricata_acronaea,Kauai,1.43E+09
Dubautia,imbricata_imbricata,Kauai,1.43E+09
Dubautia,kalalauensis,Kauai,1.43E+09
Dubautia,knudsenii,Kauai,1.43E+09
Dubautia,knudsenii_filiformis,Kauai,1.43E+09
Dubautia,knudsenii_knudsenii,Kauai,1.43E+09
Dubautia,knudsenii_nagatae,Kauai,1.43E+09
Dubautia,laevigata,Kauai,1.43E+09
Dubautia,mendacoides,Kauai,1.43E+09
Dubautia,latifolia,Kauai,1.43E+09
Dubautia,laxa,Kauai,1.43E+09
Dubautia,laxa_hirsuta,Kauai,1.43E+09
Dubautia,microcephala,Kauai,1.43E+09
Dubautia,paleata,Kauai,1.43E+09
Dubautia,pauciflorula,Kauai,1.43E+09
Dubautia,plantaginea,Kauai,1.43E+09
Dubautia,plantaginea_magnifolia,Kauai,1.43E+09
Dubautia,raillardioides,Kauai,1.43E+09
Dubautia,syndetica,Kauai,1.43E+09
Dubautia,waialealae,Kauai,1.43E+09
Wilkesia,gymnoxiphium,Kauai,1.43E+09
Wilkesia,hobdyi,Kauai,1.43E+09
Railliardia,linearis,Lanai,3.64E+08
Dubautia,laxa_hirsuta,Lanai,3.64E+08
Dubautia,scabra,Lanai,3.64E+08
Argyroxiphium,kai,Maui,1.88E+09
Argyroxiphium,caligini,Maui,1.88E+09
Argyroxiphium,caliginis,Maui,1.88E+09
Argyroxiphium,grayanum,Maui,1.88E+09
Argyroxiphium,sandwicense,Maui,1.88E+09
Argyroxiphium,sandwicense_macrocephalum,Maui,1.88E+09
Argyroxiphium,sandwicense_sandwicense,Maui,1.88E+09
Argyroxiphium,forbesii,Maui,1.88E+09
Dubautia,carrii,Maui,1.88E+09
Dubautia,linearis,Maui,1.88E+09
Dubautia,hanaulaensis,Maui,1.88E+09
Dubautia,laxa,Maui,1.88E+09
Dubautia,laxa_laxa,Maui,1.88E+09
Dubautia,menziesii,Maui,1.88E+09
Railliardia,menziesii,Maui,1.88E+09
Dubautia,plantaginea,Maui,1.88E+09
Dubautia,plantaginea_plantaginea,Maui,1.88E+09
Dubautia,platyphylla,Maui,1.88E+09
Railliardia,platyphylla,Maui,1.88E+09
Dubautia,reticulata,Maui,1.88E+09
Dubautia,scabra,Maui,1.88E+09
Dubautia,scabra_leiophylla,Maui,1.88E+09
Dubautia,molokaiensis,Maui,1.88E+09
Railliardia,thyrsiflora,Maui,1.88E+09
Dubautia,waialealae,Maui,1.88E+09
Dubautia,waianapanapaensis,Maui,1.88E+09
Railliardia,dolosa,Maui,1.88E+09
Dubautia,dolosa,Maui,1.88E+09
Railliardia,demissifolia,Maui,1.88E+09
Dubautia,carrii,Molokai,6.73E+08
Dubautia,laxa,Molokai,6.73E+08
Dubautia,laxa_laxa,Molokai,6.73E+08
Dubautia,linearis,Molokai,6.73E+08
Dubautia,plantaginea_magnifolia,Molokai,6.73E+08
Dubautia,plantaginea_plantaginea,Molokai,6.73E+08
Dubautia,scabra_leiophylla,Molokai,6.73E+08
Railliardia,molokaiensis,Molokai,6.73E+08
Argyroxiphium,sandwicense,Oahu,1.55E+09
Dubautia,laxa,Oahu,1.55E+09
Dubautia,laxa_bryanii,Oahu,1.55E+09
Dubautia,laxa_hirsuta,Oahu,1.55E+09
Dubautia,laxa_laxa,Oahu,1.55E+09
Dubautia,laxa_pseudoplantaginea,Oahu,1.55E+09
Dubautia,plantaginea,Oahu,1.55E+09
Dubautia,plantaginea_plantaginea,Oahu,1.55E+09
Dubautia,sherffiana,Oahu,1.55E+09
Railliardia,sherffiana,Oahu,1.55E+09
