"SpeciesName","Genus","Species","Longitude","Latitude","datasetKey"
"Argyroxiphium ×kai (C.N.Forbes) D.D.Keck","Argyroxiphium","kai",-156.62,20.89056,"15f819bd-6612-4447-854b-14d12ee1022d"
"Argyroxiphium caligini C.N.Forbes","Argyroxiphium","caligini",-156.327185,20.81519,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium caligini C.N.Forbes","Argyroxiphium","caligini",-156.62,20.89056,"15f819bd-6612-4447-854b-14d12ee1022d"
"Argyroxiphium caligini C.N.Forbes","Argyroxiphium","caligini",-156.58531,20.8914,"15f819bd-6612-4447-854b-14d12ee1022d"
"Argyroxiphium caligini C.N.Forbes","Argyroxiphium","caligini",-156.611295,21.021087,"6e5319b3-a870-4b5d-a194-e1a9c4ad8845"
"Argyroxiphium caliginis Forbes","Argyroxiphium","caliginis",-156.58719,20.89494,"9781ce05-2379-4a10-ab3b-c91346510df8"
"Argyroxiphium caliginis Forbes","Argyroxiphium","caliginis",-156.609139,21.021066,"90c853e6-56bd-480b-8e8f-6285c3f8d42b"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.376363,20.62843,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.2021,20.761878,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.308227,20.628002,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.251679,20.67852,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.213181,20.719907,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.333134,20.667892,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.312405,20.626229,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.231968,20.657205,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.30433,20.799764,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.21929,20.788105,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.227696,20.735029,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.344483,20.667916,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.231965,20.755991,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.315725,20.786591,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.304081,20.750031,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.276601,20.620086,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.351784,20.697666,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.279276,20.791431,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.331809,20.631153,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.31923,20.652921,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.22528,20.627326,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.242909,20.673201,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.274927,20.672839,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.244989,20.70105,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.364489,20.721668,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.261442,20.752452,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.284588,20.715265,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.350445,20.700373,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.205433,20.719478,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.232998,20.645179,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.268755,20.674927,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.268331,20.783888,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.358107,20.631403,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.237118,20.643333,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.356042,20.630293,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.319318,20.655098,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.365353,20.706896,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.309925,20.705161,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.398769,20.627063,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.326578,20.75808,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.366022,20.674717,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.230812,20.767707,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.194435,20.744121,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.353718,20.675202,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.269087,20.692929,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.279707,20.781407,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.329536,20.639802,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.294285,20.652696,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.273198,20.685283,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Argyroxiphium grayanum (Hillebr.) O.Deg.","Argyroxiphium","grayanum",-156.284182,20.736209,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
