SpeciesName,Genus,Species,Longitude,Latitude,First,Second,Third,datasetKey,areas
Argyroxiphium ×kai (C.N.Forbes) D.D.Keck,Argyroxiphium,kai,-156.62,20.89056,USA,Hawaii,Maui,15f819bd-6612-4447-854b-14d12ee1022d,2165812500
Argyroxiphium caligini C.N.Forbes,Argyroxiphium,caligini,-156.327185,20.81519,USA,Hawaii,Maui,50c9509d-22c7-4a22-a47d-8c48425ef4a7,2165812500
Argyroxiphium caligini C.N.Forbes,Argyroxiphium,caligini,-156.62,20.89056,USA,Hawaii,Maui,15f819bd-6612-4447-854b-14d12ee1022d,2165812500
Argyroxiphium caligini C.N.Forbes,Argyroxiphium,caligini,-156.58531,20.8914,USA,Hawaii,Maui,15f819bd-6612-4447-854b-14d12ee1022d,2165812500
Argyroxiphium caligini C.N.Forbes,Argyroxiphium,caligini,-156.611295,21.021087,USA,Hawaii,Maui,6e5319b3-a870-4b5d-a194-e1a9c4ad8845,2165812500
Argyroxiphium caliginis Forbes,Argyroxiphium,caliginis,-156.58719,20.89494,USA,Hawaii,Maui,9781ce05-2379-4a10-ab3b-c91346510df8,2165812500
Argyroxiphium caliginis Forbes,Argyroxiphium,caliginis,-156.609139,21.021066,USA,Hawaii,Maui,90c853e6-56bd-480b-8e8f-6285c3f8d42b,2165812500
Argyroxiphium grayanum (Hillebr.) O.Deg.,Argyroxiphium,grayanum,-156.376363,20.62843,USA,Hawaii,Maui,50c9509d-22c7-4a22-a47d-8c48425ef4a7,2165812500
Argyroxiphium grayanum (Hillebr.) O.Deg.,Argyroxiphium,grayanum,-156.2021,20.761878,USA,Hawaii,Maui,50c9509d-22c7-4a22-a47d-8c48425ef4a7,2165812500
Argyroxiphium grayanum (Hillebr.) O.Deg.,Argyroxiphium,grayanum,-156.308227,20.628002,USA,Hawaii,Maui,50c9509d-22c7-4a22-a47d-8c48425ef4a7,2165812500
Argyroxiphium grayanum (Hillebr.) O.Deg.,Argyroxiphium,grayanum,-156.251679,20.67852,USA,Hawaii,Maui,50c9509d-22c7-4a22-a47d-8c48425ef4a7,2165812500
Argyroxiphium grayanum (Hillebr.) O.Deg.,Argyroxiphium,grayanum,-156.213181,20.719907,USA,Hawaii,Maui,50c9509d-22c7-4a22-a47d-8c48425ef4a7,2165812500
Argyroxiphium grayanum (Hillebr.) O.Deg.,Argyroxiphium,grayanum,-156.333134,20.667892,USA,Hawaii,Maui,50c9509d-22c7-4a22-a47d-8c48425ef4a7,2165812500
Argyroxiphium grayanum (Hillebr.) O.Deg.,Argyroxiphium,grayanum,-156.312405,20.626229,USA,Hawaii,Maui,50c9509d-22c7-4a22-a47d-8c48425ef4a7,2165812500
Argyroxiphium grayanum (Hillebr.) O.Deg.,Argyroxiphium,grayanum,-156.231968,20.657205,USA,Hawaii,Maui,50c9509d-22c7-4a22-a47d-8c48425ef4a7,2165812500
Argyroxiphium grayanum (Hillebr.) O.Deg.,Argyroxiphium,grayanum,-156.30433,20.799764,USA,Hawaii,Maui,50c9509d-22c7-4a22-a47d-8c48425ef4a7,2165812500
Argyroxiphium grayanum (Hillebr.) O.Deg.,Argyroxiphium,grayanum,-156.21929,20.788105,USA,Hawaii,Maui,50c9509d-22c7-4a22-a47d-8c48425ef4a7,2165812500
Argyroxiphium grayanum (Hillebr.) O.Deg.,Argyroxiphium,grayanum,-156.227696,20.735029,USA,Hawaii,Maui,50c9509d-22c7-4a22-a47d-8c48425ef4a7,2165812500
Argyroxiphium grayanum (Hillebr.) O.Deg.,Argyroxiphium,grayanum,-156.344483,20.667916,USA,Hawaii,Maui,50c9509d-22c7-4a22-a47d-8c48425ef4a7,2165812500
Argyroxiphium grayanum (Hillebr.) O.Deg.,Argyroxiphium,grayanum,-156.231965,20.755991,USA,Hawaii,Maui,50c9509d-22c7-4a22-a47d-8c48425ef4a7,2165812500
Argyroxiphium grayanum (Hillebr.) O.Deg.,Argyroxiphium,grayanum,-156.315725,20.786591,USA,Hawaii,Maui,50c9509d-22c7-4a22-a47d-8c48425ef4a7,2165812500
Argyroxiphium grayanum (Hillebr.) O.Deg.,Argyroxiphium,grayanum,-156.304081,20.750031,USA,Hawaii,Maui,50c9509d-22c7-4a22-a47d-8c48425ef4a7,2165812500
Argyroxiphium grayanum (Hillebr.) O.Deg.,Argyroxiphium,grayanum,-156.276601,20.620086,USA,Hawaii,Maui,50c9509d-22c7-4a22-a47d-8c48425ef4a7,2165812500
Argyroxiphium grayanum (Hillebr.) O.Deg.,Argyroxiphium,grayanum,-156.351784,20.697666,USA,Hawaii,Maui,50c9509d-22c7-4a22-a47d-8c48425ef4a7,2165812500
Argyroxiphium grayanum (Hillebr.) O.Deg.,Argyroxiphium,grayanum,-156.279276,20.791431,USA,Hawaii,Maui,50c9509d-22c7-4a22-a47d-8c48425ef4a7,2165812500
