SpeciesName,Genus,Species,Longitude,Latitude,First,Second,Third,datasetKey,areas
1,Tetragnatha,pilosa,,,Hawaii,Kauai,,2,1.43E+09
2,Tetragnatha,kauaiensis,,,Hawaii,Kauai,,2,1.43E+09
3,Tetragnatha,mohihi,,,Hawaii,Kauai,,2,1.43E+09
4,Tetragnatha,perreirai,,,Hawaii,Oahu,,2,1.55E+09
5,Tetragnatha,polychromata,,,Hawaii,Oahu,,2,1.55E+09
6,Tetragnatha,tantalus,,,Hawaii,Oahu,,2,1.55E+09
7,Tetragnatha,quasimodo,,,Hawaii,Oahu,,2,1.55E+09
7,Tetragnatha,quasimodo,,,Hawaii,Molokai,,2,6.73E+08
7,Tetragnatha,quasimodo,,,Hawaii,Lanai,,2,3.64E+08
7,Tetragnatha,quasimodo,,,Hawaii,Maui,,2,1.88E+09
7,Tetragnatha,quasimodo,,,Hawaii,Hawaii,,2,1.04E+10
8,Tetragnatha,kukuiki,,,Hawaii,Oahu,,2,1.55E+09
9,Tetragnatha,kukuhaa,,,Hawaii,Hawaii,,2,1.04E+10
10,Tetragnatha,obscura,,,Hawaii,Hawaii,,2,1.04E+10
11,Tetragnatha,kikokiko,,,Hawaii,Maui,,2,1.88E+09
12,Tetragnatha,anuenue,,,Hawaii,Hawaii,,2,1.04E+10
13,Tetragnatha,kamakou,,,Hawaii,Molokai,,2,6.73E+08
14,Tetragnatha,restricta,,,Hawaii,Maui,,2,1.88E+09
14,Tetragnatha,restricta,,,Hawaii,Hawaii,,2,1.04E+10
15,Tetragnatha,kamakou_2,,,Hawaii,Maui,,2,1.88E+09
16,Tetragnatha,macracantha,,,Hawaii,Maui,,2,1.88E+09
17,Tetragnatha,brevignatha,,,Hawaii,Lanai,,2,3.64E+08
17,Tetragnatha,brevignatha,,,Hawaii,Maui,,2,1.88E+09
18,Tetragnatha,waikamoi,,,Hawaii,Maui,,2,1.88E+09
19,Tetragnatha,brevignatha_2,,,Hawaii,Hawaii,,2,1.04E+10
