"acceptedScientificName","genericName","specificEpithet","decimalLongitude","decimalLatitude","datasetKey"
"Tetragnatha tantalus Gillespie, 1992","Tetragnatha","tantalus",-157.812073,21.339627,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha tantalus Gillespie, 1992","Tetragnatha","tantalus",-157.811011,21.337991,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.664493,19.314871,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.632965,19.376699,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.367021,19.67181,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha tantalus Gillespie, 1992","Tetragnatha","tantalus",-157.813417,21.331747,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha tantalus Gillespie, 1992","Tetragnatha","tantalus",-157.813252,21.331541,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha tantalus Gillespie, 1992","Tetragnatha","tantalus",-157.813308,21.331828,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha tantalus Gillespie, 1992","Tetragnatha","tantalus",-157.81285,21.332158,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha tantalus Gillespie, 1992","Tetragnatha","tantalus",-157.807081,21.344558,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.239111,19.413378,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha brevignatha Gillespie, 1992","Tetragnatha","brevignatha",-155.331469,19.675007,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha brevignatha Gillespie, 1992","Tetragnatha","brevignatha",-155.367321,19.67144,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-156.884003,20.820777,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.367823,19.671967,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-156.899947,21.145931,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.76514,19.222723,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.796303,19.249413,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.740996,19.261235,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.700435,19.227282,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.799035,19.242878,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha brevignatha Gillespie, 1992","Tetragnatha","brevignatha",-155.229879,19.401906,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha brevignatha Gillespie, 1992","Tetragnatha","brevignatha",-155.635895,19.182397,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.219162,19.43075,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.635987,19.18242,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.323334,19.875226,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha tantalus Gillespie, 1992","Tetragnatha","tantalus",-157.811172,21.341847,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha polychromata Gillespie, 1992","Tetragnatha","polychromata",-158.009891,21.405181,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.351996,19.66697,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha tantalus Gillespie, 1992","Tetragnatha","tantalus",-157.811362,21.338064,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha tantalus Gillespie, 1992","Tetragnatha","tantalus",-157.811042,21.338109,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha brevignatha Gillespie, 1992","Tetragnatha","brevignatha",-155.23093,19.56286,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.23093,19.56286,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3"
"Tetragnatha anuenue Gillespie, 2002","Tetragnatha","anuenue",-155.23093,19.56286,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3"
"Tetragnatha anuenue Gillespie, 2002","Tetragnatha","anuenue",-155.24842,19.46171,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.24842,19.46171,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3"
"Tetragnatha anuenue Gillespie, 2002","Tetragnatha","anuenue",-155.30106,19.92114,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3"
"Tetragnatha brevignatha Gillespie, 1992","Tetragnatha","brevignatha",-155.30106,19.92114,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.30106,19.92114,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-156.22814,20.77927,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-156.22806,20.77939,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3"
"Tetragnatha anuenue Gillespie, 2002","Tetragnatha","anuenue",-155.26944,19.55969,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.26944,19.55969,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-156.22809,20.77926,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-156.22838,20.77871,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-156.22817,20.7792,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3"
"Tetragnatha brevignatha Gillespie, 1992","Tetragnatha","brevignatha",-155.26944,19.55969,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.294,19.92714,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.28562,19.94168,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.27751,19.95667,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3"
"Tetragnatha brevignatha Gillespie, 1992","Tetragnatha","brevignatha",-155.294,19.92714,"5d283bb6-64dd-4626-8b3b-a4e8db5415c3"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.317839,19.820786,"d762b508-7a70-441b-94ad-48fd77593275"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.323331,19.823639,"d762b508-7a70-441b-94ad-48fd77593275"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.307724,19.839461,"d762b508-7a70-441b-94ad-48fd77593275"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.317428,19.837328,"d762b508-7a70-441b-94ad-48fd77593275"
"Tetragnatha restricta Simon, 1900","Tetragnatha","restricta",-155.313028,19.827362,"d762b508-7a70-441b-94ad-48fd77593275"
"Tetragnatha restricta Simon, 1900","Tetragnatha","restricta",-155.323638,19.81287,"d762b508-7a70-441b-94ad-48fd77593275"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.284282,19.433942,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
"Tetragnatha quasimodo Gillespie, 1992","Tetragnatha","quasimodo",-155.249466,19.419243,"50c9509d-22c7-4a22-a47d-8c48425ef4a7"
