"species","archipelago"
"Tetragnatha pilosa","Hawaii"
"Tetragnatha kauaiensis","Hawaii"
"Tetragnatha mohihi","Hawaii"
"Tetragnatha perreirai","Hawaii"
"Tetragnatha polychromata","Hawaii"
"Tetragnatha tantalus","Hawaii"
"Tetragnatha quasimodo","Hawaii"
"Tetragnatha kukuiki","Hawaii"
"Tetragnatha kukuhaa","Hawaii"
"Tetragnatha obscura","Hawaii"
"Tetragnatha kikokiko","Hawaii"
"Tetragnatha anuenue","Hawaii"
"Tetragnatha kamakou","Hawaii"
"Tetragnatha restricta","Hawaii"
"Tetragnatha kamakou_2","Hawaii"
"Tetragnatha macracantha","Hawaii"
"Tetragnatha brevignatha","Hawaii"
"Tetragnatha waikamoi","Hawaii"
"Tetragnatha brevignatha_2","Hawaii"
"Argyroxiphium kai","Hawaii"
"Argyroxiphium caligini","Hawaii"
"Argyroxiphium caliginis","Hawaii"
"Argyroxiphium grayanum","Hawaii"
"Argyroxiphium kauense","Hawaii"
"Argyroxiphium sandwicense","Hawaii"
"Argyroxiphium sandwicense_macrocephalum","Hawaii"
"Argyroxiphium sandwicense_sandwicense","Hawaii"
"Argyroxiphium forbesii","Hawaii"
"Dubautia mendax","Hawaii"
"Dubautia arborea","Hawaii"
"Dubautia carrii","Hawaii"
"Dubautia linearis","Hawaii"
"Railliardia linearis","Hawaii"
"Dubautia ciliolata","Hawaii"
"Railliardia ciliolata","Hawaii"
"Dubautia ciliolata_glutinosa","Hawaii"
"Dubautia hanaulaensis","Hawaii"
"Dubautia imbricata","Hawaii"
"Dubautia imbricata_acronaea","Hawaii"
"Dubautia imbricata_imbricata","Hawaii"
"Dubautia kalalauensis","Hawaii"
"Dubautia knudsenii","Hawaii"
"Dubautia knudsenii_filiformis","Hawaii"
"Dubautia knudsenii_knudsenii","Hawaii"
"Dubautia knudsenii_nagatae","Hawaii"
"Dubautia laevigata","Hawaii"
"Dubautia mendacoides","Hawaii"
"Dubautia latifolia","Hawaii"
"Dubautia laxa","Hawaii"
"Dubautia laxa_bryanii","Hawaii"
"Dubautia laxa_hirsuta","Hawaii"
"Dubautia laxa_laxa","Hawaii"
"Dubautia laxa_pseudoplantaginea","Hawaii"
"Dubautia linearis_hillebrandii","Hawaii"
"Dubautia linearis_linearis","Hawaii"
"Dubautia menziesii","Hawaii"
"Railliardia menziesii","Hawaii"
"Dubautia microcephala","Hawaii"
"Dubautia paleata","Hawaii"
"Dubautia pauciflorula","Hawaii"
"Dubautia plantaginea","Hawaii"
"Dubautia plantaginea_humilis","Hawaii"
"Dubautia plantaginea_magnifolia","Hawaii"
"Dubautia plantaginea_plantaginea","Hawaii"
"Dubautia platyphylla","Hawaii"
"Railliardia platyphylla","Hawaii"
"Dubautia raillardioides","Hawaii"
"Dubautia reticulata","Hawaii"
"Dubautia scabra","Hawaii"
"Dubautia scabra_leiophylla","Hawaii"
"Dubautia molokaiensis","Hawaii"
"Dubautia scabra_scabra","Hawaii"
"Railliardia scabra_scabra","Hawaii"
"Dubautia sherffiana","Hawaii"
"Railliardia sherffiana","Hawaii"
"Dubautia syndetica","Hawaii"
"Railliardia thyrsiflora","Hawaii"
"Dubautia waialealae","Hawaii"
"Dubautia waianapanapaensis","Hawaii"
"Railliardia dolosa","Hawaii"
"Dubautia dolosa","Hawaii"
"Railliardia demissifolia","Hawaii"
"Railliardia molokaiensis","Hawaii"
"Wilkesia gymnoxiphium","Hawaii"
"Wilkesia hobdyi","Hawaii"
