"Genus","specificEpithet","Third","areas","name"
"Argyroxiphium","kauense","Hawaii",1.04e+10,"Argyroxiphium_kauense"
"Argyroxiphium","sandwicense_sandwicense","Hawaii",1.04e+10,"Argyroxiphium_sandwicense_sandwicense"
"Dubautia","arborea","Hawaii",1.04e+10,"Dubautia_arborea"
"Dubautia","ciliolata_glutinosa","Hawaii",1.04e+10,"Dubautia_ciliolata_glutinosa"
"Dubautia","latifolia","Hawaii",1.04e+10,"Dubautia_latifolia"
"Dubautia","laxa_laxa","Hawaii",1.04e+10,"Dubautia_laxa_laxa"
"Dubautia","linearis_hillebrandii","Hawaii",1.04e+10,"Dubautia_linearis_hillebrandii"
"Dubautia","linearis_linearis","Hawaii",1.04e+10,"Dubautia_linearis_linearis"
"Dubautia","plantaginea_humilis","Hawaii",1.04e+10,"Dubautia_plantaginea_humilis"
"Dubautia","plantaginea_plantaginea","Hawaii",1.04e+10,"Dubautia_plantaginea_plantaginea"
"Dubautia","reticulata","Hawaii",1.04e+10,"Dubautia_reticulata"
"Dubautia","scabra_leiophylla","Hawaii",1.04e+10,"Dubautia_scabra_leiophylla"
"Dubautia","scabra_scabra","Hawaii",1.04e+10,"Dubautia_scabra_scabra"
"Dubautia","sherffiana","Hawaii",1.04e+10,"Dubautia_sherffiana"
"Wilkesia","gymnoxiphium","Hawaii",1.04e+10,"Wilkesia_gymnoxiphium"
"Dubautia","imbricata","Kauai",1.43e+09,"Dubautia_imbricata"
"Dubautia","knudsenii_filiformis","Kauai",1.43e+09,"Dubautia_knudsenii_filiformis"
"Dubautia","knudsenii_knudsenii","Kauai",1.43e+09,"Dubautia_knudsenii_knudsenii"
"Dubautia","knudsenii_nagatae","Kauai",1.43e+09,"Dubautia_knudsenii_nagatae"
"Dubautia","laevigata","Kauai",1.43e+09,"Dubautia_laevigata"
"Dubautia","latifolia","Kauai",1.43e+09,"Dubautia_latifolia"
"Dubautia","laxa_hirsuta","Kauai",1.43e+09,"Dubautia_laxa_hirsuta"
"Dubautia","microcephala","Kauai",1.43e+09,"Dubautia_microcephala"
"Dubautia","paleata","Kauai",1.43e+09,"Dubautia_paleata"
"Dubautia","pauciflorula","Kauai",1.43e+09,"Dubautia_pauciflorula"
"Dubautia","plantaginea_magnifolia","Kauai",1.43e+09,"Dubautia_plantaginea_magnifolia"
"Dubautia","raillardioides","Kauai",1.43e+09,"Dubautia_raillardioides"
"Wilkesia","gymnoxiphium","Kauai",1.43e+09,"Wilkesia_gymnoxiphium"
"Wilkesia","hobdyi","Kauai",1.43e+09,"Wilkesia_hobdyi"
"Dubautia","laxa_hirsuta","Lanai",3.64e+08,"Dubautia_laxa_hirsuta"
"Argyroxiphium","caliginis","Maui",1.88e+09,"Argyroxiphium_caliginis"
"Argyroxiphium","sandwicense_macrocephalum","Maui",1.88e+09,"Argyroxiphium_sandwicense_macrocephalum"
"Argyroxiphium","sandwicense_sandwicense","Maui",1.88e+09,"Argyroxiphium_sandwicense_sandwicense"
"Dubautia","laxa_laxa","Maui",1.88e+09,"Dubautia_laxa_laxa"
"Dubautia","menziesii","Maui",1.88e+09,"Dubautia_menziesii"
"Dubautia","plantaginea_plantaginea","Maui",1.88e+09,"Dubautia_plantaginea_plantaginea"
"Dubautia","platyphylla","Maui",1.88e+09,"Dubautia_platyphylla"
"Dubautia","reticulata","Maui",1.88e+09,"Dubautia_reticulata"
"Dubautia","scabra_leiophylla","Maui",1.88e+09,"Dubautia_scabra_leiophylla"
"Dubautia","laxa_laxa","Molokai",6.73e+08,"Dubautia_laxa_laxa"
"Dubautia","plantaginea_magnifolia","Molokai",6.73e+08,"Dubautia_plantaginea_magnifolia"
"Dubautia","plantaginea_plantaginea","Molokai",6.73e+08,"Dubautia_plantaginea_plantaginea"
"Dubautia","scabra_leiophylla","Molokai",6.73e+08,"Dubautia_scabra_leiophylla"
"Dubautia","laxa_hirsuta","Oahu",1.55e+09,"Dubautia_laxa_hirsuta"
"Dubautia","laxa_laxa","Oahu",1.55e+09,"Dubautia_laxa_laxa"
"Dubautia","plantaginea_plantaginea","Oahu",1.55e+09,"Dubautia_plantaginea_plantaginea"
"Dubautia","sherffiana","Oahu",1.55e+09,"Dubautia_sherffiana"
