"Genus","Species","Third"
"Argyroxiphium","kai","Maui"
"Argyroxiphium","caligini","Maui"
"Argyroxiphium","caliginis","Maui"
"Argyroxiphium","grayanum","Maui"
"Argyroxiphium","kauense","Hawaii"
"Argyroxiphium","sandwicense","Maui"
"Argyroxiphium","sandwicense","Hawaii"
"Argyroxiphium","sandwicense","Oahu"
"Argyroxiphium","sandwicense_macrocephalum","Maui"
"Argyroxiphium","sandwicense_sandwicense","Hawaii"
"Argyroxiphium","sandwicense_sandwicense","Maui"
"Argyroxiphium","forbesii","Maui"
"Dubautia","mendax","Kauai"
"Dubautia","arborea","Hawaii"
"Dubautia","carrii","Molokai"
"Dubautia","carrii","Maui"
"Dubautia","linearis","Maui"
"Railliardia","linearis","Lanai"
"Dubautia","ciliolata","Hawaii"
"Railliardia","ciliolata","Kauai"
"Railliardia","ciliolata","Hawaii"
"Dubautia","ciliolata_glutinosa","Hawaii"
"Dubautia","hanaulaensis","Maui"
"Dubautia","imbricata","Kauai"
"Dubautia","imbricata_acronaea","Kauai"
"Dubautia","imbricata_imbricata","Kauai"
"Dubautia","kalalauensis","Kauai"
"Dubautia","knudsenii","Kauai"
"Dubautia","knudsenii_filiformis","Kauai"
"Dubautia","knudsenii_knudsenii","Kauai"
"Dubautia","knudsenii_nagatae","Kauai"
"Dubautia","laevigata","Kauai"
"Dubautia","mendacoides","Kauai"
"Dubautia","latifolia","Kauai"
"Dubautia","latifolia","Hawaii"
"Dubautia","laxa","Oahu"
"Dubautia","laxa","Kauai"
"Dubautia","laxa","Maui"
"Dubautia","laxa","Molokai"
"Dubautia","laxa_bryanii","Oahu"
"Dubautia","laxa_hirsuta","Kauai"
"Dubautia","laxa_hirsuta","Oahu"
"Dubautia","laxa_hirsuta","Lanai"
"Dubautia","laxa_laxa","Maui"
"Dubautia","laxa_laxa","Oahu"
"Dubautia","laxa_laxa","Molokai"
"Dubautia","laxa_laxa","Hawaii"
"Dubautia","laxa_pseudoplantaginea","Oahu"
"Dubautia","linearis","Hawaii"
"Dubautia","linearis","Molokai"
"Dubautia","linearis_hillebrandii","Hawaii"
"Dubautia","linearis_linearis","Hawaii"
"Dubautia","menziesii","Maui"
"Railliardia","menziesii","Maui"
"Dubautia","microcephala","Kauai"
"Dubautia","paleata","Kauai"
"Dubautia","pauciflorula","Kauai"
"Dubautia","plantaginea","Hawaii"
"Dubautia","plantaginea","Maui"
"Dubautia","plantaginea","Oahu"
"Dubautia","plantaginea","Kauai"
"Dubautia","plantaginea_humilis","Hawaii"
"Dubautia","plantaginea_magnifolia","Kauai"
"Dubautia","plantaginea_magnifolia","Molokai"
"Dubautia","plantaginea_plantaginea","Molokai"
"Dubautia","plantaginea_plantaginea","Maui"
"Dubautia","plantaginea_plantaginea","Oahu"
"Dubautia","plantaginea_plantaginea","Hawaii"
"Dubautia","platyphylla","Maui"
"Railliardia","platyphylla","Maui"
"Dubautia","raillardioides","Kauai"
"Dubautia","reticulata","Maui"
"Dubautia","reticulata","Hawaii"
"Dubautia","scabra","Hawaii"
"Dubautia","scabra","Maui"
"Dubautia","scabra","Lanai"
"Dubautia","scabra_leiophylla","Maui"
"Dubautia","scabra_leiophylla","Hawaii"
"Dubautia","scabra_leiophylla","Molokai"
"Dubautia","molokaiensis","Maui"
"Dubautia","scabra_scabra","Hawaii"
"Railliardia","scabra_scabra","Hawaii"
"Dubautia","sherffiana","Oahu"
"Railliardia","sherffiana","Oahu"
"Dubautia","sherffiana","Hawaii"
"Dubautia","syndetica","Kauai"
"Railliardia","thyrsiflora","Maui"
"Dubautia","waialealae","Kauai"
"Dubautia","waialealae","Maui"
"Dubautia","waianapanapaensis","Maui"
"Railliardia","dolosa","Maui"
"Dubautia","dolosa","Maui"
"Railliardia","demissifolia","Maui"
"Railliardia","molokaiensis","Molokai"
"Wilkesia","gymnoxiphium","Kauai"
"Wilkesia","gymnoxiphium","Hawaii"
"Wilkesia","hobdyi","Kauai"
