"name","mean_elev","median_elev","min_elev","max_elev"
"Kauai",389.293598726803,258,-8,1585
"Niihau",70.1255813953488,61,0,188
"Niihau.1",75.5200367084735,24,-56,380
"Oahu",216.787089231844,182,-11,1218
"Oahu.1",3.3781512605042,4,0,8
"Oahu.2",5.88125,7,0,13
"Oahu.3",0.729113924050633,0,-1,13
"Molokai",319.098785437597,208,-15,1495
"Maui",670.957192582152,457,-126,3046
"Lanai",314.385920804525,330,-21,1021
"kahoolawe",16.2142857142857,18,-2,30
"kahoolawe.1",187.712365348058,186,0,449
"Hawaii",1190.15322678641,1007,-116,4195
