name,TRI,mean_elev,median_elev,min_elev,max_elev,Nearest_Dist,nearest_occ,richness,area,mean_csi,sd_csi,lineage,dispersal,n_habitat,archipelago
Hawaii,19.00579943,1190.153227,1007,-116,4195,157468.2518,0,22,10458760465,0.16350237,0.050760293,silverswords,moderate,33,hawaii
Kauai,54.56160039,389.2935987,258,-8,1585,173473.5585,0,25,1436728537,0.126793626,0.01308001,silverswords,moderate,33,hawaii
Lanai,30.65639295,314.3859208,330,-21,1021,34215.87179,0,3,365402133,0.098972432,0.001151731,silverswords,moderate,33,hawaii
Maui,44.11024928,670.9571926,457,-126,3046,61659.05071,0,29,1887674727,0.121099691,0.013620971,silverswords,moderate,33,hawaii
Molokai,45.93265115,319.0987854,208,-15,1495,34215.87179,0,8,675276823.3,0.10379961,0.007680436,silverswords,moderate,33,hawaii
Oahu,43.14599928,216.7870892,182,-11,1218,105924.0935,0,10,1546408036,0.102769313,0.008221732,silverswords,moderate,33,hawaii
Hawaii,19.00579943,1190.153227,1007,-116,4195,157468.2518,0,6,10458760465,0.16350237,0.050760293,tetragnatha,high,8,hawaii
Kauai,54.56160039,389.2935987,258,-8,1585,173473.5585,0,3,1436728537,0.126793626,0.01308001,tetragnatha,high,8,hawaii
Lanai,30.65639295,314.3859208,330,-21,1021,34215.87179,0,2,365402133,0.098972432,0.001151731,tetragnatha,high,8,hawaii
Maui,44.11024928,670.9571926,457,-126,3046,61659.05071,0,7,1887674727,0.121099691,0.013620971,tetragnatha,high,8,hawaii
Molokai,45.93265115,319.0987854,208,-15,1495,34215.87179,0,2,675276823.3,0.10379961,0.007680436,tetragnatha,high,8,hawaii
Oahu,43.14599928,216.7870892,182,-11,1218,105924.0935,0,5,1546408036,0.102769313,0.008221732,tetragnatha,high,8,hawaii
