Species,Native,areas,Log areas
Anolis carolinensis,"Alabama, Dauphin Island",4562500,15.33338128
Anolis carolinensis,Anguilla,22000000,16.90655301
Anolis gingivinus,Anguilla,22000000,16.90655301
Anolis pogus,Anguilla,22000000,16.90655301
Anolis nubilus,Antigua,301187500,19.52324355
Anolis wattsii,Antigua,301187500,19.52324355
Anolis leachii,Antigua,301187500,19.52324355
Anolis lineatus,Aruba,189562500,19.06022934
Anolis carolinensis,"Bahamas, Acklins Island",523000000,20.07509202
Anolis carolinensis,"Bahamas, Andros Island",5957000000,22.50783284
Anolis smaragdinus,"Bahamas, Andros Island",5957000000,22.50783284
Anolis angusticeps,"Bahamas, Andros Island",5957000000,22.50783284
Anolis distichus,"Bahamas, Andros Island",5957000000,22.50783284
Anolis carolinensis,"Bahamas, Cat Island",433687500,19.88783479
Anolis smaragdinus,"Bahamas, Cat Island",433687500,19.88783479
Anolis distichus,"Bahamas, Cat Island",433687500,19.88783479
Anolis carolinensis,"Bahamas, Crooked Island",298125000,19.51302342
Anolis brunneus,"Bahamas, Crooked Island",298125000,19.51302342
Anolis sagrei,"Bahamas, Crooked Island",298125000,19.51302342
Anolis smaragdinus,"Bahamas, Eleuthera Island",528125000,20.08484356
Anolis angusticeps,"Bahamas, Eleuthera Island",528125000,20.08484356
Anolis distichus,"Bahamas, Eleuthera Island",528125000,20.08484356
Anolis smaragdinus,"Bahamas, Grand Bahama Island",1.20E+09,20.90558739
Anolis sagrei,"Bahamas, Grand Bahama Island",1.20E+09,20.90558739
Anolis smaragdinus,"Bahamas, Great Exuma Island",2.12E+08,19.17209683
Anolis sagrei,"Bahamas, Great Exuma Island",2.12E+08,19.17209683
Anolis scriptus,"Bahamas, Great Inagua Island",1.77E+09,21.29424538
Anolis scriptus,"Bahamas, Little Inagua Island",1.53E+08,18.84594848
Anolis smaragdinus,"Bahamas, Long Island",5.96E+08,20.20575123
Anolis distichus,"Bahamas, Long Island",5.96E+08,20.20575123
Anolis scriptus,"Bahamas, Mayaguana Island",3.36E+08,19.63262172
Anolis distichus,"Bahamas, Mayaguana Island",3.36E+08,19.63262172
