SpeciesName,Genus,Species,Longitude,Latitude,First,Second,Third,datasetKey,areas
"Naesiotus wolfi (Reibisch, 1893)",Naesiotus,wolfi,-90.33,-0.76,Ecuador,Isla Santa Cruz,NA,a307e4d7-1de2-4adc-95d5-a0a8d5f57236,9.86E+08
"Naesiotus wolfi (Reibisch, 1893)",Naesiotus,wolfi,-90.3,-0.74,Ecuador,Isla Santa Cruz,NA,a307e4d7-1de2-4adc-95d5-a0a8d5f57236,9.86E+08
"Naesiotus Albers, 1850",Naesiotus,NA,-90.383333,-0.633333,Ecuador,Isla Santa Cruz,NA,85b1cfb6-f762-11e1-a439-00145eb45e9a,9.86E+08
"Naesiotus Albers, 1850",Naesiotus,NA,-90.383333,-0.633333,Ecuador,Isla Santa Cruz,NA,85b1cfb6-f762-11e1-a439-00145eb45e9a,9.86E+08
"Naesiotus wolfi (Reibisch, 1893)",Naesiotus,wolfi,-90.31451,-0.741951,Ecuador,Isla Santa Cruz,NA,5a6977c1-ece6-44b8-b71d-43cb1d4e0919,9.86E+08
"Naesiotus darwini (L.Pfeiffer, 1846)",Naesiotus,darwini,-90.3382,-0.61912,Ecuador,Isla Santa Cruz,NA,8138eb72-f762-11e1-a439-00145eb45e9a,9.86E+08
"Naesiotus darwini (L.Pfeiffer, 1846)",Naesiotus,darwini,-90.3382,-0.61912,Ecuador,Isla Santa Cruz,NA,98db0c34-403c-448d-9ac7-e8546abd6e63,9.86E+08
"Naesiotus cavagnaroi A.G.Smith, 1972",Naesiotus,cavagnaroi,-90.351677,-0.646875,Ecuador,Isla Santa Cruz,NA,3ee66eb3-4786-4bda-b7f1-c145b1a57a6b,9.86E+08
"Naesiotus cavagnaroi A.G.Smith, 1972",Naesiotus,cavagnaroi,-90.38,-0.63,Ecuador,Isla Santa Cruz,NA,86b50d88-f762-11e1-a439-00145eb45e9a,9.86E+08
"Naesiotus cavagnaroi A.G.Smith, 1972",Naesiotus,cavagnaroi,-90.38,-0.63,Ecuador,Isla Santa Cruz,NA,86b50d88-f762-11e1-a439-00145eb45e9a,9.86E+08
"Naesiotus cavagnaroi A.G.Smith, 1972",Naesiotus,cavagnaroi,-90.35,-0.53,Ecuador,Isla Santa Cruz,NA,86b50d88-f762-11e1-a439-00145eb45e9a,9.86E+08
"Naesiotus jacobi (G.B.Sowerby I, 1833)",Naesiotus,jacobi,-90.377465,-0.545692,Ecuador,Isla Santa Cruz,NA,5a6977c1-ece6-44b8-b71d-43cb1d4e0919,9.86E+08
"Naesiotus lycodus (Dall, 1917)",Naesiotus,lycodus,-90.356866,-0.759911,Ecuador,Isla Santa Cruz,NA,5a6977c1-ece6-44b8-b71d-43cb1d4e0919,9.86E+08
