Species,land,areas
Phelsuma andamanensis,"Andaman Islands, Havelock Island",97250000
Phelsuma andamanensis,"Andaman Islands, Little Andaman Island",733000000
Phelsuma andamanensis,"Andaman Islands, Smith Island",20450000
Phelsuma v-nigra,"Comoros, Anjouan",453187500
Phelsuma dubia,"Comoros, Anjouan",453187500
Phelsuma laticauda,"Comoros, Anjouan",453187500
Phelsuma v-nigra,"Comoros, Grande Comore",1062937500
Phelsuma comorensis,"Comoros, Grande Comore",1062937500
Phelsuma dubia,"Comoros, Grande Comore",1062937500
Phelsuma lineata,"Comoros, Grande Comore",1062937500
Phelsuma cepediana,"Comoros, Grande Comore",1062937500
Phelsuma laticauda,"Comoros, Grande Comore",1062938000
Phelsuma v-nigra,"Comoros, Moheli",211000000
Phelsuma dubia,"Comoros, Moheli",211000000
Phelsuma grandis,"Florida, Big Pine Key",34687500
Phelsuma grandis,"Florida, Key West",25187500
Phelsuma laticauda,"Florida, Key West",25187500
Phelsuma laticauda,"France, Dzaoudzi",12812500
Phelsuma dubia,"France, Dzaoudzi",12812500
Phelsuma laticauda,"French Polynesia, Moorea",146812500
Phelsuma abbotti,Grande Comore,1062937500
Phelsuma laticauda,Hawaii,11824312500
Phelsuma laticauda,"Hawaii, Kauai",1683250000
Phelsuma laticauda,"Hawaii, Maui",2165812500
Phelsuma laticauda,"Hawaii, Molokai",780312500
Phelsuma grandis,"Hawaii, Oahu",1801687500
Phelsuma laticauda,"Hawaii, Oahu",1801687500
Phelsuma guimbeaui,"Hawaii, Oahu",1801687500
Phelsuma standingi,"Hawaii, Oahu",1801688000
Phelsuma flavigularis,Madagascar,6.68E+11
Phelsuma grandis,Madagascar,6.68E+11
Phelsuma kochi,Madagascar,6.68E+11
Phelsuma laticauda,Madagascar,6.68E+11
Phelsuma lineata,Madagascar,6.68E+11
Phelsuma modesta,Madagascar,6.68E+11
Phelsuma roesleri,Madagascar,6.68E+11
Phelsuma abbotti,Madagascar,6.68E+11
Phelsuma antanosy,Madagascar,6.68E+11
Phelsuma barbouri,Madagascar,6.68E+11
Phelsuma breviceps,Madagascar,6.68E+11
Phelsuma dorsivittata,Madagascar,6.68E+11
Phelsuma dubia,Madagascar,6.68E+11
Phelsuma gouldi,Madagascar,6.68E+11
Phelsuma guttata,Madagascar,6.68E+11
Phelsuma hielscheri,Madagascar,6.68E+11
Phelsuma kely,Madagascar,6.68E+11
Phelsuma klemmeri,Madagascar,6.68E+11
Phelsuma madagascariensis,Madagascar,6.68E+11
Phelsuma malamakibo,Madagascar,6.68E+11
Phelsuma masohoala,Madagascar,6.68E+11
Phelsuma mutabilis,Madagascar,6.68E+11
Phelsuma parva,Madagascar,6.68E+11
Phelsuma pronki,Madagascar,6.68E+11
Phelsuma pusilla,Madagascar,6.68E+11
Phelsuma quadriocellata,Madagascar,6.68E+11
Phelsuma seippi,Madagascar,6.68E+11
Phelsuma serraticauda,Madagascar,6.68E+11
Phelsuma standingi,Madagascar,6.68E+11
Phelsuma vanheygeni,Madagascar,6.68E+11
Phelsuma grandis,"Madagascar, Nosy Be",298125000
Phelsuma laticauda,"Madagascar, Nosy Be",298125000
Phelsuma lineata,"Madagascar, Nosy Be",298125000
Phelsuma abbotti,"Madagascar, Nosy Be",298125000
Phelsuma dubia,"Madagascar, Nosy Be",298125000
Phelsuma madagascariensis,"Madagascar, Nosy Be",298125000
Phelsuma seippi,"Madagascar, Nosy Be",298125000
Phelsuma cepediana,Mauritius,2129062500
Phelsuma guentheri ,Mauritius,2129062500
Phelsuma guimbeaui,Mauritius,2129062500
Phelsuma ornata,Mauritius,2129062500
Phelsuma rosagularis,Mauritius,2129062500
Phelsuma grandis,Mauritius,2129062500
Phelsuma cepediana,"Mauritius, Rodrigues",123562500
Phelsuma laticauda,Mayotte,378937500
Phelsuma dubia,Mayotte,378937500
Phelsuma nigristriata,Mayotte,378937500
Phelsuma pasteuri,Mayotte,378937500
Phelsuma robertmertensi,Mayotte,378937500
Phelsuma astriata,Reunion,2896938000
Phelsuma grandis,Reunion,2896938000
Phelsuma borbonica,Reunion,2896938000
Phelsuma inexpectata,Reunion,2896938000
Phelsuma laticauda,Reunion,2896938000
Phelsuma lineata,Reunion,2896938000
Phelsuma cepediana,Reunion,2896938000
Phelsuma serraticauda,Reunion,2896938000
Phelsuma standingi,Reunion,2896938000
Phelsuma madagascariensis,"Saychelles, Mahe Island",156500000
Phelsuma sundbergi,"Saychelles, Mahe Island",156500000
Phelsuma astriata,"Saychelles, Mahe Island",156500000
Phelsuma sundbergi,"Seychelles, Praslin",37875000
Phelsuma astriata,"Seychelles, Praslin",37875000
Phelsuma ornata,"Seychelles, Praslin",37875000
Phelsuma parkeri,"Tanzania, Pemba Island",989937500
Phelsuma dubia,"Tanzania, Zanzibar",1620437500
