"SpeciesName","Genus","Species","Longitude","Latitude","First","Second","Third","datasetKey","areas"
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-78.364595","22.5345","Cuba","Cayo Coco",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",321875000
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-81.822463","23.147956","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis pardalis (Gundlach, 1840)","Tropidophis","pardalis","-81.82125","23.1482","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis greenwayi Barbour & Shreve, 1936","Tropidophis","greenwayi","-72.023206","21.919056","Turks and Caicos","North Caicos Island",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",240937500
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.118547","19.922922","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis haetianus haetianus","Tropidophis","haetianus","-71.438861","18.352766","Dominican Republic",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",83104562500
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-79.980814","21.796034","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis curtus (Garman, 1887)","Tropidophis","curtus","-76.185428","24.897788","Bahamas","Eleuthera Island",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",528125000
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.868255","21.113233","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-74.567787","20.345415","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis haetianus (Cope, 1879)","Tropidophis","haetianus","-70.911541","19.041676","Dominican Republic",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",83104562500
"Tropidophis haetianus (Cope, 1879)","Tropidophis","haetianus","-71.463614","18.281086","Dominican Republic",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",83104562500
"Tropidophis pardalis (Gundlach, 1840)","Tropidophis","pardalis","-82.062812","23.047402","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-81.812757","23.142747","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-81.166304","22.325384","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis caymanensis Battersby, 1938","Tropidophis","caymanensis","-81.385381","19.387428","Cayman Islands","Grand Cayman",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",228562500
"Tropidophis haetianus (Cope, 1879)","Tropidophis","haetianus","-69.440375","19.002475","Dominican Republic",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",83104562500
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.940152","21.096237","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis caymanensis Battersby, 1938","Tropidophis","caymanensis","-81.338476","19.314989","Cayman Islands","Grand Cayman",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",228562500
"Tropidophis haetianus (Cope, 1879)","Tropidophis","haetianus","-69.934226","18.468706","Dominican Republic",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",83104562500
"Tropidophis haetianus (Cope, 1879)","Tropidophis","haetianus","-70.589159","19.735592","Dominican Republic",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",83104562500
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.604614","19.910449","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis jamaicensis Stull, 1928","Tropidophis","jamaicensis","-76.872839","18.162449","Jamaica",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",12225750000
"Tropidophis curtus (Garman, 1887)","Tropidophis","curtus","-77.361763","25.076236","Bahamas","New Providence Island",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",263875000
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-80.001747","21.828175","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-76.8602","19.952707","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-75.814133","20.446313","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis caymanensis Battersby, 1938","Tropidophis","caymanensis","-81.239935","19.331114","Cayman Islands","Grand Cayman",NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",228562500
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-83.706629","22.618813","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis melanurus (Schlegel, 1837)","Tropidophis","melanurus","-83.706629","22.618813","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
"Tropidophis pardalis (Gundlach, 1840)","Tropidophis","pardalis","-82.408562","23.11822","Cuba",NA,NA,"50c9509d-22c7-4a22-a47d-8c48425ef4a7",1.22e+11
