name,TRI,mean_elev,median_elev,min_elev,max_elev,mean_csi,sd_csi,n_habitat,archipelago
Albany,20.98991156,2.25,3,-13,15,0.11394807,NA,1,galap
Ayora,21.81742477,-12,-12,-12,-12,0.138891026,NA,1,galap
Bainbridge #1,51.1185161,30.57142857,27,15,55,0.159724176,NA,1,galap
Bainbridge #2,23.33729515,15.2,15,7,22,0.159724176,NA,2,galap
Bainbridge #3,30.42146759,20,18,5,43,0.159724176,NA,4,galap
Bainbridge #4,29.39335976,14.4,16,6,23,0.159724176,NA,1,galap
Bainbridge #5,29.17978096,20.2,22,15,26,0.159724176,NA,1,galap
Bainbridge #6,27.32830365,25.33333333,26.5,19,31,0.159724176,NA,1,galap
Bainbridge #7,7.809987307,5.5,5.5,5,6,NA,NA,1,galap
Bainbridge #8,3.872983456,-11,-11,-11,-11,NA,NA,1,galap
Ballena,12.16552544,-65,-65,-65,-65,0.163780808,NA,1,galap
Baltra,7.936431941,30.97311581,29,1,78,0.178413562,0.01268657,7,galap
Bartolome,27.52418998,31.54205607,27,-8,91,NA,NA,6,galap
Beagle Norte,4,16,16,16,16,0.121434323,NA,1,galap
Beagle Oeste,16.62596226,11,10,6,15,0.115538619,0.008337785,2,galap
Beagle Sur,23.2177307,13.6875,11.5,2,25,0.109642915,NA,1,galap
Blanca,10.129987,-31,-31,-33,-29,0.125306576,NA,1,galap
Caamaño,47.81520244,7.642857143,0,-9,61,0.110584348,NA,2,galap
Caldwell,64.18739582,-26.83783784,6,-129,51,0.118903451,NA,2,galap
Caleta del Bucanero,13.72551298,7,7,7,7,0.182056025,NA,1,galap
Caleta Tiburón Norte,4.242640495,3,3,3,3,0.150340855,NA,2,galap
Caleta Tiburón Sur,4.472136021,4,4,4,4,0.150340855,NA,1,galap
Campeon,29.34595568,20.58823529,19,8,36,0.140031278,NA,1,galap
Canal Sur,4.822315395,0.25,0,0,1,0.163829476,NA,1,galap
Corona del Diablo Central,4.898979664,-6,-6,-7,-5,0.134130955,NA,1,galap
Cousins,6.959653139,-34,-34,-35,-33,0.117462471,NA,1,galap
Cowley,39.7023183,30.88888889,29.5,1,54,0.146205485,NA,1,galap
Cuatro Hermanos Este,81.38427056,16.11111111,19,-12,46,0.094309557,0.005395129,1,galap
Cuatro Hermanos Norte,83.7810834,65.10909091,63,-13,136,0.11076723,NA,3,galap
Cuatro Hermanos Oeste,83.87410278,61.46666667,52.5,11,125,0.11076723,NA,1,galap
Cuatro Hermanos Sur,87.99598936,79.14166667,77,-1,167,0.098124489,NA,4,galap
Dalrymple,3.872983456,-58,-58,-58,-58,NA,NA,1,galap
Daphne Major,59.09852406,42.92857143,43,6,91,0.135583952,NA,5,galap
Daphne Menor,51.99364493,34.11111111,41,15,49,0.118051216,NA,1,galap
Darwin,59.75326159,-101.6607143,-121.5,-161,0,NA,NA,2,galap
Devine,6.244997978,-1,-1,-1,-1,0.146458,NA,1,galap
Dumb,21.12224245,34.5,34.5,28,41,0.129259989,NA,1,galap
Dumb.1,21.7715416,39,39,39,39,0.129259989,NA,1,galap
Dura,8.942364931,1.5,1.5,1,2,0.129005566,NA,1,galap
Eden,53.22788424,35.56410256,35,4,81,0.145604849,NA,3,galap
El Arco de Darwin,1.866025388,0.5,0.5,0,1,NA,NA,1,galap
El Trompo,10.77032948,4,4,4,4,0.187433898,NA,1,galap
Enderby,51.75993109,37.3,32,11,73,0.100226127,NA,1,galap
Española,12.18023057,71.94861018,75,-3,207,0.187373122,0.001039959,7,galap
Espejo,34.68429184,-20,-20,-20,-20,0.133469701,NA,1,galap
Este,16.5227108,-125.5,-125.5,-128,-123,NA,NA,1,galap
Este de Darwin - Norte,16.9127121,5,5,4,6,0.167377889,NA,1,galap
Faro,3.162277699,2,2,2,2,0.135685384,NA,1,galap
Fernandina,21.64556894,311.343109,161,-10,1477,0.148749769,0.01700149,19,galap
Fernandina.1,11.60744572,12.5,12.5,11,14,0.136528537,NA,1,galap
Floreana,19.11833818,164.8181054,145,-20,560,0.158659022,0.010021321,11,galap
Fondiadero,4.001816034,2.5,3,1,3,0.135685384,NA,2,galap
Gardner,21.87068282,15.55238095,14,-14,44,0.148265928,NA,3,galap
Gardner por Floreana,78.31791334,89.60902256,82,-1,195,NA,NA,3,galap
Genovesa,10.92290616,42.01221567,45,5,75,0.147535771,0.00680423,5,galap
Gordon Central,4.898979664,-19,-19,-20,-18,0.120433442,NA,1,galap
Gordon Este,6.163880348,-24,-24,-24,-24,0.120433442,NA,1,galap
Gordon Oeste,5.385164738,-20,-20,-20,-20,0.120433442,NA,1,galap
Gran Felipe,3.040569425,14.5,14.5,14,15,0.117920436,NA,1,galap
Guy Fawkes Este,1.573132157,-4,-4,-4,-4,0.104029894,NA,1,galap
Guy Fawkes Norte,1.573132157,-4,-4,-4,-4,0.104029894,NA,1,galap
Guy Fawkes Oeste,12.13384771,9.5,9.5,9,10,0.115720965,NA,1,galap
Guy Fawkes Sur,20.06893222,9,6,5,17,0.115720965,NA,2,galap
Isabela,16.10624491,306.6805381,172,-1057,1702,0.157322469,0.01592323,29,galap
Isabela.1,7.681145668,7,7,7,7,0.135143012,NA,3,galap
