"","species","archipelago"
"1","Anolis carolinensis","Caribbean"
"2","Anolis gingivinus","Caribbean"
"3","Anolis pogus","Caribbean"
"4","Anolis nubilus","Caribbean"
"5","Anolis wattsii","Caribbean"
"6","Anolis leachii","Caribbean"
"7","Anolis smaragdinus","Caribbean"
"8","Anolis angusticeps","Caribbean"
"9","Anolis distichus","Caribbean"
"10","Anolis brunneus","Caribbean"
"11","Anolis sagrei","Caribbean"
"12","Anolis scriptus","Caribbean"
"13","Anolis extremus","Caribbean"
"14","Anolis pulchellus","Caribbean"
"15","Anolis maynardii","Caribbean"
"16","Anolis alfaroi","Caribbean"
"17","Anolis imias","Caribbean"
"18","Anolis bartschi","Caribbean"
"19","Anolis isolepis","Caribbean"
"20","Anolis alutaceus","Caribbean"
"21","Anolis chamaeleonides","Caribbean"
"22","Anolis argillaceus","Caribbean"
"23","Anolis rejectus","Caribbean"
"24","Anolis mestrei","Caribbean"
"25","Anolis paternus","Caribbean"
"26","Anolis baracoae","Caribbean"
"27","Anolis garridoi","Caribbean"
"28","Anolis barbatus","Caribbean"
"29","Anolis bremeri","Caribbean"
"30","Anolis porcus  ","Caribbean"
"31","Anolis quadriocellifer","Caribbean"
"32","Anolis confusus  ","Caribbean"
"33","Anolis allogus","Caribbean"
"34","Anolis macilentus","Caribbean"
"35","Anolis porcatus ","Caribbean"
"36","Anolis smallwoodi","Caribbean"
"37","Anolis vermiculatus","Caribbean"
"38","Anolis argenteolus","Caribbean"
"39","Anolis ahli","Caribbean"
"40","Anolis alayoni","Caribbean"
"41","Anolis altitudinalis","Caribbean"
"42","Anolis noblei  ","Caribbean"
"43","Anolis guamuhaya","Caribbean"
"44","Anolis allisoni ","Caribbean"
"45","Anolis guazuma","Caribbean"
"46","Anolis grahami","Caribbean"
"47","Anolis ophiolepis","Caribbean"
"48","Anolis conspersus","Caribbean"
"49","Anolis aeneus","Caribbean"
"50","Anolis richardii","Caribbean"
"51","Anolis armouri","Caribbean"
"52","Anolis bahorucoensis","Caribbean"
"53","Anolis baleatus","Caribbean"
"54","Anolis barahonae","Caribbean"
"55","Anolis brevirostris ","Caribbean"
"56","Anolis caudalis ","Caribbean"
"57","Anolis chlorocyanus","Caribbean"
"58","Anolis christophei","Caribbean"
"59","Anolis coelestinus","Caribbean"
"60","Anolis cybotes","Caribbean"
"61","Anolis darlingtoni","Caribbean"
"62","Anolis dominicensis ","Caribbean"
"63","Anolis favillarum","Caribbean"
"64","Anolis fowleri","Caribbean"
"65","Anolis hendersoni","Caribbean"
"66","Anolis ignigularis","Caribbean"
"67","Anolis insolitus","Caribbean"
"68","Anolis koopmani ","Caribbean"
"69","Anolis longitibialis","Caribbean"
"70","Anolis marcanoi","Caribbean"
"71","Anolis marron","Caribbean"
"72","Anolis monticola","Caribbean"
"73","Anolis olssoni","Caribbean"
"74","Anolis properus","Caribbean"
"75","Anolis ravitergum","Caribbean"
"76","Anolis vinosus","Caribbean"
"77","Anolis websteri","Caribbean"
"78","Anolis saxatilis","Caribbean"
"79","Anolis desechensis","Caribbean"
"80","Anolis opalinus","Caribbean"
"81","Anolis reconditus","Caribbean"
"82","Anolis roquet","Caribbean"
"83","Anolis lividus","Caribbean"
"84","Anolis schwartzi","Caribbean"
"85","Anolis ernestwilliamsi","Caribbean"
"86","Anolis poncensis","Caribbean"
"87","Anolis gundlachi","Caribbean"
"88","Anolis evermanni","Caribbean"
"89","Anolis occultus","Caribbean"
"90","Anolis krugi","Caribbean"
"91","Anolis cuvieri","Caribbean"
"92","Anolis monensis","Caribbean"
