gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5868249133	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/196964368	Animalia	Arthropoda	Arachnida	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha tantalus		SPECIES	Tetragnatha tantalus Gillespie, 1992	Tetragnatha tantalus		US		Hawaii	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	21.339627	-157.812073	107.0						2024-01-17T15:58:19	17	1	2024	2151913	2151913	HUMAN_OBSERVATION	iNaturalist	Observations	196964368		Damien Wallace	2024-01-18T05:08:08	CC_BY_4_0	Damien Wallace	Damien Wallace			2025-10-27T23:36:54.714Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5867934915	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/320543594	Animalia	Arthropoda	Arachnida	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha tantalus		SPECIES	Tetragnatha tantalus Gillespie, 1992	Tetragnatha tantalus		US		Hawaii	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	21.337991	-157.811011	4.0						2025-10-12T09:48	12	10	2025	2151913	2151913	HUMAN_OBSERVATION	iNaturalist	Observations	320543594		Daniel Ward	2025-10-13T00:38:43	CC_BY_NC_4_0	Daniel Ward	Daniel Ward			2025-10-28T00:56:00.820Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5867769864	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/266446929	Animalia	Arthropoda	Arachnida	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha hawaiensis		SPECIES	Tetragnatha hawaiensis Simon, 1900	Tetragnatha hawaiensis		US		Hawaii	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	21.368212	-157.787888	4.0						2025-03-22T07:18:32	22	3	2025	2152010	2152010	HUMAN_OBSERVATION	iNaturalist	Observations	266446929		Brandon Najarian	2025-03-22T21:32:53	CC_BY_4_0	Brandon Najarian	Brandon Najarian			2025-10-27T22:35:28.944Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5844219188	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/221357152	Animalia	Arthropoda	Arachnida	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha quasimodo		SPECIES	Tetragnatha quasimodo Gillespie, 1992	Tetragnatha quasimodo		US		Hawaii	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.314871	-155.664493	30580.0						2024-06-04T20:16:16	4	6	2024	2152014	2152014	HUMAN_OBSERVATION	iNaturalist	Observations	221357152		chiquilin56	2024-06-08T17:31:07	CC_BY_NC_4_0	chiquilin56	chiquilin56			2025-10-27T23:40:34.186Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5844017095	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/221356959	Animalia	Arthropoda	Arachnida	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha quasimodo		SPECIES	Tetragnatha quasimodo Gillespie, 1992	Tetragnatha quasimodo		US		Hawaii	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.376699	-155.632965	30580.0						2024-06-04T20:14:25	4	6	2024	2152014	2152014	HUMAN_OBSERVATION	iNaturalist	Observations	221356959		chiquilin56	2024-06-08T17:30:16	CC_BY_NC_4_0	chiquilin56	chiquilin56			2025-10-27T22:25:22.537Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5840539738	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/319319306	Animalia	Arthropoda	Arachnida	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha perkinsi		SPECIES	Tetragnatha perkinsi Simon, 1900	Tetragnatha perkinsi		US		Hawaii	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	20.112929	-155.632315	30508.0						2024-04-12T21:15	12	4	2024	2151777	2151777	HUMAN_OBSERVATION	iNaturalist	Observations	319319306		alex_teo	2025-10-07T07:56:42	CC_BY_NC_4_0	alex_teo	alex_teo			2025-10-27T23:56:39.242Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5840334696	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/307430526	Animalia	Arthropoda	Arachnida	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha quasimodo		SPECIES	Tetragnatha quasimodo Gillespie, 1992	Tetragnatha quasimodo		US		Hawaii	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.67181	-155.367021	189.0						2025-04-19T22:38	19	4	2025	2152014	2152014	HUMAN_OBSERVATION	iNaturalist	Observations	307430526		Adrian Wang	2025-08-24T21:58:12	CC_BY_NC_4_0	Julien Ueda	Julien Ueda			2025-10-27T22:51:15.360Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5827442951	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/307430522	Animalia	Arthropoda	Arachnida	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha quasimodo		SPECIES	Tetragnatha quasimodo Gillespie, 1992	Tetragnatha quasimodo		US		Hawaii	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.67181	-155.367021	189.0						2025-04-19T22:09	19	4	2025	2152014	2152014	HUMAN_OBSERVATION	iNaturalist	Observations	307430522		Adrian Wang	2025-08-24T21:58:23	CC_BY_NC_4_0	Julien Ueda	Julien Ueda			2025-10-27T22:46:26.691Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5761035680	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/309789510	Animalia	Arthropoda	Arachnida	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha kauaiensis		SPECIES	Tetragnatha kauaiensis Simon, 1900	Tetragnatha kauaiensis		US		Hawaii	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	22.120283	-159.686189	5.0						2025-06-23T11:59	23	6	2025	2151894	2151894	HUMAN_OBSERVATION	iNaturalist	Observations	309789510		biodiv	2025-08-28T19:05:05	CC_BY_NC_4_0	biodiv	biodiv			2025-10-28T00:05:19.491Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
5759920100	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/307430518	Animalia	Arthropoda	Arachnida	Araneae	Tetragnathidae	Tetragnatha	Tetragnatha quasimodo		SPECIES	Tetragnatha quasimodo Gillespie, 1992	Tetragnatha quasimodo		US		Hawaii	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	19.67181	-155.367021	189.0						2025-04-19T22:01	19	4	2025	2152014	2152014	HUMAN_OBSERVATION	iNaturalist	Observations	307430518		Sophie Smith	2025-08-19T03:49:44	CC_BY_NC_4_0	Julien Ueda	Julien Ueda			2025-10-27T22:43:59.418Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
